TRAINTESTDIFFSNLLRANKS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
abalone,2.0,3.0,4.0,1.0,7.0,8.0,5.0,9.0,10.0,6.0
acute-inflammation,6.5,1.0,6.5,10.0,3.0,2.0,5.0,4.0,8.0,9.0
acute-nephritis,4.0,1.0,3.0,10.0,6.0,5.0,2.0,7.0,8.0,9.0
adult,5.0,7.0,6.0,1.0,8.0,9.0,2.0,10.0,3.0,4.0
annealing,2.0,1.0,3.0,4.0,6.0,7.0,10.0,8.0,5.0,9.0
arrhythmia,1.0,2.0,4.0,5.0,6.0,7.0,3.0,8.0,9.0,10.0
audiology-std,1.0,4.0,2.0,9.0,5.0,7.0,3.0,8.0,6.0,10.0
balance-scale,2.0,1.0,3.0,9.0,6.0,8.0,10.0,7.0,4.0,5.0
balloons,1.0,2.0,8.0,4.0,5.0,6.0,3.0,9.0,10.0,7.0
bank,2.0,3.0,4.0,1.0,5.0,6.0,10.0,7.0,9.0,8.0
blood,2.0,3.0,4.0,1.0,8.0,6.0,10.0,7.0,9.0,5.0
breast-cancer,1.0,3.0,4.0,2.0,7.0,5.0,10.0,6.0,9.0,8.0
breast-cancer-wisc,1.0,2.0,3.0,7.0,5.0,4.0,10.0,6.0,8.0,9.0
breast-cancer-wisc-diag,1.0,2.0,3.0,8.0,5.0,4.0,10.0,6.0,7.0,9.0
breast-cancer-wisc-prog,1.0,3.0,4.0,2.0,7.0,5.0,10.0,6.0,9.0,8.0
breast-tissue,1.0,3.0,2.0,5.0,6.0,7.0,4.0,8.0,9.0,10.0
car,2.0,1.0,3.0,9.0,5.0,6.0,10.0,7.0,4.0,8.0
cardiotocography-3clases,2.0,1.0,4.0,3.0,7.0,8.0,10.0,9.0,5.0,6.0
cardiotocography-10clases,2.0,1.0,3.0,4.0,7.0,8.0,10.0,9.0,5.0,6.0
chess-krvk,2.0,1.0,3.0,9.0,8.0,7.0,10.0,6.0,4.0,5.0
chess-krvkp,2.0,1.0,3.0,9.0,6.0,5.0,10.0,7.0,4.0,8.0
congressional-voting,2.0,3.0,4.0,1.0,5.0,6.0,10.0,7.0,9.0,8.0
conn-bench-sonar-mines-rocks,1.0,2.0,4.0,3.0,7.0,6.0,5.0,8.0,9.0,10.0
conn-bench-vowel-deterding,1.0,2.0,3.0,10.0,5.0,6.0,4.0,7.0,8.0,9.0
connect-4,4.0,5.0,6.0,1.0,7.0,8.0,10.0,9.0,2.0,3.0
contrac,2.0,3.0,4.0,1.0,5.0,6.0,9.0,7.0,10.0,8.0
credit-approval,1.0,2.0,5.0,3.0,6.0,7.0,4.0,8.0,10.0,9.0
cylinder-bands,2.0,3.0,4.0,1.0,9.0,7.0,5.0,8.0,10.0,6.0
dermatology,1.0,4.0,2.0,10.0,5.0,6.0,3.0,7.0,8.0,9.0
echocardiogram,3.0,1.0,2.0,5.0,6.0,7.0,4.0,8.0,10.0,9.0
ecoli,1.0,3.0,2.0,7.0,5.0,6.0,4.0,8.0,9.0,10.0
energy-y1,2.0,1.0,3.0,4.0,6.0,5.0,10.0,7.0,8.0,9.0
energy-y2,3.0,1.0,4.0,2.0,5.0,6.0,10.0,7.0,9.0,8.0
fertility,1.0,2.0,3.0,4.0,5.0,6.0,10.0,7.0,9.0,8.0
flags,1.0,2.0,3.0,5.0,6.0,7.0,4.0,8.0,9.0,10.0
glass,1.0,2.0,3.0,5.0,6.0,7.0,4.0,8.0,10.0,9.0
haberman-survival,2.0,3.0,4.0,1.0,7.0,5.0,10.0,6.0,8.0,9.0
hayes-roth,1.0,2.0,3.0,4.0,6.0,7.0,5.0,9.0,10.0,8.0
heart-cleveland,1.0,2.0,4.0,3.0,6.0,7.0,5.0,8.0,10.0,9.0
heart-hungarian,3.0,2.0,4.0,1.0,6.0,7.0,5.0,8.0,10.0,9.0
heart-switzerland,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,10.0,9.0
heart-va,1.0,2.0,4.0,3.0,6.0,8.0,5.0,9.0,10.0,7.0
hepatitis,1.0,2.0,4.0,3.0,5.0,6.0,10.0,7.0,9.0,8.0
hill-valley,2.0,3.0,4.0,1.0,8.0,9.0,5.0,10.0,7.0,6.0
horse-colic,1.0,3.0,5.0,2.0,8.0,6.0,4.0,7.0,10.0,9.0
ilpd-indian-liver,2.0,3.0,4.0,1.0,6.0,8.0,10.0,9.0,5.0,7.0
image-segmentation,2.0,1.0,3.0,9.0,6.0,5.0,10.0,7.0,4.0,8.0
ionosphere,2.0,1.0,3.0,4.0,8.0,6.0,10.0,7.0,5.0,9.0
iris,3.0,2.0,4.0,8.0,5.0,6.0,1.0,7.0,9.0,10.0
led-display,3.0,1.0,4.0,2.0,6.0,7.0,5.0,8.0,10.0,9.0
lenses,1.0,2.0,4.0,6.0,5.0,8.0,3.0,9.0,10.0,7.0
letter,2.0,1.0,3.0,10.0,5.0,6.0,9.0,7.0,4.0,8.0
libras,1.0,2.0,3.0,9.0,5.0,6.0,4.0,7.0,10.0,8.0
low-res-spect,1.0,2.0,3.0,8.0,5.0,6.0,4.0,7.0,9.0,10.0
lung-cancer,1.0,2.0,3.0,5.0,6.0,7.0,4.0,9.0,10.0,8.0
lymphography,1.0,3.0,2.0,4.0,5.0,6.0,8.0,7.0,10.0,9.0
magic,6.0,5.0,10.0,1.0,9.0,7.0,2.0,8.0,3.0,4.0
mammographic,2.0,3.0,5.0,1.0,6.0,7.0,4.0,8.0,10.0,9.0
miniboone,2.0,5.0,4.0,1.0,7.0,6.0,10.0,8.0,3.0,9.0
molec-biol-promoter,1.0,2.0,3.0,8.0,6.0,5.0,4.0,7.0,10.0,9.0
molec-biol-splice,2.0,1.0,3.0,10.0,5.0,4.0,9.0,6.0,7.0,8.0
monks-1,2.0,1.0,3.0,10.0,5.0,4.0,9.0,6.0,7.0,8.0
monks-2,2.0,8.0,9.0,1.0,5.0,6.0,10.0,7.0,4.0,3.0
monks-3,2.0,1.0,3.0,9.0,5.0,4.0,10.0,7.0,6.0,8.0
mushroom,2.0,2.0,2.0,9.0,7.0,6.0,4.0,8.0,5.0,10.0
musk-1,2.0,1.0,10.0,3.0,6.0,5.0,4.0,7.0,9.0,8.0
musk-2,2.0,1.0,8.0,9.0,7.0,5.0,10.0,6.0,3.0,4.0
nursery,2.0,1.0,3.0,9.0,5.0,6.0,10.0,7.0,4.0,8.0
oocytes_merluccius_nucleus_4d,2.0,3.0,10.0,1.0,7.0,8.0,5.0,9.0,6.0,4.0
oocytes_merluccius_states_2f,1.0,2.0,4.0,3.0,5.0,6.0,10.0,7.0,9.0,8.0
oocytes_trisopterus_nucleus_2f,2.0,3.0,5.0,1.0,7.0,6.0,10.0,8.0,9.0,4.0
oocytes_trisopterus_states_5b,2.0,1.0,3.0,4.0,7.0,8.0,10.0,9.0,5.0,6.0
optical,2.0,1.0,3.0,9.0,5.0,6.0,10.0,7.0,4.0,8.0
ozone,1.0,2.0,3.0,8.0,6.0,4.0,10.0,5.0,7.0,9.0
page-blocks,2.0,1.0,3.0,4.0,9.0,7.0,10.0,8.0,5.0,6.0
parkinsons,2.0,1.0,3.0,4.0,6.0,8.0,5.0,10.0,7.0,9.0
pendigits,2.0,1.0,3.0,9.0,4.0,5.0,10.0,6.0,7.0,8.0
pima,2.0,3.0,8.0,1.0,5.0,6.0,4.0,7.0,10.0,9.0
pittsburg-bridges-MATERIAL,1.0,4.0,2.0,5.0,6.0,7.0,3.0,8.0,9.0,10.0
pittsburg-bridges-REL-L,2.0,1.0,3.0,4.0,6.0,7.0,5.0,8.0,10.0,9.0
pittsburg-bridges-SPAN,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,10.0,9.0
pittsburg-bridges-T-OR-D,1.0,2.0,3.0,4.0,5.0,6.0,10.0,7.0,9.0,8.0
pittsburg-bridges-TYPE,3.0,1.0,2.0,5.0,6.0,8.0,4.0,9.0,10.0,7.0
planning,2.0,3.0,4.0,1.0,7.0,5.0,10.0,6.0,8.0,9.0
plant-margin,1.0,3.0,2.0,10.0,5.0,6.0,4.0,7.0,9.0,8.0
plant-shape,1.0,2.0,3.0,10.0,5.0,7.0,4.0,8.0,9.0,6.0
plant-texture,1.0,3.0,2.0,10.0,5.0,6.0,4.0,7.0,9.0,8.0
post-operative,1.0,4.0,2.0,3.0,6.0,5.0,10.0,7.0,8.0,9.0
primary-tumor,2.0,1.0,4.0,5.0,6.0,8.0,3.0,9.0,10.0,7.0
ringnorm,2.0,1.0,3.0,9.0,6.0,5.0,10.0,7.0,4.0,8.0
seeds,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
