TRAINTESTDIFFSNLL,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
AvgTRAINTESTDIFFSNLLOverDsets:,-0.5153490963934209,-0.36705710817615733,-0.28549738814457887,-0.17704505013034283,-0.056096545803566863,-0.02782342177468253,-0.009801935016859336,-0.003208380913781528,0.03986908864858537,0.009933107690220638
AvgTRAINTESTDIFFSNLLRankOverDsets:,1.896694214876033,2.1404958677685952,3.7479338842975207,4.884297520661157,5.9421487603305785,6.2809917355371905,7.0,7.487603305785124,7.702479338842975,7.917355371900826
StddevOfTRAINTESTDIFFSNLLOverDsets:,0.8199041312404518,0.5427146341230565,0.5311729196340449,0.3366177363857456,0.17810639774914053,0.15128343293538626,0.6305017692858427,0.10546019996333772,0.0897666467810313,0.08662016445358425
AvgOfStddevsOfTRAINTESTDIFFSNLLOverDsetFolds:,0.23377031489986982,0.19506496669377962,0.184260567770561,0.14296997715468115,0.1617125475057453,0.16898021110144085,0.24929053561203338,0.1697861964504649,0.17122785589521722,0.0871972372794018
StddevsOfTRAINTESTDIFFSNLLRanksOverDsets:,0.9745027693048999,1.2268237113508949,1.6420565953276256,3.366972137902312,1.1782580409313075,1.2194475559029985,2.969287232092353,1.1188960517651534,2.2753923767824236,1.6612584429657742

flat,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
SMLRE-A,0|121|0,53|1|67,4|2|115,36|0|85,1|0|120,1|0|120,5|0|116,1|0|120,3|0|118,3|0|118
SMM5-A,67|1|53,0|121|0,16|1|104,34|0|87,1|0|120,1|0|120,8|0|113,1|0|120,5|0|116,4|0|117
SMLR-A,115|2|4,104|1|16,0|121|0,51|0|70,9|0|112,9|0|112,18|0|103,8|0|113,8|0|113,9|0|112
ES-A,85|0|36,87|0|34,70|0|51,0|121|0,44|0|77,42|0|79,35|0|86,40|0|81,35|0|86,32|0|89
RC-A,120|0|1,120|0|1,112|0|9,77|0|44,0|121|0,39|0|82,57|0|64,17|0|104,33|0|88,23|0|98
WMV-A,120|0|1,120|0|1,112|0|9,79|0|42,82|0|39,0|121|0,57|0|64,4|0|117,35|0|86,30|0|91
NBC-A,116|0|5,113|0|8,103|0|18,86|0|35,64|0|57,64|0|57,0|121|0,63|0|58,58|0|63,59|0|62
MV-A,120|0|1,120|0|1,113|0|8,81|0|40,104|0|17,117|0|4,58|0|63,0|121|0,37|0|84,35|0|86
PB-A,118|0|3,116|0|5,113|0|8,86|0|35,88|0|33,86|0|35,63|0|58,84|0|37,0|121|0,57|0|64
CAWPE-A,118|0|3,117|0|4,112|0|9,89|0|32,98|0|23,91|0|30,62|0|59,86|0|35,64|0|57,0|121|0



p=0.01,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
SMLRE-A,0|121|0,15|81|25,0|67|54,24|28|69,0|25|96,0|25|96,1|30|90,0|25|96,1|20|100,0|11|110
SMM5-A,25|81|15,0|121|0,5|76|40,25|24|72,0|32|89,0|32|89,3|41|77,0|30|91,1|18|102,0|19|102
SMLR-A,54|67|0,40|76|5,0|121|0,35|37|49,0|56|65,0|56|65,4|50|67,0|56|65,1|53|67,0|34|87
ES-A,69|28|24,72|24|25,49|37|35,0|121|0,26|39|56,25|38|58,25|31|65,24|37|60,25|33|63,21|32|68
RC-A,96|25|0,89|32|0,65|56|0,56|39|26,0|121|0,0|116|5,22|56|43,0|115|6,5|100|16,2|95|24
WMV-A,96|25|0,89|32|0,65|56|0,58|38|25,5|116|0,0|121|0,24|55|42,0|120|1,5|111|5,2|104|15
NBC-A,90|30|1,77|41|3,67|50|4,65|31|25,43|56|22,42|55|24,0|121|0,41|55|25,41|50|30,43|46|32
MV-A,96|25|0,91|30|0,65|56|0,60|37|24,6|115|0,1|120|0,25|55|41,0|121|0,5|114|2,3|104|14
PB-A,100|20|1,102|18|1,67|53|1,63|33|25,16|100|5,5|111|5,30|50|41,2|114|5,0|121|0,5|100|16
CAWPE-A,110|11|0,102|19|0,87|34|0,68|32|21,24|95|2,15|104|2,32|46|43,14|104|3,16|100|5,0|121|0



p=0.05,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
SMLRE-A,0|121|0,19|64|38,1|47|73,26|21|74,0|12|109,0|11|110,1|21|99,0|11|110,1|12|108,0|7|114
SMM5-A,38|64|19,0|121|0,8|68|45,26|19|76,0|19|102,0|18|103,3|31|87,0|18|103,1|11|109,0|10|111
SMLR-A,73|47|1,45|68|8,0|121|0,40|24|57,0|45|76,0|43|78,4|44|73,0|43|78,1|35|85,0|24|97
ES-A,74|21|26,76|19|26,57|24|40,0|121|0,28|33|60,26|33|62,28|24|69,25|32|64,29|24|68,23|26|72
RC-A,109|12|0,102|19|0,76|45|0,60|33|28,0|121|0,0|116|5,26|46|49,0|115|6,7|81|33,2|83|36
WMV-A,110|11|0,103|18|0,78|43|0,62|33|26,5|116|0,0|121|0,26|47|48,0|120|1,7|99|15,3|96|22
NBC-A,99|21|1,87|31|3,73|44|4,69|24|28,49|46|26,48|47|26,0|121|0,48|46|27,43|41|37,46|39|36
MV-A,110|11|0,103|18|0,78|43|0,64|32|25,6|115|0,1|120|0,27|46|48,0|121|0,7|103|11,4|97|20
PB-A,108|12|1,109|11|1,85|35|1,68|24|29,33|81|7,15|99|7,37|41|43,11|103|7,0|121|0,11|91|19
CAWPE-A,114|7|0,111|10|0,97|24|0,72|26|23,36|83|2,22|96|3,36|39|46,20|97|4,19|91|11,0|121|0



T TEST,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
SMLRE-A,0.0,8.8144E-4,1.99E-6,5.919E-5,0.0,0.0,0.0,0.0,0.0,0.0
SMM5-A,0.0,0.0,0.00356,3.7095E-4,0.0,0.0,0.0,0.0,0.0,0.0
SMLR-A,0.0,0.0,0.0,0.05377352,1.0E-8,1.0E-8,3.1E-7,3.6E-7,2.0E-8,1.0E-8
ES-A,0.0,0.0,0.0,0.0,1.066E-4,9.8E-7,0.01062539,0.0,0.0,0.0
RC-A,0.0,0.0,0.0,0.0,0.0,2.6911E-4,0.37383194,0.00924057,1.956E-5,1.254E-5
WMV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.74335316,0.13932569,1.9963E-4,7.233E-4
NBC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91154072,0.4183847,0.73033808
MV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1014545
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00188993
CAWPE-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN TEST,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
SMLRE-A,0.0,0.20311484,0.0,8.41E-6,0.0,0.0,0.0,0.0,0.0,0.0
SMM5-A,0.0,0.0,0.0,1.45E-6,0.0,0.0,0.0,0.0,0.0,0.0
SMLR-A,0.0,0.0,0.0,0.08411872,0.0,0.0,0.0,0.0,0.0,0.0
ES-A,0.0,0.0,0.0,0.0,0.0026998,7.6923E-4,3.55E-6,1.9356E-4,3.55E-6,2.2E-7
RC-A,0.0,0.0,0.0,0.0,0.0,9.264E-5,0.52453944,0.0,5.7E-7,0.0
WMV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.52453944,0.0,3.55E-6,3.0E-8
NBC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64943628,0.64943628,0.78506287
MV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.931E-5,3.55E-6
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52453944
CAWPE-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

SIGN RANK TEST,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
SMLRE-A,0.0,9.5863E-4,0.0,4.66E-6,0.0,0.0,0.0,0.0,0.0,0.0
SMM5-A,0.0,0.0,0.0,3.284E-5,0.0,0.0,0.0,0.0,0.0,0.0
SMLR-A,0.0,0.0,0.0,0.32247927,0.0,0.0,0.0,0.0,0.0,0.0
ES-A,0.0,0.0,0.0,0.0,3.97E-6,6.0E-8,1.6158E-4,1.0E-8,0.0,0.0
RC-A,0.0,0.0,0.0,0.0,0.0,4.0E-8,0.34050727,0.0,0.0,0.0
WMV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.57371663,0.0,0.0,0.0
NBC-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6610751,0.44775197,0.58255721
MV-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86E-6
PB-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333801
CAWPE-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

NOSIGDIFFERENCE,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
SMLRE-A,true,false,false,false,false,false,false,false,false,false
SMM5-A,false,true,false,false,false,false,false,false,false,false
SMLR-A,false,false,true,true,false,false,false,false,false,false
ES-A,false,false,true,true,false,false,false,false,false,false
RC-A,false,false,false,false,true,false,true,false,false,false
WMV-A,false,false,false,false,false,true,true,false,false,false
NBC-A,false,false,false,false,true,true,true,true,true,true
MV-A,false,false,false,false,false,false,true,true,false,false
PB-A,false,false,false,false,false,false,true,false,true,true
CAWPE-A,false,false,false,false,false,false,true,false,true,true



cliques = [0 0 1 1 0 0 0 0 0 0 
0 0 0 0 1 0 1 0 0 0 
0 0 0 0 0 1 1 0 0 0 
0 0 0 0 0 0 1 1 1 1 
]

