folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,22.0,33.0,35.0,31.0,38.0,32.0,25.0,23.0,30.0,26.0,22.0,23.0,26.0,23.0,23.0,23.0,26.0,27.0,24.0,21.0,26.0,22.0,21.0,26.0,24.0,33.0,27.0,20.0,22.0,21.0
acute-inflammation,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0
acute-nephritis,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0
adult,183.0,219.0,204.0,279.0,198.0,223.0,185.0,200.0,169.0,171.0,185.0,174.0,197.0,178.0,173.0,191.0,176.0,197.0,183.0,179.0,179.0,178.0,174.0,158.0,215.0,181.0,182.0,175.0,172.0,183.0
annealing,9.0,11.0,9.0,9.0,13.0,8.0,12.0,12.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,12.0,8.0,11.0,12.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0
arrhythmia,8.0,8.0,9.0,9.0,13.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0,8.0,9.0,12.0,9.0,11.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0
audiology-std,8.0,9.0,6.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,8.0,6.0,5.0,6.0
balance-scale,5.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,8.0,8.0,8.0,8.0
balloons,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
bank,17.0,17.0,16.0,17.0,17.0,18.0,21.0,16.0,19.0,16.0,16.0,16.0,16.0,18.0,17.0,17.0,17.0,17.0,16.0,16.0,19.0,16.0,17.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0
blood,5.0,5.0,6.0,5.0,5.0,4.0,7.0,7.0,5.0,5.0,5.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,4.0,6.0,6.0,6.0,6.0,7.0,5.0,4.0,5.0
breast-cancer,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
breast-cancer-wisc,5.0,4.0,7.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
breast-cancer-wisc-diag,4.0,6.0,5.0,4.0,6.0,5.0,6.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,7.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0
breast-cancer-wisc-prog,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
breast-tissue,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
car,14.0,12.0,13.0,13.0,13.0,13.0,12.0,11.0,12.0,13.0,12.0,13.0,13.0,12.0,12.0,13.0,12.0,11.0,12.0,12.0,12.0,14.0,18.0,12.0,13.0,13.0,12.0,12.0,11.0,12.0
cardiotocography-3clases,13.0,11.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,15.0,13.0,12.0,13.0,13.0,12.0,12.0,12.0,13.0,16.0,12.0,11.0,12.0,12.0,13.0,12.0
cardiotocography-10clases,31.0,26.0,27.0,30.0,32.0,35.0,28.0,30.0,31.0,29.0,27.0,28.0,28.0,27.0,29.0,27.0,26.0,32.0,36.0,27.0,27.0,32.0,26.0,31.0,27.0,31.0,32.0,30.0,33.0,30.0
chess-krvk,555.0,614.0,691.0,680.0,640.0,646.0,679.0,640.0,688.0,714.0,631.0,578.0,527.0,518.0,588.0,598.0,564.0,582.0,580.0,548.0,579.0,547.0,555.0,574.0,568.0,564.0,513.0,595.0,583.0,578.0
chess-krvkp,11.0,12.0,12.0,11.0,12.0,13.0,14.0,12.0,12.0,12.0,11.0,11.0,13.0,11.0,11.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,14.0,12.0,12.0,14.0,11.0,16.0
congressional-voting,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0
conn-bench-sonar-mines-rocks,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0
conn-bench-vowel-deterding,14.0,13.0,13.0,14.0,16.0,15.0,13.0,14.0,18.0,21.0,15.0,14.0,16.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,13.0,13.0,13.0,14.0,15.0,14.0
connect-4,240.0,240.0,260.0,244.0,220.0,256.0,291.0,248.0,248.0,265.0,272.0,259.0,282.0,244.0,254.0,260.0,286.0,263.0,244.0,231.0,259.0,239.0,248.0,291.0,247.0,247.0,249.0,226.0,248.0,269.0
contrac,9.0,11.0,9.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,9.0,11.0,11.0,10.0,12.0,11.0,10.0,10.0,10.0,14.0,13.0,15.0,17.0
credit-approval,10.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,12.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0
cylinder-bands,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,5.0,4.0,6.0,4.0,4.0,6.0,4.0
dermatology,6.0,6.0,5.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0
echocardiogram,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
ecoli,6.0,5.0,7.0,6.0,7.0,8.0,6.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,5.0,6.0,6.0,5.0,7.0,6.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0
energy-y1,7.0,6.0,5.0,6.0,6.0,6.0,8.0,5.0,5.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,6.0
energy-y2,6.0,5.0,7.0,7.0,7.0,8.0,7.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,8.0,6.0,5.0,6.0,7.0,5.0,6.0,6.0,8.0,6.0,5.0,6.0,8.0,6.0,8.0,6.0
fertility,3.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
flags,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,13.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0
glass,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
haberman-survival,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0
hayes-roth,3.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0
heart-cleveland,6.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0
heart-hungarian,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,10.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0
heart-switzerland,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
heart-va,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hepatitis,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0
hill-valley,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,5.0,8.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0
horse-colic,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,10.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,6.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0
