folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,289.0,174.0,116.0,95.0,89.0,93.0,92.0,93.0,91.0,89.0,89.0,84.0,116.0,117.0,86.0,90.0,82.0,84.0,120.0,87.0,78.0,89.0,84.0,77.0,109.0,83.0,82.0,87.0,78.0,87.0
acute-inflammation,5.0,5.0,5.0,7.0,12.0,8.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,6.0,5.0,6.0,4.0
acute-nephritis,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0,7.0,6.0,3.0,6.0,4.0,3.0,3.0,4.0,3.0,4.0
adult,443.0,510.0,543.0,475.0,569.0,637.0,530.0,627.0,648.0,562.0,568.0,481.0,485.0,491.0,544.0,506.0,479.0,477.0,477.0,462.0,493.0,500.0,508.0,495.0,436.0,448.0,549.0,467.0,684.0,475.0
annealing,60.0,56.0,56.0,49.0,50.0,52.0,52.0,247.0,82.0,73.0,71.0,84.0,64.0,76.0,56.0,57.0,50.0,57.0,71.0,61.0,52.0,82.0,55.0,54.0,54.0,48.0,49.0,59.0,51.0,56.0
arrhythmia,909.0,958.0,986.0,1121.0,1272.0,1054.0,1134.0,1192.0,990.0,999.0,1128.0,1162.0,1113.0,1212.0,1174.0,1115.0,949.0,1005.0,984.0,963.0,1018.0,1041.0,1027.0,989.0,958.0,1010.0,991.0,936.0,957.0,1066.0
audiology-std,1445.0,1331.0,1480.0,1190.0,1370.0,1617.0,1567.0,1266.0,1286.0,1483.0,1700.0,1121.0,1007.0,1407.0,1373.0,1580.0,1232.0,1359.0,1234.0,1221.0,1335.0,1238.0,1453.0,1200.0,1150.0,1569.0,1285.0,1284.0,1350.0,1386.0
balance-scale,18.0,21.0,15.0,14.0,14.0,16.0,15.0,15.0,13.0,22.0,21.0,14.0,23.0,16.0,21.0,17.0,19.0,18.0,16.0,13.0,15.0,15.0,16.0,16.0,16.0,14.0,13.0,14.0,14.0,17.0
balloons,3.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,6.0,3.0,4.0,3.0,3.0
bank,43.0,45.0,50.0,51.0,35.0,43.0,46.0,40.0,39.0,46.0,51.0,41.0,49.0,42.0,40.0,42.0,31.0,48.0,32.0,38.0,63.0,48.0,38.0,32.0,38.0,39.0,38.0,50.0,39.0,40.0
blood,11.0,12.0,13.0,9.0,13.0,9.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,9.0,14.0,10.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,13.0
breast-cancer,5.0,7.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,6.0,5.0,5.0,7.0,6.0,5.0,5.0,16.0,5.0,8.0,6.0,7.0,6.0,5.0,9.0,5.0,6.0,7.0,8.0,8.0
breast-cancer-wisc,8.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,10.0,14.0,12.0,7.0,8.0,7.0,8.0,11.0,9.0,9.0,12.0,10.0,12.0,8.0,9.0,8.0,7.0,8.0,12.0,8.0,12.0,8.0
breast-cancer-wisc-diag,10.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,10.0,7.0,10.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0
breast-cancer-wisc-prog,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0
breast-tissue,26.0,27.0,21.0,27.0,33.0,24.0,26.0,28.0,25.0,27.0,27.0,28.0,26.0,29.0,23.0,29.0,36.0,25.0,31.0,29.0,23.0,22.0,28.0,25.0,26.0,18.0,28.0,24.0,27.0,27.0
car,53.0,47.0,38.0,51.0,57.0,51.0,43.0,46.0,53.0,58.0,47.0,41.0,64.0,50.0,54.0,55.0,50.0,47.0,50.0,57.0,50.0,46.0,45.0,48.0,54.0,59.0,40.0,49.0,39.0,55.0
cardiotocography-3clases,34.0,31.0,34.0,38.0,31.0,35.0,36.0,51.0,37.0,30.0,40.0,39.0,40.0,34.0,35.0,37.0,45.0,38.0,36.0,37.0,44.0,47.0,42.0,36.0,39.0,33.0,34.0,43.0,34.0,40.0
cardiotocography-10clases,1540.0,1260.0,1531.0,1732.0,1431.0,1609.0,1558.0,1658.0,1777.0,1780.0,1956.0,1572.0,1946.0,1786.0,1688.0,1935.0,1860.0,1767.0,1811.0,1519.0,1533.0,1525.0,1391.0,1639.0,1336.0,1330.0,1363.0,1453.0,1495.0,1410.0
chess-krvk,356891.0,369333.0,363635.0,350333.0,363762.0,339969.0,335920.0,298516.0,287727.0,305037.0,303667.0,288584.0,298453.0,275250.0,248123.0,219828.0,225303.0,226869.0,235168.0,231775.0,221464.0,238102.0,227489.0,225310.0,231606.0,242897.0,236096.0,238088.0,235050.0,238213.0
chess-krvkp,20.0,23.0,26.0,22.0,23.0,25.0,20.0,21.0,29.0,22.0,22.0,34.0,22.0,20.0,24.0,31.0,40.0,20.0,21.0,23.0,24.0,20.0,23.0,20.0,21.0,23.0,26.0,21.0,22.0,26.0
congressional-voting,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
conn-bench-sonar-mines-rocks,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
