TRAINACC,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
AvgTRAINACCOverDsets:,0.874086033004198,0.8724474298636143,0.8588026338086115,0.81458377735083,0.8139217927189104,0.7612815099227118,0.8044629131074534,0.8029494101956842,0.7977174924683839,0.7652396707941592
AvgTRAINACCRankOverDsets:,1.5495867768595042,1.871900826446281,2.9049586776859506,5.066115702479339,5.838842975206612,6.793388429752066,6.896694214876033,7.0578512396694215,7.8347107438016526,9.185950413223141
StddevOfTRAINACCOverDsets:,0.119068124420954,0.10205272076782358,0.12016445101613164,0.1479019010797048,0.14465189592776403,0.2234192281181531,0.14454083336072673,0.1475854336293588,0.1531150651801348,0.16481214987413595
AvgOfStddevsOfTRAINACCOverDsetFolds:,0.022750008642005336,0.02361105850829448,0.02198727535130463,0.027819577252687078,0.02591238510083899,0.0443310471510316,0.02371769881278006,0.02548024117999699,0.0260842184512834,0.027847514582258388
StddevsOfTRAINACCRanksOverDsets:,1.0731669617648938,0.8329889095396035,0.7396903901486324,1.3631185885686459,1.5801039997853763,2.550873560736598,1.618792445224604,0.9133046284524223,1.1075280842038617,1.4536337104605566

flat,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
SMLRE-S,0|121|0,75|2|44,112|4|5,118|2|1,118|2|1,117|2|2,118|2|1,118|2|1,118|2|1,119|1|1
SMM5-S,44|2|75,0|121|0,101|2|18,119|2|0,119|2|0,115|2|4,119|2|0,119|2|0,119|2|0,120|1|0
SMLR-S,5|4|112,18|2|101,0|121|0,118|2|1,117|2|2,115|2|4,118|2|1,119|2|0,119|2|0,120|1|0
ES-S,1|2|118,0|2|119,1|2|118,0|121|0,85|3|33,85|2|34,91|2|28,105|2|14,108|2|11,112|1|8
CAWPE-S,1|2|118,0|2|119,2|2|117,33|3|85,0|121|0,74|2|45,83|2|36,95|2|24,99|2|20,107|2|12
NBC-S,2|2|117,4|2|115,4|2|115,34|2|85,45|2|74,0|121|0,67|4|50,66|4|51,69|5|47,85|1|35
RC-S,1|2|118,0|2|119,1|2|118,28|2|91,36|2|83,50|4|67,0|121|0,51|22|48,73|22|26,106|1|14
WMV-S,1|2|118,0|2|119,0|2|119,14|2|105,24|2|95,51|4|66,48|22|51,0|121|0,62|56|3,109|2|10
MV-S,1|2|118,0|2|119,0|2|119,11|2|108,20|2|99,47|5|69,26|22|73,3|56|62,0|121|0,107|1|13
PB-S,1|1|119,0|1|120,0|1|120,8|1|112,12|2|107,35|1|85,14|1|106,10|2|109,13|1|107,0|121|0



p=0.01,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
