folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6655486344034499,0.655965500718735,0.654048873981792,0.6574029707714423,0.6645903210349784,0.6554863440344992,0.6645903210349784,0.6612362242453282,0.6612362242453282,0.6593195975083852,0.6626736942980355,0.6554863440344992,0.6521322472448491,0.6526114039290848,0.6645903210349784,0.6669861044561571,0.6602779108768567,0.6703402012458074,0.6554863440344992,0.6497364638236703,0.663632007666507,0.6679444178246287,0.659798754192621,0.654048873981792,0.6621945376137998,0.6521322472448491,0.6454240536655487,0.654048873981792,0.654048873981792,0.6650694777192142
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8602784602784603,0.8581490581490582,0.8584357084357085,0.8602375102375103,0.8575757575757575,0.8560606060606061,0.8596232596232596,0.8606470106470107,0.8556920556920556,0.8542588042588043,0.8500819000819001,0.857084357084357,0.857084357084357,0.8593366093366094,0.8603603603603603,0.8615479115479115,0.8581490581490582,0.8576986076986077,0.8611384111384112,0.8612203112203112,0.8585995085995086,0.8583947583947584,0.858026208026208,0.8542588042588043,0.8581490581490582,0.8573710073710074,0.8572481572481573,0.8554873054873054,0.8617117117117117,0.8605241605241605
annealing,0.90625,0.9308035714285714,0.9441964285714286,0.9241071428571429,0.9129464285714286,0.9285714285714286,0.9129464285714286,0.921875,0.921875,0.9397321428571429,0.9129464285714286,0.9263392857142857,0.9263392857142857,0.9129464285714286,0.9241071428571429,0.9151785714285714,0.9263392857142857,0.90625,0.9308035714285714,0.9263392857142857,0.9151785714285714,0.9308035714285714,0.9308035714285714,0.9196428571428571,0.9464285714285714,0.9486607142857143,0.8973214285714286,0.8995535714285714,0.9129464285714286,0.9263392857142857
arrhythmia,0.7432432432432432,0.6846846846846847,0.6666666666666666,0.7252252252252253,0.6711711711711712,0.6531531531531531,0.6756756756756757,0.6801801801801802,0.6711711711711712,0.6666666666666666,0.6531531531531531,0.7567567567567568,0.6801801801801802,0.6396396396396397,0.6756756756756757,0.6891891891891891,0.6891891891891891,0.7207207207207207,0.6981981981981982,0.7117117117117117,0.6936936936936937,0.6756756756756757,0.6801801801801802,0.6981981981981982,0.6576576576576577,0.6666666666666666,0.6891891891891891,0.6846846846846847,0.6891891891891891,0.6891891891891891
audiology-std,0.6770833333333334,0.7916666666666666,0.6458333333333334,0.75,0.71875,0.6875,0.71875,0.6875,0.71875,0.6666666666666666,0.7291666666666666,0.7291666666666666,0.6666666666666666,0.7604166666666666,0.7083333333333334,0.7395833333333334,0.71875,0.71875,0.7291666666666666,0.71875,0.71875,0.7916666666666666,0.6979166666666666,0.7395833333333334,0.7395833333333334,0.7083333333333334,0.6666666666666666,0.7708333333333334,0.7291666666666666,0.6458333333333334
balance-scale,0.9006410256410257,0.907051282051282,0.8974358974358975,0.9038461538461539,0.8846153846153846,0.9198717948717948,0.9102564102564102,0.8942307692307693,0.9358974358974359,0.8910256410256411,0.8814102564102564,0.9134615384615384,0.8942307692307693,0.9262820512820513,0.9038461538461539,0.907051282051282,0.9294871794871795,0.8846153846153846,0.8846153846153846,0.8942307692307693,0.9262820512820513,0.8974358974358975,0.8910256410256411,0.9038461538461539,0.9006410256410257,0.8814102564102564,0.8974358974358975,0.9198717948717948,0.9166666666666666,0.875
balloons,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.5714285714285714,1.0,0.8571428571428571,1.0,0.2857142857142857,1.0,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.5714285714285714,1.0,0.7142857142857143,1.0,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.42857142857142855,1.0,0.42857142857142855
bank,0.8960176991150443,0.8907079646017699,0.8920353982300885,0.893362831858407,0.8907079646017699,0.8915929203539823,0.8960176991150443,0.897787610619469,0.8951327433628319,0.9008849557522124,0.8880530973451327,0.8880530973451327,0.8951327433628319,0.893362831858407,0.9,0.9,0.893362831858407,0.9008849557522124,0.8991150442477877,0.8951327433628319,0.8955752212389381,0.8938053097345132,0.9039823008849558,0.8946902654867257,0.8876106194690265,0.8938053097345132,0.8964601769911504,0.8938053097345132,0.9,0.8920353982300885
