folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6612362242453282,0.6545280306660278,0.6593195975083852,0.6545280306660278,0.6554863440344992,0.6459032103497844,0.6631528509822712,0.6459032103497844,0.6554863440344992,0.6506947771921419,0.6612362242453282,0.6574029707714423,0.6482989937709631,0.6516530905606133,0.6535697172975563,0.6526114039290848,0.6535697172975563,0.6660277910876857,0.6554863440344992,0.650215620507906,0.6535697172975563,0.6588404408241495,0.6574029707714423,0.6478198370867274,0.6621945376137998,0.6454240536655487,0.6449448969813129,0.6497364638236703,0.6449448969813129,0.659798754192621
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.8420966420966421,0.8398034398034399,0.837059787059787,0.8365683865683866,0.8371826371826372,0.8362817362817363,0.8426699426699427,0.8391072891072892,0.8380835380835381,0.8357084357084357,0.8345618345618345,0.8419328419328419,0.8391891891891892,0.8407452907452907,0.8395577395577396,0.8418509418509419,0.8434479934479935,0.8403357903357903,0.8372645372645373,0.8361179361179362,0.8350941850941851,0.834971334971335,0.8395577395577396,0.8362407862407862,0.8340294840294841,0.8359131859131859,0.8389434889434889,0.8440622440622441,0.8401310401310401,0.8414823914823915
annealing,0.8191964285714286,0.84375,0.8415178571428571,0.859375,0.8191964285714286,0.8325892857142857,0.8303571428571429,0.8214285714285714,0.8303571428571429,0.8638392857142857,0.8348214285714286,0.8504464285714286,0.8683035714285714,0.8080357142857143,0.7991071428571429,0.8013392857142857,0.8616071428571429,0.796875,0.8549107142857143,0.8080357142857143,0.8571428571428571,0.84375,0.8459821428571429,0.8191964285714286,0.8883928571428571,0.859375,0.8058035714285714,0.7879464285714286,0.8973214285714286,0.8459821428571429
arrhythmia,0.7747747747747747,0.7027027027027027,0.6891891891891891,0.7342342342342343,0.6846846846846847,0.6711711711711712,0.7252252252252253,0.6801801801801802,0.7162162162162162,0.7342342342342343,0.7342342342342343,0.7162162162162162,0.6936936936936937,0.7027027027027027,0.7027027027027027,0.7342342342342343,0.7027027027027027,0.7522522522522522,0.7027027027027027,0.6936936936936937,0.7252252252252253,0.7162162162162162,0.7207207207207207,0.6756756756756757,0.6441441441441441,0.7117117117117117,0.7477477477477478,0.7477477477477478,0.6801801801801802,0.7522522522522522
audiology-std,0.8333333333333334,0.8645833333333334,0.8333333333333334,0.8333333333333334,0.84375,0.8333333333333334,0.8333333333333334,0.875,0.8333333333333334,0.8229166666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8645833333333334,0.8854166666666666,0.8958333333333334,0.8020833333333334,0.875,0.8645833333333334,0.8958333333333334,0.8333333333333334,0.8854166666666666,0.8541666666666666,0.84375,0.8229166666666666,0.8645833333333334,0.7708333333333334,0.875,0.84375,0.8020833333333334
balance-scale,0.9166666666666666,0.8557692307692307,0.907051282051282,0.9038461538461539,0.8846153846153846,0.9038461538461539,0.9198717948717948,0.9134615384615384,0.9455128205128205,0.8717948717948718,0.9198717948717948,0.8717948717948718,0.8333333333333334,0.9230769230769231,0.9198717948717948,0.8974358974358975,0.9038461538461539,0.9006410256410257,0.8589743589743589,0.8301282051282052,0.9134615384615384,0.8782051282051282,0.9102564102564102,0.8974358974358975,0.9006410256410257,0.9134615384615384,0.8365384615384616,0.9166666666666666,0.9166666666666666,0.8910256410256411
balloons,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.8571428571428571,1.0,0.8571428571428571,1.0,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143,0.5714285714285714,1.0,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,0.5714285714285714,1.0,1.0,0.5714285714285714
bank,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062,0.11504424778761062
blood,0.7807486631016043,0.7727272727272727,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.7566844919786097,0.23796791443850268,0.7700534759358288,0.23796791443850268,0.732620320855615,0.23796791443850268,0.767379679144385,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.7887700534759359,0.7700534759358288,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.23796791443850268,0.7887700534759359,0.23796791443850268,0.786096256684492,0.23796791443850268,0.23796791443850268
breast-cancer,0.29577464788732394,0.29577464788732394,0.676056338028169,0.6901408450704225,0.6338028169014085,0.29577464788732394,0.29577464788732394,0.6690140845070423,0.29577464788732394,0.7676056338028169,0.6267605633802817,0.676056338028169,0.6830985915492958,0.6690140845070423,0.6690140845070423,0.7464788732394366,0.29577464788732394,0.7183098591549296,0.6830985915492958,0.6549295774647887,0.6901408450704225,0.7676056338028169,0.29577464788732394,0.6408450704225352,0.29577464788732394,0.6408450704225352,0.7535211267605634,0.6901408450704225,0.647887323943662,0.6619718309859155
breast-cancer-wisc,0.9713467048710601,0.9656160458452722,0.9627507163323782,0.9541547277936963,0.9684813753581661,0.9828080229226361,0.9656160458452722,0.9627507163323782,0.9656160458452722,0.9684813753581661,0.9713467048710601,0.9684813753581661,0.9541547277936963,0.9656160458452722,0.9799426934097422,0.9713467048710601,0.9656160458452722,0.9598853868194842,0.9684813753581661,0.9684813753581661,0.9656160458452722,0.9656160458452722,0.9799426934097422,0.9656160458452722,0.9627507163323782,0.9598853868194842,0.9656160458452722,0.9627507163323782,0.9598853868194842,0.9713467048710601
