TRAINTESTDIFFSACC:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,NBC-S,PB-S,WMV-S,MV-S
abalone,0.009254892250882467,0.0027880194016425943,6.802114403052635E-4,0.001679493851586744,-0.006418483373568736,-0.002674305662225862,-0.003925630603057273,-0.005351866838765684,-0.004756191781889718,-0.005254231977556823
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001666666666666668,0.0,0.0
adult,-6.938720795080066E-4,-2.762206746319366E-4,-0.0011238987068157476,0.004724550079967327,1.2010022246693823E-4,-7.010097477708717E-4,-0.01121622582968909,-5.875374559348131E-4,-2.851294575968888E-4,-2.851294575968888E-4
annealing,0.020793320105820096,0.024237433862433853,0.009354497354497344,0.0026931216931216956,-0.0015320767195767064,-0.004660383597883592,-0.08265244708994708,-0.004975198412698408,-0.00790112433862434,-0.009463624338624339
arrhythmia,0.2569983026504765,0.1389019454236845,0.1600600600600601,0.015161248204726464,0.010259825042433739,0.0021347434390912726,0.018689123906515236,-0.02900770335552944,-0.004111502807154987,0.0016059537798668274
audiology-std,0.28263888888888894,0.1599027777777778,0.33955555555555555,-0.05168055555555555,-0.02799999999999999,-0.06425000000000002,0.11345833333333338,-0.053236111111111116,-0.066875,-0.07381944444444445
balance-scale,0.029427104666721285,0.040856680593102324,0.014337060702875411,-0.00222857103847518,-0.002038106550886091,-0.0014892411457906652,-0.013540386663389862,-0.007036604680374647,-0.005434040577810539,-0.007028753993610222
balloons,0.426984126984127,0.3052910052910053,0.14179894179894176,0.03068783068783069,0.050793650793650766,0.04285714285714286,0.3396825396825397,0.053439153439153446,0.03862433862433863,0.037566137566137574
bank,0.0057050551939453005,0.004362996246472506,0.0011483028236911905,0.0014867922017432996,8.063886942760205E-4,3.6582867893315184E-4,-0.7793535113160311,0.0010293236996708219,6.901558946820393E-4,6.901558946820393E-4
blood,0.024866310160427795,0.009358288770053477,0.006684491978609623,0.0026737967914438536,5.347593582887833E-4,0.0022281639928698658,-0.36916221033868085,0.0010695187165775445,-0.0025846702317290694,-0.0025846702317290694
breast-cancer,0.0720918101199791,0.03698487219613979,0.03694574856546686,0.01502999478351591,0.011587115284298389,0.01260758998435056,-0.12110067814293164,0.013941053729786127,0.004244913928012525,0.004244913928012525
breast-cancer-wisc,0.0102158548233047,0.009737754127438951,0.006965206713057711,0.004575521899304132,0.0019967253376995267,0.003046527493518862,0.003142857142857118,0.0010443443853185741,0.0019967253376995267,0.0019967253376995267
breast-cancer-wisc-diag,0.012795898196194732,0.014084918869944833,0.006585124783790471,2.5574499629356834E-4,0.0015443538423523786,0.0015390000823655456,0.0027180627625401706,-6.795156906350204E-4,0.0015443538423523786,0.0015443538423523786
breast-cancer-wisc-prog,0.062435374149659856,0.04103401360544216,0.035238095238095214,0.01102721088435373,0.0030544217687074604,3.265306122448797E-4,-0.232156462585034,0.004646258503401357,-0.009122448979591854,-0.009122448979591854
breast-tissue,0.2733618233618234,0.23126780626780624,0.2555792972459639,9.971509971510048E-4,-0.007431149097815759,-0.01187084520417853,0.10771604938271605,-0.02739791073124408,-0.03133903133903134,-0.03962488129154796
car,0.011769536299640322,0.01814318917072454,0.006050810789087687,0.012820849436365963,-0.00350754749417835,-0.0010158585567663766,-0.006822729332859986,-0.0017962611939798718,-0.0032268133075238348,-0.003011138721625739
