folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.010040051996524468,0.009073485211482324,-0.008622986223672191,-0.009108332970335864,0.005247109584738507,-0.028737937975574446,0.014349023231075009,-0.014383870989928549,-0.006714612903299777,-0.020597088836566302,0.007647707498916745,-0.001927172769227603,-0.02586368565487418,-2.1550587712138025E-5,0.002852013948274057,0.0038075761778886275,-0.012458990836414996,0.016267025537446522,-0.0062361440037782545,-5.020828413762057E-4,-0.014851335334022608,0.004773455178216479,0.010034549718810681,-0.01055336865489942,0.010041427565952832,-0.02156159226746568,-0.014863715458878546,-0.013421430913171717,-0.011035964262706255,0.00955951974286029
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,-0.005131267165498499,-0.01074115113915286,-0.012583976759720006,-0.015450285121073715,-0.013361953759955525,-0.014754214909812324,-0.005172166903392839,-0.00672843278280999,-0.011683065798207881,-0.01983165109854168,-0.018889971187080357,-0.0073833483873612105,-0.010127001131013946,-0.008366166137847464,-0.009267090513507603,-0.0050493939118948505,-0.004680742937232973,-0.010700160855758312,-0.011846919618600849,-0.014017187950526644,-0.014467685350495918,-0.01733396353001626,-0.011314424884157015,-0.015941672198325985,-0.01610564003897874,-0.013321111032191246,-0.011478261936864853,-0.0061138266936318075,-0.008325269753490239,-0.006318771403531098
annealing,-0.0985813492063492,-0.07625000000000004,-0.06737103174603176,-0.07395833333333335,-0.0985813492063492,-0.08074404761904763,-0.06519841269841264,-0.09190476190476193,-0.08519841269841266,-0.06504960317460318,-0.10295634920634922,-0.07177579365079367,-0.031696428571428625,-0.09418650793650796,-0.09644841269841264,-0.13643849206349212,-0.06061507936507937,-0.12534722222222228,-0.060644841269841265,-0.08974206349206348,-0.06285714285714294,-0.0806944444444444,-0.10290674603174599,-0.09635912698412696,-0.0604960317460318,-0.06062500000000004,-0.12308531746031748,-0.13205357142857144,-0.0271230158730158,-0.060684523809523716
arrhythmia,0.07912260086173128,-0.010340775558166815,0.0022326674500586785,0.01684292988640823,-0.01531531531531527,-0.046220133176654854,0.05566000783392089,0.010614962788875859,0.03360752056404237,0.06466901684292992,0.021190755973364728,0.0031727379553466717,-0.015001958480219346,0.007050528789659283,-0.0016451233842538215,0.038582060321190825,0.02444183313748538,0.06964355660007837,0.03748531139835487,0.01978065021543285,-0.022600861731296495,0.029259694477085763,0.042459851155503325,-0.0025851938895417037,-0.06889933411672544,0.011711711711711703,0.05209557383470431,0.05644339992166081,-0.002428515471993631,0.06964355660007837
audiology-std,0.14333333333333342,0.1345833333333334,0.08333333333333337,0.13333333333333341,0.14375000000000004,0.10333333333333339,0.06333333333333335,0.125,0.1133333333333334,0.06291666666666662,0.10333333333333339,0.06333333333333335,0.08166666666666667,0.1545833333333334,0.11541666666666661,0.19583333333333341,0.0820833333333334,0.10499999999999998,0.1345833333333334,0.13583333333333336,0.1133333333333334,0.2154166666666666,0.13416666666666666,0.13375000000000004,0.18291666666666662,0.10458333333333336,-0.03916666666666668,0.15500000000000003,0.07374999999999998,0.05208333333333337
balance-scale,0.009318423855165014,-0.03879945932661588,-2.9696076021956674E-4,-0.013086753502088988,-0.025927746375030702,-0.006696977144261429,0.022108216597034436,0.012503072007864269,0.057333906774801324,-0.045138035553371036,0.00613377570246576,-0.03874825919554348,-0.07401490947816824,0.02850823298107652,0.0029388875235519807,-0.03227656262800027,-0.013086753502088988,-0.03226632260178586,-0.06115343655279759,-0.06124559678872776,0.01569796018677805,-0.048312443679855877,0.009297943802736075,-0.0067174571966903684,0.006072335545179053,0.006113295650036821,-0.0771995576308675,0.009318423855165014,0.012513312034078794,-0.02910215450151543
balloons,0.6349206349206349,0.4126984126984127,0.3492063492063492,0.3015873015873015,0.5555555555555556,0.4126984126984127,0.5555555555555556,0.6031746031746033,0.5555555555555556,0.19047619047619047,0.04761904761904767,0.15873015873015872,-0.2063492063492064,0.19047619047619047,0.2698412698412699,0.12698412698412698,0.2698412698412699,0.6666666666666667,0.7142857142857143,-0.06349206349206349,-0.2063492063492064,0.5555555555555556,0.04761904761904767,0.5555555555555556,0.15873015873015872,0.5238095238095237,0.23809523809523808,0.7777777777777778,0.5555555555555556,0.23809523809523808
bank,-0.7783657477895677,-0.7854422626060206,-0.7836731339019073,-0.7735006438532563,-0.7819040051977941,-0.7805771586697092,-0.7814617230217658,-0.7783657477895677,-0.777481183437511,-0.7748274903813412,-0.7819040051977941,-0.7792503121416243,-0.7757120547333979,-0.783230851725879,-0.7743852082053129,-0.7814617230217658,-0.7823462873738224,-0.777481183437511,-0.7801348764936809,-0.7805771586697092,-0.7819040051977941,-0.7854422626060206,-0.7752697725573695,-0.7823462873738224,-0.7854422626060206,-0.7805771586697092,-0.7735006438532563,-0.7726160795011997,-0.7735006438532563,-0.7779234656135393
blood,0.002673796791443861,-0.013368983957219305,-0.5588235294117647,-0.553475935828877,-0.5508021390374331,-0.53475935828877,-0.553475935828877,-0.018716577540106916,-0.5374331550802138,0.002673796791443861,-0.5561497326203209,-0.05614973262032086,-0.5614973262032086,-0.02941176470588236,-0.5668449197860963,-0.5508021390374331,-0.5374331550802138,-0.5401069518716577,-0.553475935828877,0.03208556149732622,0.0,-0.5641711229946524,-0.5508021390374331,-0.5561497326203209,-0.5427807486631016,0.008021390374331583,-0.5508021390374331,0.02941176470588236,-0.5588235294117647,-0.553475935828877
breast-cancer,-0.44728090766823164,-0.4403364632237872,-0.004499217527386579,-0.032081377151799706,-0.07453051643192488,-0.4333920187793427,-0.4333920187793427,-0.01848591549295775,-0.3778364632237872,0.12177230046948351,-0.0746283255086071,-0.004499217527386579,-0.004401408450704247,-0.01154147104851333,-0.00459702660406891,0.024256651017214415,-0.41950312989045385,0.01692097026604078,-0.025234741784037618,-0.03951486697965567,-0.018192488262910866,0.11482785602503909,-0.44728090766823164,-0.08832159624413138,-0.42644757433489827,-0.06748826291079812,0.052132237871674536,-0.025136932707355286,-0.011834898278560213,-0.03247261345852892
breast-cancer-wisc,0.005632419156774371,-0.005812525583299255,0.005607859189521003,-0.022988129349160835,0.005624232501023285,0.025665165779778953,0.002758902988129308,-0.005820712239050341,-9.823986901358328E-5,0.008481375358166177,0.008489562013917262,0.008481375358166177,-0.005845272206303709,0.0056160458452721995,0.02851412198117076,0.019918133442488717,0.002758902988129308,-0.0144003274662301,0.005624232501023285,0.005624232501023285,-0.0029553827261563637,-0.005812525583299255,0.025656979124027868,-0.005812525583299255,0.0027507163323782224,-0.0058288988948015374,-9.823986901358328E-5,-0.005820712239050341,-0.002971756037658646,0.011346704871060154
breast-cancer-wisc-diag,-0.01765505312577209,-0.007128737336298485,0.02100321225599211,0.006943414875216214,-9.883864591053726E-5,-8.648381517173398E-5,0.01046454163577959,-0.01064986409686186,0.020978502594514503,0.013948603904126555,-0.007104027674820768,-9.883864591053726E-5,-0.007116382505559682,-7.41289844329307E-5,0.03154188287620463,0.010439831974301983,-0.01418334568816415,-0.01064986409686186,0.017482085495428734,0.024524339016555485,-0.017667407956510894,0.01046454163577959,0.010439831974301983,-0.007128737336298485,-1.1119347664934054E-4,-0.01418334568816415,-9.883864591053726E-5,-6.17741536940164E-5,0.01046454163577959,0.006943414875216214
