TRAINAUROC:,ES-S,CAWPE-S,SMM5-S,NBC-S,SMLRE-S,SMLR-S,PB-S,WMV-S,RC-S,MV-S
abalone,0.8366385734741564,0.8325084119951163,0.8269575237927692,0.8160518174328911,0.8313224815474843,0.8245622423362966,0.8144330837138801,0.7979008957995304,0.7976275223483086,0.7958679182001213
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.9079552655310267,0.9065262350582418,0.5657598805966078,0.706870241924282,0.5690322354269759,0.5718844220262493,0.8851335821712321,0.7069005244880778,0.7069159469119088,0.702201648119488
annealing,0.9598675810222606,0.9570869225295436,0.988980593161212,0.9389403030460677,0.9730213507024157,0.9679787488599766,0.8546782772438081,0.9388316624970194,0.9378328164192525,0.9306058756902106
arrhythmia,0.8368838002524548,0.8387952980782923,0.9575506462361443,0.8883223436806541,0.9492976602689086,0.9183583798955334,0.7843886266181127,0.7945211397562998,0.7959256507094497,0.8013496212317137
audiology-std,0.928266082675221,0.9277839124704907,0.9877776272654722,0.9862503644534085,0.9275807843673713,0.9982226581304052,0.8468521453842773,0.854769109146993,0.8533287227148739,0.8548934642969735
balance-scale,0.9838796571869483,0.9842693812745889,0.9920915263363174,0.9780609292328032,0.9844398656898644,0.9728972705535189,0.9780694084079491,0.9757432526963764,0.9762638740503313,0.973753455263871
balloons,0.6222222222222222,0.6777777777777777,0.55,0.7861111111111111,0.9333333333333333,0.23333333333333334,0.7055555555555556,0.5527777777777778,0.5583333333333335,0.5333333333333333
bank,0.86462346153846,0.858482628205127,0.3029642948717942,0.5049273717948706,0.3081683974358968,0.2543966666666661,0.8513433333333321,0.5046999999999986,0.5037460897435885,0.49984269230769096
blood,0.7394086339444121,0.7390485577238983,0.2182968657599054,0.41938366515539827,0.3075891977133847,0.21627307970300286,0.722115776332217,0.41932190025625893,0.4188172678888236,0.41376963006767903
breast-cancer,0.6755000000000001,0.6715714285714288,0.272984126984127,0.4853492063492065,0.355452380952381,0.2672698412698412,0.656761904761905,0.4814841269841273,0.4800873015873018,0.463246031746032
breast-cancer-wisc,0.9924260067928189,0.9915077632217368,0.9521009218825806,0.9656635128578351,0.9532629791363405,0.9378105288694798,0.9942588549247938,0.9656586608442495,0.9656538088306637,0.9651673944687033
breast-cancer-wisc-diag,0.9916472334110662,0.9913151014062609,0.9541233835064659,0.9783107200904528,0.9537099851600591,0.9466433467599461,0.9914246343014628,0.978261253621652,0.9783001201328525,0.9769980920076319
breast-cancer-wisc-prog,0.7272850241545893,0.7249082125603866,0.3261642512077294,0.6240772946859903,0.37006763285024147,0.30514009661835745,0.737487922705314,0.6123478260869564,0.6151111111111108,0.5762318840579709
breast-tissue,0.903995195341622,0.9039484129869835,0.980907611248649,0.9572793646396878,0.9773973583453165,0.9782162947449392,0.8874688575326691,0.8803947109066222,0.8860515903971662,0.8761871932504377
car,0.9953051709941295,0.9948590561236585,0.9988757300860567,0.9904759887451058,0.9971239859612125,0.9962550626347368,0.9301939492255545,0.9883780986191103,0.9879570991217491,0.9867616300526102
cardiotocography-3clases,0.9783926197383427,0.9784130659200142,0.9861081070759579,0.9702817602446566,0.976903891559682,0.9736381949521478,0.9597207852555805,0.9689694327534145,0.9684094797463368,0.9697721651555132
cardiotocography-10clases,0.9816497838487623,0.9818640113281764,0.9947612656192217,0.9776232334437438,0.9861119861072163,0.9828538762229602,0.9721254979507935,0.9631157684870453,0.9630229263102283,0.9634485846969594
chess-krvk,0.9592710738200813,0.9611216625354655,0.99342918797671,0.948530599617708,0.9683295463060781,0.9657674675543542,0.7461820032042535,0.9171491971220795,0.9139120937948932,0.8933411524195599
chess-krvkp,0.9988557515717427,0.9987452763870146,0.987326364334478,0.9960499752229625,0.9846738598636116,0.9834360034907804,0.9895026049933283,0.996036460477747,0.9960322698590754,0.9952512433041728
congressional-voting,0.5746091419023742,0.573514142499104,0.09834407447189397,0.34536340852130215,0.2309881847475833,0.07608008115526912,0.5185493495643863,0.31458109559613323,0.3178452082587421,0.30142320085929125
conn-bench-sonar-mines-rocks,0.8927146464646469,0.8937626262626266,0.7208459595959599,0.8638888888888893,0.724116161616162,0.706717171717172,0.8243181818181821,0.8600000000000004,0.8604419191919196,0.8243560606060609
conn-bench-vowel-deterding,0.9974475121586237,0.9976353161242051,0.9993535353535355,0.9986901608679383,0.9998716049382714,0.9996505798728024,0.9680567153011598,0.9946549943883279,0.9946325476992145,0.9931085671530117
connect-4,0.8870592030228295,0.8855002207847547,0.5593773207529206,0.7126860468521292,0.5480838323087023,0.5437456605867419,0.5253568762578003,0.7130936892387716,0.7132446711536627,0.7000778277319282
contrac,0.711559720478937,0.7116495795992631,0.7087079347775493,0.6931092188541388,0.7249248371361596,0.7009482524269977,0.6750464111123154,0.6772305917658907,0.6749939141956088,0.6738051019726609
credit-approval,0.9125973833396038,0.910382233172498,0.7598341489009772,0.8512575710912607,0.7617515883607634,0.7463675871744833,0.8501807936670859,0.8512587117453115,0.8512358986642908,0.8461759572939093
cylinder-bands,0.7777329059829043,0.7800619658119643,0.4924594017094005,0.7160384615384596,0.5096602564102551,0.48502136752136626,0.740149572649571,0.7146944444444424,0.7146388888888873,0.6848226495726479
dermatology,0.9986786097676458,0.9986523941304088,0.9995473866018503,0.9985868700475627,0.9995935554563135,0.999284314120257,0.9961352658164812,0.9963917217581443,0.9965832759845086,0.9963747116303517
echocardiogram,0.8229797979797981,0.819877344877345,0.6482323232323233,0.7002525252525252,0.6579004329004332,0.6235209235209236,0.814646464646465,0.6997835497835498,0.7005772005772007,0.6916666666666668
ecoli,0.960434500366342,0.9596649406212585,0.9891838671418846,0.9716137628178639,0.9870861062041666,0.979738926536785,0.9541917571789374,0.9302687601143232,0.9299840081368896,0.9301990863031857
energy-y1,0.9859692833276111,0.985541106545827,0.9966879845389183,0.9794492671197712,0.9901774381943745,0.9867264477718503,0.9267734045851949,0.9713717504432093,0.9713709786522702,0.969587302908835
energy-y2,0.978617917766456,0.9786054928900452,0.9886861776895832,0.9718836358247852,0.9837468365435077,0.9793796491603185,0.9486829314169801,0.9557941394044487,0.9557161144285103,0.9547248460861951
fertility,0.5517676767676769,0.5523989898989901,0.16047979797979797,0.31338383838383854,0.2532828282828283,0.13207070707070706,0.5021464646464647,0.2684343434343434,0.27398989898989895,0.2616161616161615
flags,0.7988377140238258,0.8040190875730189,0.961655726380014,0.907666462980362,0.9724955931448148,0.9417052263380482,0.7221038249226048,0.7334242354901834,0.7315168318608496,0.7269834038703737
glass,0.8583111973146887,0.861709781762183,0.9532278949406443,0.8829435382699017,0.9502811167462232,0.9144936697378088,0.793985082407705,0.830161344347754,0.8300181494271973,0.8289139777075456
haberman-survival,0.6844866071428574,0.6844568452380956,0.2621130952380953,0.406919642857143,0.34144345238095253,0.21833333333333338,0.6970758928571432,0.403638392857143,0.40267857142857166,0.39782738095238107
hayes-roth,0.8372515766675643,0.8521308858515128,0.9448929437112845,0.8639999382799175,0.954340184262501,0.9009004118412783,0.5123170841188617,0.7725320383337824,0.7694851703474278,0.7327653683005656
heart-cleveland,0.8063107288804454,0.8053062869507533,0.9390171830971814,0.8426949735703981,0.9313246813343061,0.8784696004720703,0.8116512846940622,0.7086654534144149,0.7098028606471178,0.7090399994671085
heart-hungarian,0.867917837548508,0.8652214639368391,0.6497390606182255,0.7423792319015123,0.6660377358490565,0.6262344439983939,0.8577144386457917,0.7421316740264956,0.7418640438913421,0.7332530442927874
heart-switzerland,0.5866764666893739,0.5878744443916755,0.8800059918269462,0.7644568447251623,0.8498875213288383,0.8137812041789055,0.556174217896442,0.5549384198280249,0.5625132570945321,0.5537163408812602
heart-va,0.5853151543021171,0.5902236668771333,0.8842775699717875,0.7462753167618956,0.8987641853742309,0.7738597203670435,0.5791190513310107,0.5487280371749231,0.5540181860770989,0.5460462728271939
hepatitis,0.8155396174863392,0.8175546448087435,0.4363387978142078,0.6942281420765032,0.5079576502732244,0.4131830601092899,0.8044740437158475,0.6935450819672135,0.6929303278688529,0.6731557377049183
hill-valley,0.7402977921554554,0.7325886714083969,0.7737280658758982,0.6426196415021056,0.4326511198974689,0.41182273342845893,0.5935859592559924,0.612191615201125,0.6109364731852734,0.4875447940833686
horse-colic,0.8686105476673419,0.8670385395537513,0.6998394185260303,0.806440162271804,0.6952248140635556,0.6776326910074366,0.8470545977011482,0.8060006761325208,0.8063471940500325,0.791810344827585
ilpd-indian-liver,0.7249285603954285,0.7252510040160651,0.18214009885696633,0.38194894964473314,0.22449992276799507,0.17252085264133457,0.7040836422613539,0.37486484399135,0.37578004324992276,0.36154039233858504
image-segmentation,0.9957748917748924,0.995811068841372,0.9992487064002215,0.9965486903668722,0.997867506231143,0.9968416342355741,0.9806148935239849,0.991020012535165,0.991018088533241,0.9904254084860151
ionosphere,0.945559334845049,0.9448034769463337,0.8101284958427807,0.9021636432350708,0.8062405517762652,0.7773573318216164,0.892351662887377,0.9020502645502638,0.9017101284958423,0.8919973544973538
iris,0.9958666666666666,0.9960266666666667,0.9985066666666668,0.9927111111111109,0.99912,0.9972000000000001,0.9882844444444447,0.9875111111111113,0.9876177777777778,0.9869688888888889
led-display,0.9487202579601749,0.9479787404924226,0.9708626404901701,0.9435558156128115,0.9713703515105221,0.957817090356506,0.9469980347130381,0.8663890091315084,0.8663331191654254,0.8662266702994396
lenses,0.8005892255892255,0.8167508417508418,0.9184343434343435,0.9054713804713804,0.9704545454545455,0.5726430976430978,0.8202020202020202,0.7744949494949492,0.7885521885521884,0.7505050505050501
letter,0.9969311826781274,0.9970107103027315,0.9998084061801937,0.9977841828514765,0.9987608176988502,0.9982911032892624,0.987284581085035,0.9898259068715807,0.989757846410835,0.9892649289448392
libras,0.9654541446208115,0.9657506613756613,0.9945623897707229,0.9918661816578481,0.997526455026455,0.9955015432098764,0.9461155202821872,0.9353736772486773,0.9362533068783069,0.9334854497354499
low-res-spect,0.9763725073182372,0.9756792879334975,0.9952042813737643,0.9813121955083083,0.9924740270599363,0.9898374180715468,0.9695088654133822,0.9530959524400332,0.9526175086258057,0.9521730458464626
lung-cancer,0.6051604938271604,0.6214455667789001,0.9763726150392816,0.9308731762065098,0.8920224466891132,0.565618406285073,0.5658765432098766,0.5874837261503928,0.6069135802469137,0.5677239057239055
lymphography,0.882166752719241,0.8819095382737029,0.9377652941492574,0.8819461517858334,0.9469767272655966,0.9292563167250203,0.8720054516179145,0.8707889046883592,0.8697320941717314,0.8678236622990604
magic,0.9127696108101392,0.9077191925184424,0.6837854302495546,0.81262400474177,0.6827397268733717,0.6855097017471589,0.8337564247861504,0.8127996897117213,0.8127808851442033,0.8026563100575906
mammographic,0.8878488954070315,0.8865929883371708,0.6950403892264332,0.7941656773052092,0.6969789556998836,0.6865813487906488,0.863320297041224,0.7941034057313097,0.7940062155178407,0.7892270177153867
miniboone,0.9580681579057513,0.956730682633074,0.7943862920142918,0.9109932338863769,0.785257504944703,0.7859771619415236,0.9029260046947948,0.9109810769621977,0.9100537928115721,0.9020242364973908
molec-biol-promoter,0.8824457593688362,0.880128205128205,0.724704142011834,0.8304733727810647,0.7502958579881654,0.6943786982248519,0.8390532544378696,0.8288954635108479,0.8297830374753447,0.8080867850098616
molec-biol-splice,0.9736508378724266,0.9738105852778426,0.9840004333725535,0.9624297358275373,0.9741150229682591,0.973171286141142,0.9363911999840446,0.9607808941250711,0.960590483034953,0.9520891553151731
monks-1,0.9463968393630406,0.9465314079671499,0.8487483394579285,0.9017545675689647,0.8345841312561445,0.8284181288063059,0.7320100753929225,0.8651018753342635,0.8649724824456967,0.8242223487397119
monks-2,0.7773643487260358,0.7769520148505903,0.46291952096988803,0.6208203965633363,0.5036880061767942,0.4496591263778686,0.5105613326105163,0.6151052190626384,0.615749182724689,0.5699850508435593
monks-3,0.9780127401837906,0.9785401002506245,0.9421052631578923,0.9671714007240301,0.9379194514062914,0.9323134224449993,0.8432313422444978,0.954607003620159,0.9545895989974914,0.9299289891395133
mushroom,0.9999997815338847,0.9999961242492856,0.9999160604636488,1.0,0.9999489274770141,0.9999489274770141,0.9523734725172657,0.9999952018367982,0.9999952018367982,0.9998598661239639
musk-1,0.9391923875766793,0.9377288315703036,0.8123581123508669,0.912481282905859,0.799340675264454,0.7874535091532627,0.8756291358740275,0.9119596193788341,0.9125609815002652,0.8918103656474904
musk-2,0.9948214940874318,0.9926774240585508,0.952576294226661,0.9769954797316983,0.9491160076764584,0.9471340040828216,0.9468427501669799,0.9770008184460798,0.9770955982652688,0.9733977271658231
nursery,0.9989221367507165,0.9984229446859069,0.9998655407489341,0.9973466813031931,0.9993796186279807,0.9993500280089076,0.9815407002514609,0.9959377513352181,0.9956935546881883,0.9945686121051589
