TRAINAUROCRANKS:,ES-S,CAWPE-S,SMM5-S,NBC-S,SMLRE-S,SMLR-S,PB-S,WMV-S,RC-S,MV-S
abalone,1.0,2.0,4.0,6.0,3.0,5.0,7.0,8.0,9.0,10.0
acute-inflammation,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
acute-nephritis,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
adult,1.0,2.0,10.0,6.0,9.0,8.0,3.0,5.0,4.0,7.0
annealing,4.0,5.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
arrhythmia,6.0,5.0,1.0,4.0,2.0,3.0,10.0,9.0,8.0,7.0
audiology-std,4.0,5.0,2.0,3.0,6.0,1.0,10.0,8.0,9.0,7.0
balance-scale,4.0,3.0,1.0,6.0,2.0,10.0,5.0,8.0,7.0,9.0
balloons,5.0,4.0,8.0,2.0,1.0,10.0,3.0,7.0,6.0,9.0
bank,1.0,2.0,9.0,4.0,8.0,10.0,3.0,5.0,6.0,7.0
blood,1.0,2.0,9.0,4.0,8.0,10.0,3.0,5.0,6.0,7.0
breast-cancer,1.0,2.0,9.0,4.0,8.0,10.0,3.0,5.0,6.0,7.0
breast-cancer-wisc,2.0,3.0,9.0,4.0,8.0,10.0,1.0,5.0,6.0,7.0
breast-cancer-wisc-diag,1.0,3.0,8.0,4.0,9.0,10.0,2.0,6.0,5.0,7.0
breast-cancer-wisc-prog,2.0,3.0,9.0,4.0,8.0,10.0,1.0,6.0,5.0,7.0
breast-tissue,5.0,6.0,1.0,4.0,3.0,2.0,7.0,9.0,8.0,10.0
car,4.0,5.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
cardiotocography-3clases,3.0,2.0,1.0,6.0,4.0,5.0,10.0,8.0,9.0,7.0
cardiotocography-10clases,5.0,4.0,1.0,6.0,2.0,3.0,7.0,9.0,10.0,8.0
chess-krvk,5.0,4.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
chess-krvkp,1.0,2.0,8.0,3.0,9.0,10.0,7.0,4.0,5.0,6.0
congressional-voting,1.0,2.0,9.0,4.0,8.0,10.0,3.0,6.0,5.0,7.0
conn-bench-sonar-mines-rocks,2.0,1.0,9.0,3.0,8.0,10.0,7.0,5.0,4.0,6.0
conn-bench-vowel-deterding,6.0,5.0,3.0,4.0,1.0,2.0,10.0,7.0,8.0,9.0
connect-4,1.0,2.0,7.0,5.0,8.0,9.0,10.0,4.0,3.0,6.0
contrac,3.0,2.0,4.0,6.0,1.0,5.0,8.0,7.0,9.0,10.0
credit-approval,1.0,2.0,9.0,4.0,8.0,10.0,6.0,3.0,5.0,7.0
cylinder-bands,2.0,1.0,9.0,4.0,8.0,10.0,3.0,5.0,6.0,7.0
dermatology,4.0,5.0,2.0,6.0,1.0,3.0,10.0,8.0,7.0,9.0
echocardiogram,1.0,2.0,9.0,5.0,8.0,10.0,3.0,6.0,4.0,7.0
ecoli,5.0,6.0,1.0,4.0,2.0,3.0,7.0,8.0,10.0,9.0
energy-y1,4.0,5.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
energy-y2,4.0,5.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
fertility,2.0,1.0,9.0,4.0,8.0,10.0,3.0,6.0,5.0,7.0
flags,6.0,5.0,2.0,4.0,1.0,3.0,10.0,7.0,8.0,9.0
glass,6.0,5.0,1.0,4.0,2.0,3.0,10.0,7.0,8.0,9.0
haberman-survival,2.0,3.0,9.0,4.0,8.0,10.0,1.0,5.0,6.0,7.0
hayes-roth,6.0,5.0,2.0,4.0,1.0,3.0,10.0,7.0,8.0,9.0
heart-cleveland,6.0,7.0,1.0,4.0,2.0,3.0,5.0,10.0,8.0,9.0
heart-hungarian,1.0,2.0,9.0,4.0,8.0,10.0,3.0,5.0,6.0,7.0
heart-switzerland,6.0,5.0,1.0,4.0,2.0,3.0,8.0,9.0,7.0,10.0
heart-va,6.0,5.0,2.0,4.0,1.0,3.0,7.0,9.0,8.0,10.0
hepatitis,2.0,1.0,9.0,4.0,8.0,10.0,3.0,5.0,6.0,7.0
hill-valley,2.0,3.0,1.0,4.0,9.0,10.0,7.0,5.0,6.0,8.0
horse-colic,1.0,2.0,8.0,4.0,9.0,10.0,3.0,6.0,5.0,7.0
ilpd-indian-liver,2.0,1.0,9.0,4.0,8.0,10.0,3.0,6.0,5.0,7.0
image-segmentation,6.0,5.0,1.0,4.0,2.0,3.0,10.0,7.0,8.0,9.0
ionosphere,1.0,2.0,8.0,3.0,9.0,10.0,6.0,4.0,5.0,7.0
iris,5.0,4.0,2.0,6.0,1.0,3.0,7.0,9.0,8.0,10.0
led-display,4.0,5.0,2.0,7.0,1.0,3.0,6.0,8.0,9.0,10.0
lenses,6.0,5.0,2.0,3.0,1.0,10.0,4.0,8.0,7.0,9.0
letter,6.0,5.0,1.0,4.0,2.0,3.0,10.0,7.0,8.0,9.0
libras,6.0,5.0,3.0,4.0,1.0,2.0,7.0,9.0,8.0,10.0
low-res-spect,5.0,6.0,1.0,4.0,2.0,3.0,7.0,8.0,9.0,10.0
lung-cancer,6.0,4.0,1.0,2.0,3.0,10.0,9.0,7.0,5.0,8.0
lymphography,4.0,6.0,2.0,5.0,1.0,3.0,7.0,8.0,9.0,10.0
magic,1.0,2.0,9.0,6.0,10.0,8.0,3.0,4.0,5.0,7.0
mammographic,1.0,2.0,9.0,4.0,8.0,10.0,3.0,5.0,6.0,7.0
miniboone,1.0,2.0,8.0,3.0,10.0,9.0,6.0,4.0,5.0,7.0
molec-biol-promoter,1.0,2.0,9.0,4.0,8.0,10.0,3.0,6.0,5.0,7.0
molec-biol-splice,4.0,3.0,1.0,6.0,2.0,5.0,10.0,7.0,8.0,9.0
monks-1,2.0,1.0,6.0,3.0,7.0,8.0,10.0,4.0,5.0,9.0
monks-2,1.0,2.0,9.0,3.0,8.0,10.0,7.0,5.0,4.0,6.0
monks-3,2.0,1.0,6.0,3.0,7.0,8.0,10.0,4.0,5.0,9.0
mushroom,2.0,3.0,8.0,1.0,6.5,6.5,10.0,4.5,4.5,9.0
musk-1,1.0,2.0,8.0,4.0,9.0,10.0,7.0,5.0,3.0,6.0
musk-2,1.0,2.0,7.0,5.0,8.0,9.0,10.0,4.0,3.0,6.0
nursery,4.0,5.0,1.0,6.0,2.0,3.0,10.0,7.0,8.0,9.0
oocytes_merluccius_nucleus_4d,1.0,2.0,9.0,4.0,8.0,10.0,6.0,5.0,3.0,7.0
oocytes_merluccius_states_2f,4.0,5.0,1.0,7.0,2.0,3.0,6.0,9.0,8.0,10.0
oocytes_trisopterus_nucleus_2f,1.0,2.0,9.0,4.0,8.0,10.0,6.0,5.0,3.0,7.0
oocytes_trisopterus_states_5b,4.0,5.0,1.0,8.0,2.0,3.0,10.0,6.0,7.0,9.0
optical,5.0,6.0,1.0,4.0,2.0,3.0,7.0,9.0,8.0,10.0
ozone,3.0,2.0,9.0,4.0,8.0,10.0,1.0,5.0,6.0,7.0
page-blocks,4.0,5.0,1.0,7.0,2.0,3.0,10.0,8.0,9.0,6.0
parkinsons,1.0,2.0,9.0,3.0,8.0,10.0,7.0,5.0,4.0,6.0
pendigits,5.0,6.0,1.0,4.0,2.0,3.0,10.0,7.0,8.0,9.0
pima,1.0,2.0,10.0,4.0,8.0,9.0,3.0,5.0,6.0,7.0
pittsburg-bridges-MATERIAL,5.0,4.0,1.0,7.0,2.0,3.0,6.0,9.0,8.0,10.0
pittsburg-bridges-REL-L,6.0,5.0,2.0,4.0,1.0,3.0,9.0,8.0,7.0,10.0
pittsburg-bridges-SPAN,5.0,6.0,1.0,4.0,2.0,3.0,7.0,9.0,8.0,10.0
pittsburg-bridges-T-OR-D,2.0,1.0,10.0,4.0,8.0,9.0,3.0,6.0,5.0,7.0
pittsburg-bridges-TYPE,6.0,5.0,1.0,4.0,3.0,2.0,7.0,9.0,8.0,10.0
planning,2.0,3.0,9.0,4.0,6.0,10.0,1.0,7.0,5.0,8.0
plant-margin,5.0,4.0,2.0,3.0,7.0,1.0,6.0,9.0,8.0,10.0
plant-shape,5.0,4.0,2.0,3.0,10.0,1.0,6.0,8.0,7.0,9.0
plant-texture,6.0,5.0,3.0,4.0,2.0,1.0,7.0,9.0,8.0,10.0
post-operative,9.0,10.0,2.0,4.0,1.0,3.0,8.0,7.0,5.0,6.0
primary-tumor,6.0,5.0,2.0,4.0,1.0,3.0,7.0,10.0,9.0,8.0
ringnorm,2.0,1.0,7.0,3.0,8.0,9.0,10.0,4.0,5.0,6.0
seeds,4.0,5.0,2.0,6.0,1.0,3.0,10.0,7.0,8.0,9.0
semeion,5.0,6.0,1.0,4.0,2.0,3.0,7.0,8.0,9.0,10.0
soybean,5.0,6.0,1.0,4.0,2.0,3.0,7.0,9.0,8.0,10.0
spambase,1.0,2.0,8.0,6.0,9.0,10.0,3.0,4.0,5.0,7.0
spect,3.0,2.0,9.0,4.0,8.0,10.0,1.0,6.0,5.0,7.0
spectf,2.0,3.0,8.0,4.0,9.0,10.0,1.0,6.0,5.0,7.0
statlog-australian-credit,1.0,2.0,9.0,4.0,8.0,10.0,3.0,6.0,5.0,7.0
