folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8225572243499417,0.8160217247015833,0.8153434145332692,0.8133554644357788,0.8197635234761076,0.8097710636486639,0.8242555494992899,0.8101961135221777,0.8194343249184434,0.819858425546566,0.8181958927399892,0.8129447214436588,0.8110825879429473,0.8242744197684273,0.8159910182641191,0.8174968563653533,0.8126132697966156,0.8243985247306248,0.8169363924697239,0.8114613752140372,0.8155807142273642,0.8151192964339464,0.8157358623919573,0.8133779669016477,0.8204977804126582,0.813608056409559,0.8080170100610504,0.8139348114460818,0.812868023042884,0.8168631142922638
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7123935990256418,0.7096767914030689,0.7147646251024616,0.7124939717627266,0.6886391816233176,0.7068538899355892,0.7083023067645611,0.7023444961667438,0.7019650052272329,0.7008272325764847,0.6880763296387227,0.7259216974175717,0.7013342093292837,0.7108482365966395,0.7012887168487221,0.6960836787472009,0.6896348662773657,0.6926723231073012,0.7221081230233476,0.7217672334393559,0.7044719191307609,0.7021393009420465,0.7258642928719297,0.7053211489521862,0.6985432207724285,0.7065179844406995,0.7091292233442039,0.7245618610261465,0.7105137959264576,0.7110479963082683
annealing,0.9413420728205671,0.966952198034358,0.9464998273548441,0.9571342225727016,0.9086385749940761,0.9510753197112017,0.9327296467927194,0.9147550278428604,0.9197830724694775,0.9689715202976572,0.9303038475684473,0.9319076161594927,0.9573209894147926,0.9261283488663784,0.9206569154441634,0.9148986971277241,0.9523548769455162,0.9333065925991866,0.9593520892368376,0.9369788752817789,0.9396617434594268,0.9479162523384657,0.9580808662026238,0.9367345911729656,0.9579391979767208,0.9609547371500303,0.9028561104565147,0.9044653450253514,0.9440346836466587,0.9444752324184941
arrhythmia,0.934961613123195,0.872834436276535,0.8658784539944943,0.8984720359497053,0.878887251069409,0.884196515335396,0.9036779886670769,0.8910800515723326,0.8605352236433846,0.908124388702865,0.8757176297887105,0.9013152505616608,0.8937646030250344,0.8528926218667021,0.8636769095043907,0.8978710591411064,0.8545371636237923,0.903125394640513,0.8834099029766226,0.8986390121440919,0.8993698482841872,0.885822593591576,0.8987251086414223,0.8682140840008822,0.8499606234212111,0.8901763554234968,0.9129343466262255,0.911849680226215,0.8886473106076891,0.9203728539897004
audiology-std,0.975577166156224,0.9904351212494577,0.9907319193606431,0.9845753675583817,0.9917200115047453,0.9806945465221417,0.9764114200056292,0.9932010025067238,0.988605177088414,0.9853142015981422,0.9880850841333136,0.9849714322601648,0.9846430198826571,0.9893153132605149,0.9877488525412328,0.9904091124097332,0.976629884468337,0.9879619505505878,0.9841298030153597,0.978198208546097,0.9877408583873203,0.9961263087585497,0.9881112179761139,0.9794601825321627,0.9907180136982965,0.989106782503752,0.9877478084525926,0.9888173339895358,0.9832824863409283,0.987041346344507
balance-scale,0.978664275539274,0.9719439992877479,0.9843734101546596,0.9790235805860801,0.9809727309727302,0.9730425824175808,0.9882112968050463,0.9799981557794044,0.9882717109279604,0.9707102793040279,0.9881206756206752,0.9762254527879513,0.9674336080586068,0.986025259462759,0.9793908348595841,0.9762540700040695,0.9937248804436302,0.9734368640618636,0.9658071962759449,0.9749392679080174,0.9854227080789577,0.972775488400487,0.9796881359381344,0.9837549603174598,0.9755926943426936,0.9734909188034175,0.9636593152218137,0.981028375559625,0.972835902523401,0.9770092465404959
balloons,0.75,0.8333333333333333,0.75,0.8333333333333334,1.0,1.0,1.0,0.75,1.0,0.75,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.41666666666666663,0.75,1.0,0.5,0.6666666666666666,0.8333333333333333,1.0,0.6666666666666666,1.0,0.5833333333333333,0.9166666666666666,0.41666666666666663,1.0,1.0,0.5833333333333333
bank,0.4932788461538448,0.5034903846153833,0.5112749999999986,0.48512307692307566,0.5641557692307677,0.5124519230769217,0.491107692307691,0.5429249999999985,0.5256788461538447,0.49703846153846015,0.5366192307692293,0.49698846153846016,0.49766153846153716,0.544934615384614,0.48700769230769103,0.49726730769230637,0.46541923076922953,0.5569538461538446,0.48864999999999875,0.4442115384615373,0.4469442307692296,0.504134615384614,0.5560365384615369,0.5318711538461524,0.49512884615384484,0.4846538461538449,0.4953596153846141,0.4505384615384604,0.5007384615384602,0.5401769230769216
