folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8342433644515016,0.8371997583663355,0.8289551351518782,0.8320551835223229,0.8393868147593193,0.8267559116966198,0.8418918907828341,0.8275098556312058,0.8397798709049069,0.8274316523162815,0.8316275458692072,0.8306358696417154,0.8240118298622707,0.8325103492034951,0.8318415722769803,0.8285201380659892,0.8243372878969294,0.8414399687098901,0.8283316626655635,0.829997164953979,0.8305905192489271,0.8287122797854811,0.8295125548761597,0.8289666235637323,0.8341127351929498,0.8310216016687182,0.8279556425260118,0.8286920966230951,0.8311268460290375,0.8305207201811904
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.570524865394846,0.5706940480422824,0.5707463947969504,0.5723411006293326,0.5710001871935726,0.57689038553646,0.5719159329545795,0.5677672729987919,0.5606999636309163,0.5637304372084695,0.5518128997641603,0.5524452065504873,0.5673279914155298,0.5759822310682803,0.5693998800189093,0.5843421791456823,0.5692714176558159,0.5616700645226073,0.5740379388309957,0.5774801939807799,0.5606823304580127,0.5667249350596969,0.574953518762791,0.5631145751523575,0.5681179096553711,0.5654628549888958,0.559642046958603,0.5670099678373611,0.5841895517812702,0.5809887808154653
annealing,0.9794004891919993,0.9839676327760666,0.9810880530444079,0.9726668174485622,0.9638280596979135,0.9709683416566902,0.9632999826279532,0.9775056519079931,0.9624673673785238,0.9848483454720476,0.9733948186945132,0.9744164648845659,0.9788042935091569,0.9500311036893723,0.966328561321318,0.9684368597310624,0.9786467094285555,0.9732336671785277,0.9787421923155133,0.9651056183922521,0.972865131671567,0.9772342133002182,0.9845310310045855,0.9622503190505027,0.9899125646518651,0.9808474989149034,0.9596096764220325,0.9638929288818341,0.9794172978695483,0.9728988289584213
arrhythmia,0.969402542799749,0.9593242280831551,0.9448011689937,0.9580863064490304,0.9485800726919661,0.9590148504747795,0.9671808203054465,0.946960077095953,0.9313019980769002,0.9480950262408584,0.9438635519590813,0.9451321717823346,0.945707724935313,0.9364749315814161,0.9328165647780366,0.9416263744609504,0.9335936786794159,0.9536760985702055,0.9392921151363749,0.9652116759873729,0.9503517794626417,0.9640772630991248,0.9463007231886605,0.9347675558225967,0.9450068635189246,0.9496212642513531,0.9637206669489555,0.9416475624649137,0.9499148560567373,0.9633792941713103
audiology-std,0.9954543306337611,0.9985511774806078,0.9854270619839942,0.9505576007908216,0.9763886116419396,0.9504036704341331,0.7421441967221922,0.9102305870742222,0.8365394042790222,0.9828267710531193,0.7680284763597733,0.7886560200513325,0.9600119663709005,0.9954236181327939,0.9915757715800788,0.9888698630136984,0.8580370267743024,0.9808339353169889,0.9987331081081079,0.9544081128684788,0.9862072420062621,0.9333910654754842,0.9998802681992335,0.9531015197974028,0.9998903508771928,0.7344648259546299,0.866672487892231,0.9993272878141297,0.7659382881245594,0.9754488842097406
balance-scale,0.986093622812371,0.9835832570207559,0.9847120472120456,0.9899283297720781,0.9911461513024006,0.9835403311965802,0.9835212530525013,0.9844703907203902,0.9967726139601139,0.9763669490231973,0.9823320487382974,0.9853766025641013,0.9855483058608052,0.9887931801994294,0.9809139066951549,0.981818528693527,0.9958393747456247,0.9844529024216512,0.9869584986772479,0.9856961614774096,0.9889171881359364,0.9857995014244996,0.9765736289173772,0.983513303825803,0.9696880087505069,0.9834497100122086,0.9780442358567341,0.9864163614163597,0.9801173941798926,0.9828121820309301
balloons,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
bank,0.2970096153846148,0.31029230769230703,0.3240749999999993,0.30592307692307624,0.3112499999999993,0.2959461538461532,0.2857307692307687,0.3770019230769222,0.3508730769230761,0.3194038461538454,0.3045288461538455,0.2741711538461533,0.3154846153846147,0.314192307692307,0.35340384615384535,0.34857115384615306,0.24800769230769185,0.34002499999999924,0.2782115384615379,0.2626346153846149,0.3255807692307685,0.29670576923076863,0.3562499999999992,0.314192307692307,0.2556538461538457,0.29670576923076863,0.2748730769230764,0.25656923076923027,0.3528615384615376,0.2989230769230763
