TRAINTESTDIFFSAUROC,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
AvgTRAINTESTDIFFSAUROCOverDsets:,0.07903747463438562,0.06313021308757569,0.06537888174112783,0.04555264879186514,0.026615672884490602,0.0020270237250450364,-0.0011033201252421373,-0.006979682867587705,-0.00747560141409867,-0.006110825917260036
AvgTRAINTESTDIFFSAUROCRankOverDsets:,2.34297520661157,2.5867768595041323,2.628099173553719,4.2190082644628095,5.603305785123967,6.524793388429752,6.962809917355372,7.851239669421488,7.909090909090909,8.37190082644628
StddevOfTRAINTESTDIFFSAUROCOverDsets:,0.130429322390385,0.09329500859696936,0.11070739738973905,0.09523414887943925,0.08200751190825656,0.020052713643866762,0.019765050040255402,0.036600616617790745,0.018893850065140057,0.031405999986418555
AvgOfStddevsOfTRAINTESTDIFFSAUROCOverDsetFolds:,0.052703601711670586,0.04683759988377135,0.04886076620279188,0.047382059713534444,0.04299515489756986,0.0507066627407539,0.051899035917205696,0.04177160652632378,0.037548479072831396,0.050816499557156704
StddevsOfTRAINTESTDIFFSAUROCRanksOverDsets:,1.6545808354525424,1.7908071806106662,1.5159278314229356,1.9535145272724381,1.8629248456972858,1.1598333926140378,1.465101374843218,2.402814866723309,1.9397164741270816,1.2966767227863627

flat,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
SMLRE-S,0|121|0,55|2|64,77|2|42,111|3|7,108|2|11,113|2|6,113|2|6,112|2|7,113|2|6,115|2|4
ES-S,64|2|55,0|121|0,61|2|58,79|2|40,101|2|18,114|2|5,117|2|2,116|2|3,118|2|1,118|2|1
SMM5-S,42|2|77,58|2|61,0|121|0,103|2|16,111|2|8,114|2|5,114|2|5,113|2|6,114|2|5,114|2|5
SMLR-S,7|3|111,40|2|79,16|2|103,0|121|0,97|2|22,104|2|15,105|2|14,105|2|14,109|2|10,107|2|12
NBC-S,11|2|108,18|2|101,8|2|111,22|2|97,0|121|0,88|3|30,88|3|30,90|2|29,93|2|26,104|2|15
RC-S,6|2|113,5|2|114,5|2|114,15|2|104,30|3|88,0|121|0,75|4|42,80|2|39,84|2|35,110|2|9
WMV-S,6|2|113,2|2|117,5|2|114,14|2|105,30|3|88,42|4|75,0|121|0,75|2|44,77|2|42,106|2|13
PB-S,7|2|112,3|2|116,6|2|113,14|2|105,29|2|90,39|2|80,44|2|75,0|121|0,57|2|62,52|2|67
CAWPE-S,6|2|113,1|2|118,5|2|114,10|2|109,26|2|93,35|2|84,42|2|77,62|2|57,0|121|0,57|2|62
MV-S,4|2|115,1|2|118,5|2|114,12|2|107,15|2|104,9|2|110,13|2|106,67|2|52,62|2|57,0|121|0



p=0.01,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
SMLRE-S,0|121|0,32|47|42,17|88|16,37|83|1,77|42|2,82|39|0,83|38|0,93|25|3,100|19|2,86|35|0
ES-S,42|47|32,0|121|0,41|44|36,60|39|22,84|24|13,91|29|1,93|27|1,100|20|1,100|20|1,96|24|1
SMM5-S,16|88|17,36|44|41,0|121|0,36|81|4,74|46|1,81|39|1,81|40|0,89|30|2,95|24|2,84|36|1
SMLR-S,1|83|37,22|39|60,4|81|36,0|121|0,43|71|7,50|70|1,51|69|1,65|52|4,69|49|3,53|67|1
NBC-S,2|42|77,13|24|84,1|46|74,7|71|43,0|121|0,29|89|3,29|89|3,47|69|5,44|74|3,33|86|2
RC-S,0|39|82,1|29|91,1|39|81,1|70|50,3|89|29,0|121|0,3|118|0,17|100|4,10|109|2,5|116|0
WMV-S,0|38|83,1|27|93,0|40|81,1|69|51,3|89|29,0|118|3,0|121|0,11|106|4,6|112|3,2|119|0
PB-S,3|25|93,1|20|100,2|30|89,4|52|65,5|69|47,4|100|17,4|106|11,0|121|0,2|114|5,3|108|10
CAWPE-S,2|19|100,1|20|100,2|24|95,3|49|69,3|74|44,2|109|10,3|112|6,5|114|2,0|121|0,4|111|6
MV-S,0|35|86,1|24|96,1|36|84,1|67|53,2|86|33,0|116|5,0|119|2,10|108|3,6|111|4,0|121|0



p=0.05,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
SMLRE-S,0|121|0,37|38|46,25|76|20,60|60|1,91|28|2,96|25|0,95|26|0,103|15|3,105|14|2,99|22|0
ES-S,46|38|37,0|121|0,46|35|40,68|29|24,90|17|14,100|20|1,102|18|1,104|16|1,108|12|1,104|16|1
SMM5-S,20|76|25,40|35|46,0|121|0,45|71|5,86|34|1,89|30|2,91|28|2,97|21|3,102|17|2,96|24|1
SMLR-S,1|60|60,24|29|68,5|71|45,0|121|0,56|58|7,58|59|4,59|58|4,78|39|4,83|34|4,61|58|2
NBC-S,2|28|91,14|17|90,1|34|86,7|58|56,0|121|0,33|83|5,37|79|5,52|63|6,49|67|5,40|77|4
RC-S,0|25|96,1|20|100,2|30|89,4|59|58,5|83|33,0|121|0,3|118|0,23|93|5,14|103|4,6|115|0
WMV-S,0|26|95,1|18|102,2|28|91,4|58|59,5|79|37,0|118|3,0|121|0,16|99|6,7|108|6,3|118|0
PB-S,3|15|103,1|16|104,3|21|97,4|39|78,6|63|52,5|93|23,6|99|16,0|121|0,6|105|10,7|99|15
CAWPE-S,2|14|105,1|12|108,2|17|102,4|34|83,5|67|49,4|103|14,6|108|7,10|105|6,0|121|0,7|107|7
MV-S,0|22|99,1|16|104,1|24|96,2|58|61,4|77|40,0|115|6,0|118|3,15|99|7,7|107|7,0|121|0



T TEST,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
SMLRE-S,0.0,0.27894641,0.00339333,7.0E-8,0.0,0.0,0.0,0.0,0.0,1.0E-8
ES-S,0.0,0.0,0.86677009,0.16112875,0.00172937,0.0,0.0,0.0,0.0,0.0
SMM5-S,0.0,0.0,0.0,3.579E-5,0.0,0.0,0.0,0.0,0.0,2.0E-8
SMLR-S,0.0,0.0,0.0,0.0,1.1074E-4,1.21E-6,3.1E-7,1.44E-6,1.5E-7,3.24E-6
NBC-S,0.0,0.0,0.0,0.0,0.0,8.1968E-4,2.7827E-4,1.629E-4,6.418E-5,6.2536E-4
RC-S,0.0,0.0,0.0,0.0,0.0,0.0,9.6559E-4,0.01565401,1.5651E-4,0.00129015
WMV-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11268901,0.0033329,0.04618463
PB-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85126072,0.79333627
CAWPE-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58133315
