folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.009412734507700637,0.005976062438124763,-0.0167293623442204,-0.010256417473351265,0.005125894781025209,-0.013641487412961895,0.015556228096758495,-0.023475033907667253,-0.0035688386281046425,0.006838592227296325,3.152649445177236E-4,0.005316284556853623,-0.01804625539633231,0.005694581119635833,0.003585791227984636,0.007666529696462643,-0.005146458383871622,0.014296291212053225,0.007423159182538552,-0.012376937983984648,-0.019213993207874203,-0.0016176779370906669,-0.015828435100950555,-0.012376352634291599,2.275062332637301E-4,-0.013576090398541685,-0.027243932415223826,-0.0044762215385036885,-0.007469105290675904,0.010268607686272913
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.02993292840267081,-0.0042230190846758164,0.015496684307919728,0.006539059637615363,-0.0016429736998702094,-0.0016288896396522423,0.024570541176178184,0.0304823945293482,0.015861425039045085,0.006120621220203293,-0.00807799645218954,0.045722908434941645,0.024692757039723845,0.030185000635869152,0.01743986717485635,2.590758139326965E-4,0.013852261420319478,-0.019558137853232238,0.033878306390198176,0.016911410810766636,0.0029825501266523835,0.00425462166749313,0.037808523315576936,-0.0020087048794044104,0.0033816869457243826,-0.002376307209068673,0.010277399526944064,0.00655478093638695,0.01663029965556395,0.00441898541409258
annealing,-0.021413515782621628,0.015058464883383693,-0.014005048046237811,-0.005253076015282243,-0.030255235376604128,0.03250327031706013,-0.019524085202387687,-0.010211687109878964,-0.03634996176020078,0.02990420106150149,-0.02832978539428266,-0.013150265776688541,0.021579685628033585,0.006013963422803692,0.016232956510478624,-0.05009297776616517,0.008295356274111043,0.0017442738923206802,-8.718428974473502E-4,7.682557313494209E-4,0.005739831711962573,0.001175087323153301,-0.013124221594260854,0.010158824481281581,-0.004509327199110791,0.010137407280228827,-0.0603599408496579,-0.07490351124756023,0.033135688336948466,0.022147067407040977
arrhythmia,0.0733921720005799,-0.0051384747352323235,-0.031922236218086875,0.004581423290716868,-0.05629999585350498,-0.05085143025410477,0.01623542753056617,0.016250424752310644,-0.03352170530894527,0.04638966347137885,-0.011587960578258394,0.026479603813782115,0.015542105084298652,-0.05845053041692472,-0.039504015760276734,0.033842212407397154,-0.06564162055788991,0.014665609430953408,-0.024137613572033034,0.02381594812588894,0.006389278960565514,0.0016633252974744828,0.042744338446138785,-0.0022018531764106397,-0.07607606411282275,-0.02092507701786106,0.0139817337791871,0.0315702404306597,-0.0070812079044217935,0.024713205732662002
audiology-std,-0.1045466846124985,-0.025890294435228278,-0.056705061030922654,-0.049010796557840686,-0.06801699226804014,-0.08737316805390694,-0.07300191870889583,-0.060524428299187694,-0.08116582544151985,-0.07533138490918112,-0.037762141309971686,-0.05584189447972798,-0.07022522938050002,-0.04498326636120542,-0.05862954862031233,-0.0157095994943256,-0.08022676267099915,-0.00809427334245294,-0.028879212497496476,-0.08648462692859937,-0.05334787873228719,0.013657361371583576,-0.037428755943349046,-0.08071116387440613,-0.05639395890300403,-0.055422223150780936,-0.10285832854307331,-0.028198627430645495,-0.04378008930657751,-0.0821409103856715
balance-scale,-0.0022153223012616463,0.0057789655145426,-0.00623374020745926,4.2263160696665025E-5,-0.007320652098622871,-0.006540882776405854,-0.0022237435194013555,-0.008485573859821294,0.024040962155363887,-0.009751952681726461,-0.010093849527679222,0.0077819631696891545,-0.010368298484236926,0.008171569441806303,-0.003742571729945743,-0.004886701643045166,0.014135174647585513,-0.013197188558917161,-0.020263673266944893,-7.950754419862038E-4,0.017996394788720504,-0.006755145400620055,-2.512920718790168E-4,0.0011029256073724625,-0.003717442092963652,0.002472985085420709,-0.01541598437334557,0.010590645134029852,-0.009646129700197292,-0.015067999306680013
balloons,-0.5333333333333334,-0.25,-0.5833333333333334,-0.36666666666666675,0.7,0.8,0.6000000000000001,-0.9,0.8,0.25,0.06666666666666665,0.16666666666666663,-0.3166666666666666,0.15000000000000002,0.16666666666666663,-0.19999999999999996,-0.26666666666666666,-0.40000000000000013,-1.0,-0.25,0.1333333333333332,0.75,-0.06666666666666654,0.75,-0.16666666666666669,-0.36666666666666675,-0.45000000000000007,-0.4833333333333333,0.8,-0.43333333333333335
bank,-0.024078846153846534,0.002733989095195788,-0.02903292071912822,0.008186870026525184,0.06656272472737951,0.03332758620689641,0.009281653404067058,0.013851385204832756,0.020585801650456426,0.02753733421750637,-0.05115017683466072,-0.039545807544945966,-0.06964417182434507,0.026999056881815142,-0.025015937223696105,0.011074145299145133,-0.032276650456822986,0.07288138078396666,-0.014084416445623527,-0.1046563734158566,-0.01662197170645452,-0.040726532567050444,-0.015461199528441938,0.022977630415561112,-0.038991843501326784,-0.11322603890362615,-0.03587736516357254,-0.017569525493663474,0.007026849395814716,0.06997467580312383
blood,0.04447072738024849,0.060043366844076684,-0.10798344175044378,-0.04186871673565945,-0.006899270648531464,-0.05602207766607542,0.02960772718312643,0.13230829883698042,3.9424403705895505E-4,0.16944608712793258,0.016085156712004778,0.09319929036073349,-0.07167356593731533,-0.031933767001774194,-0.06244825547013616,-0.0892962743938499,0.014705302582298407,0.08310664301202464,-4.336684407648117E-4,0.09726000394244061,0.10514488468361938,0.037808003153952385,-0.15939286418292947,0.009422432485708732,-0.01659767396018136,0.08306721860831873,-0.052158486102897805,0.11421249753597501,0.013798541297062927,-0.027242262960772756
breast-cancer,-0.11163196386083774,-0.1790402179752857,0.08173853930243558,0.11293603280593856,-0.058508546867975575,-0.08274925166935271,-0.008987917064131434,0.14444036928609844,-0.18834829994627356,0.1692286986173705,0.007470806881352932,0.02141333070184126,0.0854987226297384,0.020402289398375406,0.05377164128373002,0.03002308038112822,-0.09014648640943801,0.0957702049274699,-0.03988081532405707,0.12336661074745381,-0.07813021501485673,0.19474118175937233,0.0790219619968644,0.0635379318662766,-0.038883699001129035,-0.03652714274749702,0.11863579048934825,0.08319819523480626,0.038899707246472515,0.14497373989890727
breast-cancer-wisc,5.07055469343376E-4,-0.025554873867697392,-0.015920218460907964,-0.026056515933450042,0.01691869067811802,0.042037484812397774,0.008296341742154878,-0.016349381067521707,-0.007727633620846053,5.678058873783698E-4,0.007039229131330482,0.039098307409147326,-0.01595480409493777,-0.03160435237648507,0.05892700326007316,-0.0020886715507584253,0.008041310284265135,-0.03034633753172722,-0.011877007470495693,-0.010564257100579733,-0.023997016613135136,0.002403851937398227,0.04110397343823424,-0.01168964355744917,5.666029088010616E-4,-0.024578055264834364,0.01969997714340832,-0.02059950437282565,-0.009382330650689719,0.04004655527085288
breast-cancer-wisc-diag,-0.008010370193156202,-0.02757439808229578,0.07287233979555707,0.026494564412803845,0.0026162353451145703,-0.0023923926650661897,-0.00855635683602507,-0.039862946693464685,0.012942015271045104,0.017281187858488534,-0.018933656108950925,0.01704905470880924,-0.022584423628785988,0.026704194859198283,0.029029671590811046,0.0023068231749420187,-0.009716430408021504,-0.023177192207432307,0.02984480240849996,0.011643372420923725,-0.012622240013833164,0.020231114606267697,0.021579796362378945,-9.092868656458419E-4,-0.002391800488663831,-0.04687846053085065,0.02142020482197393,0.008738154991514091,0.0014170781305701263,1.9837909475173277E-4
breast-cancer-wisc-prog,0.24942601067887082,-0.14921434019832192,0.02301296720061008,-0.06272597254004586,-0.18562452326468337,-0.11794241037376052,0.0030959191456901847,-0.24113176964149496,0.004681540808542883,0.056693363844393385,-0.049954233409611026,-0.034050343249427795,0.07830949656750574,-0.050606407322654645,0.04953375286041184,-0.08250381388253236,-0.036815408085431045,0.1289712051868801,-0.13456140350877177,-0.2662395118230358,0.1521920289855071,0.1458552631578947,-0.09901411136536997,-0.16145690312738364,-0.12284038901601813,0.2406998474446984,-0.004836956521739211,0.0903203661327231,-0.03754672006102222,-0.00995423340961099
breast-tissue,0.009105400992043378,-0.06148194782323002,-0.010652778751241154,-0.05352944120919623,-0.0164334799510073,-0.021434640463218857,-0.06280481732342447,-0.06439486682560214,0.004284172666910391,5.377838421086745E-4,-0.053209732703096035,-0.08835779896564377,-0.021684278921167754,-0.04802795349256972,0.005307429242945139,0.05170302425531126,0.009475397533549534,-0.023112272090448305,0.025085845389985706,-0.04095106754211253,-0.007679742010214041,-0.04705776660102268,-0.04817517399804094,0.005959081510001241,-0.04838410744954258,0.022845823025906875,-0.03801675447972386,0.09115896987496408,0.02875352435430556,-0.0465687668776974
