folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.015376410045564448,-0.003364743043093088,-0.013448945704924498,0.0012688626058242614,0.013102175339004818,-0.008836920058845843,0.012522791275467071,-0.0027299479165536766,0.012378003769413004,-3.128749909553363E-5,-0.007648538741873101,0.003748533197575621,-0.008714665975746216,-0.0030403140424651864,0.005950960207140588,-0.009688542819097257,-0.007520675088616646,0.01822819454789104,0.007119406700598296,-0.012476357640528679,-0.0073111649686569136,-0.0024512109638430424,-0.008775987102483063,-0.008676405221176298,0.00992034865932867,-0.003959916486135695,-0.008932890040019403,-0.005259478918179794,-0.002470461061553353,0.0023532915167026047
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.02753422421217888,0.00272802390972815,0.037561501377127215,0.001456580935388252,0.006440889538469108,-0.0039898866436541836,0.03667630707601732,0.05101906318577498,0.0020145499982231474,0.03493675638191063,-0.012091130163317976,0.002832698341149631,0.029921499679510077,0.029969769417943493,0.0014031977532947826,0.004097166783664785,0.014964088398758957,-0.012012493062464435,0.035445371399024705,0.01290801200064462,0.003817421801566634,0.024980119246021726,0.030654607047743143,0.013629918995038293,0.010070074647308691,0.004518694834101722,0.026145075367003945,0.005552891429332019,0.023566654282979438,0.00923981602700874
annealing,0.013117688901342794,0.03672150288325238,0.028414437373404877,0.032224676350507186,0.03281868997671289,0.058361833743097336,0.01638988962468102,0.027182337817428737,0.023381751972063602,0.02769645380545127,0.025565570666586268,0.02747272420125113,0.04400418729258271,0.02454634633001085,0.018958694904277373,-0.0030784274218853547,0.0327859183127468,0.03926929443451521,0.04757134871964652,0.020464775261138768,0.04531262237059208,0.021953658366126505,0.027145969798414216,0.033022258641941526,0.032531349765933526,0.0352838067457838,0.011977895676470562,0.0049856693416379105,0.05017836883143567,0.03164251542130592
arrhythmia,0.16200031966389616,0.1268304436158132,0.14724685064488696,0.12465054977544543,0.18599618085433522,0.1306980034809866,0.15255618096021828,0.17628062236077413,0.10753114295359423,0.15473109858349765,0.11035059961221483,0.15723423454914542,0.12399688732006542,0.10460401993817492,0.15100850836228674,0.0915528107511625,0.13034383399579919,0.12682577999965883,0.14625303152340496,0.15551615907681726,0.1323787051539952,0.1288605457108981,0.13552884331453474,0.13355591818846657,0.17290555659451434,0.116005078944179,0.15052791694297418,0.10964497311166577,0.1433656215091733,0.14188549893306235
audiology-std,0.07523522638792524,0.037859364275041774,0.11323660377985845,0.10089389613704991,0.10208462294007581,0.061112288616531396,0.08234102278820699,0.06196151271008221,0.0764973663936479,0.08281183275238546,0.08268305265894926,0.10011138319181034,0.042455302115036786,0.056371530961186744,0.08990540011629156,0.08271389620411251,0.05093177759721235,0.10767540870599168,0.08904135822553794,0.11137098212668362,0.09116231766392435,0.09609823912465065,0.07345357106748485,0.08053429320355765,0.15392887485717355,0.1255449336740937,0.051826556714216876,0.08519305626444418,0.028528650056915295,0.08760204807661953
balance-scale,0.040970468742765886,0.02860532060446952,0.02253464367159519,0.02330465511779256,0.023373018858127592,0.0029690875520240745,0.03426178011553116,-8.858548685208856E-4,0.043909855998976566,0.011102944174453677,0.014854399736664803,0.011208093943027242,0.0017897399663495683,0.03255529857966044,0.02745449411744938,0.019648258944233055,0.035334411139854915,0.012325856804500379,0.022342855732510825,0.007400210788251371,0.048513637845707946,0.006155432998445454,0.0372484399713916,0.016046500468541836,0.01911634803431106,0.023847499975120257,0.023798331595280997,0.03253574141115656,0.006292696158142097,0.011429785743767962
balloons,1.0,1.0,0.75,0.18333333333333332,0.8,0.8,0.8,1.0,0.8,0.050000000000000044,0.0,0.0,0.0,0.35,0.0,0.0,0.30000000000000004,0.0,0.5,0.0,0.0,0.8,0.4666666666666666,0.8,0.30000000000000004,0.0,1.0,1.0,1.0,0.0
bank,-0.03385293250810528,0.03907453580901832,0.011572870615973618,0.053666136162687395,-0.004211626878868835,0.04406495726495696,0.00836413203654518,0.07588541114058284,0.03098799734747948,0.08742973769525414,0.030853934571175412,-0.004130371352785572,0.0198938107869136,-0.01331034482758664,0.018673592690833574,0.11051677718832822,0.011834593280282302,0.04954541703507151,0.033365576186265206,-0.03921282788093178,0.02007917771883233,0.04209442970822219,0.006038815207780268,0.11641545092838113,-0.04165862068965559,-0.04967391688771031,0.0026211317418207702,0.00939832007073324,0.07212785145888512,0.04822961980548113
