folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6540116298957473,0.6441908944371181,0.6557993366124547,0.6450015870513776,0.6465932807664564,0.6416739905022101,0.6540493480196176,0.639939346724813,0.6473499410967343,0.6471022601390171,0.649854562035706,0.6393774046215518,0.6313204071707587,0.6414058997295168,0.6454062681122411,0.6508066738025317,0.6409210894830472,0.6583625825646641,0.6531044294450808,0.6379316582976057,0.6397502907803335,0.6564155114169172,0.6352880827425705,0.6520552373629583,0.6555084111748606,0.6370406360805205,0.6286314232251731,0.6340380884810016,0.6320718417708591,0.655664577859866
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7314582741779844,0.7278855897463965,0.7348500251199013,0.7330654356267535,0.7254778555308985,0.7272520622728122,0.7315948990234142,0.7348549861771678,0.7324229810139096,0.727730977037804,0.7224221114239459,0.7332027882781704,0.7313816288373536,0.73538627533503,0.7345663926778074,0.7282638553922837,0.7313381815837429,0.7264874652324086,0.7322505140267975,0.7331593410245598,0.7280284976764242,0.7339391482888208,0.7334643331904653,0.7294403768022952,0.7280292254824112,0.7307163588887235,0.7325623834986446,0.7333214252604378,0.7376083821728769,0.7332352585592035
annealing,0.7237098156647029,0.7256494048975253,0.7625951241740716,0.8378943028567087,0.6461313456802179,0.7756837982401892,0.6656014495112239,0.6483005131877313,0.751301847692825,0.8207769423558897,0.798832362291009,0.7863029869044906,0.8186901235773416,0.7464587876617952,0.6415128730918205,0.6219898230424546,0.8013018476928251,0.6624234829497988,0.8051999045232128,0.6968533888834642,0.7431385823867027,0.765601449511224,0.6768533888834641,0.7345965563258796,0.8150765441742885,0.7688578589330468,0.5611460469355206,0.6460370623528519,0.7366218576744893,0.6689197018520326
arrhythmia,0.28642679724646936,0.32558856444102346,0.2703294519687962,0.31096995900274593,0.2448194428522297,0.24884323326946278,0.2984258364586233,0.33558086722021147,0.28332874775497724,0.34682961846896276,0.3277620194013637,0.3782371726634022,0.2908955525348968,0.2432787977050272,0.2823708531905253,0.28830147994082417,0.27819606622885307,0.37161057521713253,0.2958517438845307,0.24444429887052832,0.3133042913370782,0.26369952451919665,0.33389266471233686,0.28427228509195723,0.2734408214736084,0.22780094222717173,0.2608644361103377,0.24798856880824094,0.2818135962398257,0.23971465692777166
audiology-std,0.2858256477821695,0.39581442443761283,0.3151466354364905,0.3950873468989411,0.3274923144488362,0.2627336163568048,0.294327331283853,0.31416703264529355,0.3497755331088664,0.34457985653637824,0.36088420436246527,0.35692553554872397,0.3173864246328015,0.3792929292929293,0.31102693602693604,0.2979773581222857,0.32813521690333286,0.35162250524569366,0.3738447274679159,0.3561960181525399,0.34533987215146633,0.356310691455619,0.36413409456887724,0.35616795979114824,0.30349997560142483,0.37690552871712296,0.3063387498170107,0.4090884692333968,0.3709547162445713,0.2685416971648855
balance-scale,0.6736111111111112,0.6828703703703703,0.6689814814814815,0.6481481481481481,0.6643518518518519,0.6828703703703703,0.7361111111111112,0.6574074074074073,0.8402777777777777,0.6365740740740741,0.6574074074074074,0.6458333333333334,0.6388888888888888,0.6736111111111112,0.7569444444444445,0.6782407407407408,0.8148148148148149,0.6689814814814815,0.6319444444444445,0.6875,0.6736111111111112,0.638888888888889,0.6851851851851851,0.6967592592592592,0.6851851851851852,0.6342592592592592,0.6388888888888888,0.6921296296296297,0.6643518518518519,0.6759259259259259
balloons,0.25,0.5,0.41666666666666663,0.5416666666666666,1.0,0.875,1.0,0.375,1.0,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.5416666666666666,0.875,0.7083333333333333,0.5,0.41666666666666663,0.5416666666666666,0.375,0.7083333333333333,0.5833333333333333,1.0,0.7083333333333333,1.0,0.41666666666666663,0.5833333333333333,0.5,0.41666666666666663,1.0,0.375
bank,0.5669038461538461,0.5515192307692308,0.5438269230769232,0.5606346153846155,0.5379807692307692,0.5397307692307692,0.5391346153846154,0.57,0.5673269230769231,0.57025,0.5383076923076923,0.5279423076923078,0.5558653846153846,0.5363846153846153,0.5616346153846155,0.5770192307692308,0.5419038461538461,0.5797884615384615,0.5311153846153847,0.5515192307692308,0.5551153846153846,0.5356346153846154,0.5681538461538461,0.546673076923077,0.5035961538461539,0.5389807692307692,0.547673076923077,0.5421538461538462,0.5798653846153846,0.5428269230769232
blood,0.5551350285826927,0.5477626650896905,0.4964912280701754,0.5045732308298837,0.5021092055982653,0.5,0.5228267297457125,0.5607530061107826,0.53230829883698,0.588842893751232,0.4964912280701754,0.569879755568697,0.5077271831263552,0.5663709836388725,0.5038635915631776,0.5249359353439779,0.5266903213088902,0.5077271831263552,0.5266903213088902,0.6285235560812142,0.5414350482948945,0.4982456140350877,0.5119455943228859,0.5154543662527105,0.5059727971614429,0.5435442538931599,0.4982456140350877,0.5456534594914252,0.5133451606544451,0.4964912280701754
