folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.668172233562017,0.6659549434488238,0.6631230094409201,0.6595303839385632,0.6592941882765616,0.6453958166518864,0.664892173596153,0.6554027466527107,0.6616742012974699,0.6553844045084559,0.6628095459955966,0.6581034163112314,0.6493443523792228,0.6518587917776281,0.6674361437773569,0.6579465164166949,0.6594540497819924,0.6723347275694554,0.6544291307135165,0.6492804014271981,0.6602178030959494,0.6655200341135508,0.6600524152345119,0.6561339073643652,0.6622304563140828,0.6460978831331018,0.6533933913892213,0.6615008265121803,0.6604217424993982,0.6616452072756407
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7742164705608789,0.7727561831241305,0.7751135927800762,0.7785971992864811,0.7684714096296525,0.7735332127490862,0.7760597175314947,0.7727342291789747,0.7707907937259549,0.7717244858928214,0.7646199202285945,0.7685963296965175,0.7717755382583609,0.7774923621598337,0.7761839097923725,0.7799139845718581,0.7727355512063057,0.7712752637695572,0.7780134021511051,0.7778077370769733,0.7733221259809868,0.7717203862261851,0.779524014147406,0.7703256335728463,0.7731364986033357,0.7709536057678201,0.7710792536406721,0.7751342246979008,0.7812885659440729,0.7761280299542097
annealing,0.8795904262821557,0.8335073614772863,0.8901048074732285,0.9093364363289174,0.8004461369874905,0.8292954247089585,0.7773693975197734,0.7906826590285237,0.838657357679914,0.8858809361065001,0.8873095075350715,0.9222604129371048,0.9235417548199504,0.7937183868762816,0.7443031821979191,0.8240852130325814,0.9416636830170665,0.8259338823248598,0.9344933762978875,0.816630428886068,0.8909141902374985,0.8848535841768925,0.844328678839957,0.8161055235491326,0.8936016448046523,0.8560830648048693,0.7544798142542504,0.769146242228949,0.8355071661838579,0.8058395989974937
arrhythmia,0.5388665432927728,0.645117887576904,0.5768883029538767,0.6314638367097383,0.6833997150390593,0.5898898915292358,0.7104616148878443,0.6363321923977663,0.629166025231599,0.6426771043164485,0.6391295043754059,0.7038125262715427,0.5932809813137682,0.5661414541742411,0.6930646402777548,0.6059604875998319,0.5439302227826818,0.6095903004099725,0.7094791547250564,0.6039647783910079,0.5203349655808672,0.5739346991806008,0.6860414448939041,0.5987044103437545,0.704144489390391,0.552139827385729,0.691250607316181,0.7389463541922557,0.5922563775022791,0.6516270068729084
audiology-std,0.9974747474747474,0.9938271604938271,0.8803005904455179,0.8827160493827161,1.0,0.9774130190796857,0.9249999999999999,0.8888888888888888,0.9166666666666666,0.9444444444444444,0.914141414141414,0.9382716049382717,0.8765432098765432,1.0,0.8888888888888888,1.0,0.983695652173913,0.9444444444444444,1.0,0.9305555555555556,0.9444444444444444,1.0,0.9444444444444444,0.9809178743961353,1.0,0.9420289855072463,0.8888888888888888,0.9444444444444444,0.9357463524130191,0.8670289855072464
balance-scale,0.9050925925925926,0.8078703703703703,0.8865740740740741,0.7222222222222223,0.8078703703703702,0.8680555555555557,0.8912037037037037,0.8379629629629629,0.914351851851852,0.8495370370370371,0.8564814814814814,0.8449074074074074,0.7268518518518517,0.8055555555555557,0.8703703703703703,0.8333333333333334,0.8101851851851851,0.8518518518518517,0.8287037037037037,0.7986111111111112,0.875,0.7291666666666666,0.8634259259259259,0.7662037037037037,0.8287037037037037,0.8842592592592592,0.8055555555555557,0.888888888888889,0.8564814814814814,0.8055555555555555
balloons,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5
bank,0.6256153846153846,0.6039615384615384,0.6027115384615385,0.6130769230769231,0.6173461538461538,0.6007884615384615,0.6231153846153846,0.6283846153846153,0.6310576923076923,0.6409230769230769,0.6250384615384615,0.5924230769230769,0.6300576923076924,0.6413461538461538,0.6428461538461538,0.6383269230769231,0.6034615384615385,0.6313076923076923,0.6200192307692308,0.6047115384615385,0.61575,0.6053846153846154,0.6507884615384616,0.6125769230769231,0.59025,0.6128269230769231,0.6251153846153846,0.6140769230769231,0.63975,0.6007884615384615
