folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,1.9433850040272127,2.004423477566825,1.92078469914704,1.9489734648798125,1.904104189550583,1.927661848064294,1.8769131027726398,1.969014677913141,1.9033834044046172,1.9089797738661496,1.9461040059102135,1.9562643261432728,1.8505440026158986,1.8340555212332375,1.934723233385127,1.9635342452612667,2.0054661055066494,1.8815792994077265,1.9108954954375892,1.881502659249551,1.92536610499008,1.9709305119200389,1.8828487549792283,1.9880289961919453,1.9165726750063639,1.8731590325661227,1.9031897836890193,1.8536796899358359,1.9300943453163626,1.997981328748731
acute-inflammation,4.728473074336754E-7,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,6.327365430041682E-7,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,1.0885256008268227E-6,5.512063849484496E-8,5.512063849484496E-8,7.439575512004868E-7,5.512063849484496E-8,6.327365430041681E-7,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8,5.512063849484496E-8
acute-nephritis,9.981317106763829E-8,9.981317106763829E-8,1.758233072963642E-6,9.981317106763829E-8,1.3398387265977585E-6,9.981317106763829E-8,9.981317106763829E-8,9.981317106763829E-8,9.981317106763829E-8,1.758233072963643E-6,9.981317106763829E-8,9.981317106763829E-8,9.981317106763829E-8,1.7582330729636417E-6,4.7481811973704113E-7,9.981317106763829E-8,1.7582330729636413E-6,1.7582330729636436E-6,9.981317106763829E-8,1.339838726597757E-6,1.339838726597757E-6,9.981317106763829E-8,9.981317106763829E-8,9.981317106763829E-8,9.981317106763829E-8,9.981317106763829E-8,9.981317106763829E-8,3.3498682752102123E-7,9.981317106763829E-8,9.981317106763829E-8
adult,1.040622911223929,1.0546116971529953,1.0804051268949424,1.0789744149219704,1.053448109248984,1.060075570012732,1.0480760105105236,1.0381620592798386,1.0666441403366247,1.0755359334861596,1.0491750195136234,1.0567642818573553,1.0632029157402958,1.0686876076278633,1.076603446804081,1.0160060814292013,1.0511309902525587,1.0556738737576725,1.0503273604911885,1.0563248754502457,1.0442944833526364,1.0544435558506435,1.069089007703146,1.0742806453364588,1.0337526898366785,1.0719865576207925,1.0606229218168903,1.0843692507304616,1.0739829107873529,1.058022582993446
annealing,1.113788808800944,1.0890740753634858,0.9557762020295141,0.8614206906674624,1.3018177734473988,1.0937617409626978,1.1766480314358676,1.3848209949572439,1.156645222973093,0.7454086604054292,1.002870805800479,0.8915200460619183,0.8441874749687485,1.5017042135343144,1.4183915969886935,1.3043897728279548,0.9249237885993095,1.2862879887862966,0.8038555111710919,1.228248460330441,0.9841610411495739,0.9273223202755282,1.0800417888298857,1.1480853573232948,0.7269205106936846,0.9487069612848396,1.5643620814845878,1.4589359260051293,0.9271515553344429,1.2372051803189772
arrhythmia,1.2812240150935141,1.7735103979414097,1.8154347054128883,1.5356606878959993,1.6914812498028324,1.7204907491444472,1.560591892120062,1.7336494529402413,1.8012145695119424,1.4886904669048069,1.7040250141641438,1.5252268050515922,1.6362765350019435,1.7509400531496468,1.6504546855303177,1.5130399619356516,1.7807623010645741,1.4603256740847215,1.6211763633507243,1.624745235247881,1.5402297098955926,1.661380507820138,1.5530756854513994,1.7518611888525928,1.8618441280955536,1.6598894183674495,1.5482510621941799,1.3816750444595751,1.629452437961085,1.426170987457367
audiology-std,1.0525811977324073,0.7030735753569918,0.7044147672752855,0.719543973343856,0.6820637181130712,0.9903250182648075,1.012151485620233,0.6139173089445268,0.7193397894606868,0.9516918674506435,0.7158789511871473,0.7174875240110935,0.7789377712718416,0.6170863343240748,0.6311022130209131,0.5891358801597198,1.0520588274217182,0.7152398740292639,0.691953620661817,0.8157976206889552,0.8183766406634576,0.6398260194127412,0.7855277021834003,0.8403445178434198,0.7454343635212956,0.689722791034343,0.7833857445358122,0.7032083037919993,0.8528416956461166,0.8034634233429849
balance-scale,0.9284399952122312,0.8904589740992578,0.9176953419326566,0.8848714231503646,0.9918305463059267,0.9163936890063087,0.8356027777058822,0.9542686118755529,0.8100334715262302,0.9810630147091255,0.8676231528328217,0.9576487342296455,1.1222342795126583,0.8034480500018342,1.0023517846655996,0.8586682916673499,0.8007084798264857,0.9471034361289404,1.206302826959868,1.0639648849078314,0.8442572541471847,0.9992404422774194,0.9191077266220089,0.828439307885535,0.9225432868720724,0.9598721533089725,1.0978128987647302,0.8364019055707116,0.9378322301144084,1.0392898389538778
balloons,0.7340928332844511,0.4967249158063283,0.854368214521702,0.7091987457643425,0.0033923043442022683,0.2292804881177999,0.0033923043442022683,0.8208558325796983,0.004155131017323018,0.8006950352657553,0.9092674183396972,0.7317210137424326,0.871735001261858,0.48476799989855646,0.9092674183396972,0.9969990302405461,0.7648625161559026,0.3031909414220288,1.0402585861591958,0.8990491241969821,0.6670962882511684,0.0033923043442022683,0.8009318933259549,0.002426595736595927,0.927370484153223,0.5617665362632948,0.9733763848586623,0.3284962892659445,9.895281796439268E-4,0.9478487044407192
bank,1.8549875192873417,1.9210961208278865,1.980646403427296,1.930619585242176,1.9310076302752737,1.933825813821332,1.9442738764955378,1.7225227812745831,1.8416995429039065,1.7670224659737235,1.9385774509649252,2.069873685953386,1.8698628093740888,1.8581499824721206,1.801676346970258,1.7577162438902048,1.9944719566185178,1.7419033181507022,1.9327106651952257,1.9730005836608548,1.9528500568764464,2.0116094072663313,1.683735545712965,1.9075795189694011,2.1052117846125458,1.9316280795853018,1.8818327589695045,2.011960805492459,1.7393998936679629,1.8991262324131757
