folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,4973.084718,5051.526377,5106.569869,4900.526799,4922.506977,4979.675931,4834.259587,4694.100949,4742.062849,4649.924902,5784.346022,6034.93152,5951.372516,5581.345963,5666.511901,5998.314148,5784.127181,5662.804811,5974.985399,5854.533081,5837.787012,5640.463758,6094.226688,5895.805134,5783.55484,4766.266941,4841.568223,4780.287347,4719.818398,4729.257475
acute-inflammation,115.514686,154.68147,100.508632,123.70633,128.088867,75.301595,147.242661,213.44179,70.750934,164.14366,124.609918,210.160284,144.174377,138.356026,123.896766,87.003595,68.483338,190.251014,152.591295,104.445831,60.941364,99.092555,141.165625,37.228724,196.105496,63.270062,43.336224,61.821362,58.892457,102.908677
acute-nephritis,74.447726,82.781994,169.603441,95.928588,171.744753,148.338723,156.432523,98.507458,62.68402,94.508482,161.395017,123.928003,117.668133,120.020649,77.331425,89.762535,198.038636,119.749125,53.921517,96.816857,40.481975,54.615961,126.146987,80.167791,61.012898,92.68185,78.513508,50.671278,62.234708,70.80754400000001
adult,79848.681568,81190.499912,81418.516411,84054.497524,79880.349083,78381.948301,81136.711085,78623.784598,81056.313106,79205.349842,79129.564243,78364.492941,77893.371982,91094.768807,87848.732295,91345.204588,87449.040796,87109.946588,89522.825449,90938.59288,86234.738924,89639.607029,87138.963415,87086.08233,87721.739113,89117.542307,88679.262269,88164.915509,76612.935202,74761.423955
annealing,1186.470478,1098.888551,1040.880771,1137.746256,1208.793611,1109.675187,1107.493639,1191.595223,1187.508152,1166.024238,1215.178448,1200.584535,1160.478203,1178.68199,1338.399087,1351.135445,1293.545817,1236.668132,1316.831591,1218.798108,1209.412658,1267.72402,1227.003263,1416.569776,1192.178632,1111.005103,1157.996862,1274.518503,1101.142308,1097.901576
arrhythmia,10587.706977,10860.511802,10677.914426,10775.340344,10757.119623,11638.540983,11004.544986,11637.918343,11568.527038,11019.80044,11731.407604,11635.160993,11525.277171,11374.216188,11810.108253,12150.093175,12278.132463,11431.855643,12103.675595,11731.829007,11997.388398,12414.598171,12370.358762,11942.589524,12129.696172,12241.682478,11808.077205,11059.209065,11305.824849,10999.927995
audiology-std,1716.380274,1183.138167,876.990392,791.507791,739.776729,1049.127483,944.401307,776.386559,957.23213,739.193378,827.364466,924.935075,831.987894,852.076512,797.479161,835.851144,797.626597,952.500179,744.493926,895.899818,779.275425,744.522441,791.234684,780.332869,789.804302,799.208864,827.56436,782.553862,823.605794,761.800637
balance-scale,174.984639,173.3365,174.235572,177.837958,278.4211,177.555446,182.531348,173.76873,170.010734,175.375439,285.798636,190.499951,190.557534,171.570026,323.458385,185.372863,214.284714,194.204934,204.125697,226.653066,217.881846,185.091254,205.327893,206.362803,213.268957,175.917975,179.875159,184.822689,183.871522,173.298205
balloons,15.889451,22.689967,21.202265,24.795339,23.930194,30.624012,55.188532,44.255833,70.630103,63.000688,68.42176,36.053639,92.235887,89.537917,35.215071,35.549559,38.025401,51.814131,21.025495,20.553907,16.438849,27.449395,42.593979,15.149194,37.299137,46.460655,52.859859,23.910864,70.7267,13.634043
bank,3933.956329,4025.229795,4385.952879,4296.923994,4384.713483,4124.991323,4134.126326,4959.767548,4724.54383,4655.848544,4825.270075,5073.648123,4882.834547,5199.547911,4559.04419,5139.968344,5099.662733,5126.00833,4884.302358,4416.214457,4376.092895,4162.091098,4381.860449,4441.386918,4292.123049,4260.960073,4266.518489,4494.515255,4385.946666,4156.494548
