folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,6565.46724,6699.470942,6696.642866,6558.924341,6686.250836,7338.26266,6998.926093,7525.747013,7601.224272,7363.628851,7576.371525,7296.84482,7412.038717,7458.712752,7640.391238,7145.776066,7315.72559,7151.960419,7321.665255,7204.524692,7314.694211,7276.454415,7069.055312,7150.793216,7253.975193,7492.612598,7387.67453,7256.222061,6409.450082,6154.266552
acute-inflammation,114.654413,145.902889,143.975181,48.205282,119.771615,142.527222,50.82148,127.773159,100.132971,101.685779,119.973942,116.119015,161.215726,152.131953,164.535144,117.908227,104.409885,52.641843,60.940361,68.687979,159.159005,169.28744,133.739939,52.231797,73.042686,58.940132,121.141001,73.653346,75.146212,73.267526
acute-nephritis,144.886601,179.678298,158.553861,266.414477,192.755137,237.772455,221.811772,155.162373,169.873326,212.964358,214.599787,225.679034,267.562643,153.412469,167.028407,145.764373,93.219759,208.669319,111.696165,145.819613,108.610335,183.880897,197.625159,165.033344,167.008115,165.151742,192.035591,137.658633,134.59298,55.050694
adult,76660.189801,80569.694192,78088.601557,77176.437509,79612.090839,78555.35841,76567.822242,80861.755965,79184.889808,79960.05227,78887.965217,81012.363327,77707.427948,76447.08369,82768.129395,83836.284287,79282.908279,81302.734366,79847.810064,79910.519627,80583.545088,81699.80354,80370.569411,83467.806036,82421.396476,84291.163272,89297.156293,79608.637138,84436.087754,77265.776378
annealing,805.900712,778.803052,661.336165,838.466771,715.991127,849.769285,849.006471,729.077788,680.939987,763.07287,771.682544,811.417289,718.304683,717.763739,725.058153,749.162134,729.033208,771.46443,742.887754,648.974421,666.22869,645.680588,624.838192,695.151646,701.994827,731.414991,725.283621,817.768361,690.133937,783.135883
arrhythmia,1429.506073,1361.247447,1293.829552,1206.518043,1251.212347,1212.730827,1149.322957,1203.303895,1188.304241,1231.51622,1280.64858,1189.283295,1166.065339,1197.495732,1215.714185,1207.035077,1464.500989,1431.29691,1488.61496,1359.037234,1350.928719,1338.1172,1480.795253,1441.892985,1398.81825,1422.140774,1487.045407,1344.575388,1541.595946,1463.949829
audiology-std,386.193351,643.165924,601.226345,398.986061,691.816198,322.219383,328.35125,320.895255,283.25582,318.019987,411.939519,318.614195,575.43111,287.026324,276.96893,302.974485,315.971886,319.346989,526.815164,259.039418,527.100435,324.843798,407.991958,467.592679,389.146097,310.221806,321.653554,358.157484,415.132917,314.866493
balance-scale,296.393848,303.927681,307.259944,274.321115,328.051913,281.0104,305.652307,279.814993,291.553082,329.006162,306.337033,304.796544,320.731635,284.265875,281.239369,321.473427,289.485594,342.399787,281.195513,295.474405,270.299022,304.878377,323.528635,265.251436,324.453512,284.094405,308.133154,355.161129,326.967609,288.701929
balloons,22.333886,31.571929,17.612225,33.158383,31.761956,36.404856,25.665717,27.393125,48.672441,40.263844,35.772374,56.16363,59.479259,26.923292,48.958065,78.378199,59.844896,58.371594,77.871359,145.360376,129.988952,76.186974,174.893889,32.885841,58.65437,156.21635,59.308158,55.889541,15.450465,22.741602
bank,4701.262693,4677.883987,4744.081963,4658.600703,4706.452261,4658.122112,4775.471075,4729.80974,4521.495445,4804.21255,4668.208178,4664.239292,4824.330767,4727.828875,4865.494501,3961.629308,4029.976758,3995.653467,3974.181529,4688.795757,4731.074166,4715.247203,4879.245633,4789.060915,4379.81275,4439.854324,4457.087752,4448.883519,4457.365094,4416.366497
blood,398.613952,394.068388,553.002691,547.144383,526.889891,587.195432,484.656113,560.659398,552.226541,474.880498,482.403099,442.815425,484.364475,464.48051,553.610285,515.406247,509.614474,533.369923,575.82004,771.608387,462.376775,490.577536,520.589635,507.424967,498.73194,478.616675,495.133359,469.158015,486.10481,451.419872
breast-cancer,201.405078,216.40402,187.577049,186.969328,204.764659,197.515496,222.476718,175.825836,231.336215,196.207117,180.923554,198.028568,172.374204,200.664687,197.215552,174.516421,188.826425,169.689225,192.332947,203.575759,213.902482,333.982972,189.161982,335.112533,221.917954,198.497891,196.584349,207.461507,201.795208,177.58864
breast-cancer-wisc,235.737263,217.297194,227.20382,223.510886,223.144612,196.666398,184.204606,200.102453,221.388371,209.827053,251.261349,212.946741,238.483285,262.649415,214.569858,233.602247,228.002647,216.702001,288.266983,217.699479,218.50098500000001,221.73276,208.145723,217.101241,208.302641,213.696358,197.899782,224.675858,218.839345,205.26671
breast-cancer-wisc-diag,436.375318,439.407828,397.048443,430.589865,436.482848,526.393428,458.066027,540.172973,437.959977,384.691141,488.167194,423.82889,454.187836,420.251768,391.680708,452.606583,488.187865,493.019326,424.453904,421.351379,461.475485,444.558277,431.966789,422.970855,460.400434,483.088439,384.743422,423.955965,434.813465,383.638068
breast-cancer-wisc-prog,205.255088,214.895183,245.243031,242.32783,247.484362,245.121307,235.44781,246.276719,246.133072,268.653647,227.093413,252.43843,237.204933,255.696563,262.476479,244.562861,260.325714,236.231604,388.778235,288.371412,266.87841,263.266402,256.683104,269.94085,289.420478,243.542399,255.659846,287.576513,236.903127,226.394567
