folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,15104.967759,14711.475059,13245.666497,14410.503605,13701.762836,14308.780007,14595.262044,14974.731107,14870.030859,14508.551261,14409.54326,15511.436223,14821.076762,14699.511173,14679.493396,14717.385901,14820.918521,14873.052848,14974.808197,14950.926851,14738.326237,14813.494596,15070.042417,15243.720485,14906.442416,14960.721109,15203.190173,15240.041231,13746.625117,13757.285186
acute-inflammation,328.49713,329.982827,401.264796,322.718844,344.210762,337.676163,309.948033,330.39005,330.892934,329.201902,463.479639,477.678016,463.103533,506.378433,499.082772,314.234942,302.971588,318.68877,322.688388,324.110292,339.288975,438.453741,411.973205,444.827877,468.411924,313.23746,282.731407,322.346333,308.621786,295.142278
acute-nephritis,278.495485,271.33606,278.124861,268.436915,275.076458,264.077226,266.000875,307.081142,311.412142,244.115502,471.760962,308.499047,323.493612,297.817173,277.069828,276.680414,270.604656,266.218228,367.882969,332.902586,375.476192,304.987452,358.406052,330.36413,281.570107,278.982799,274.77454,273.754527,256.514573,414.073757
adult,134673.456481,134800.956502,134646.134664,135234.795293,135068.324113,122062.718952,122872.428993,122883.365776,118634.411236,122343.150707,122517.485341,119819.860783,122376.474059,119728.873605,119626.640064,118784.435492,119630.712269,120368.021631,113521.486786,117870.98315,117992.931816,119465.240899,121448.577861,121056.14503,120718.442284,120768.987503,121748.403866,127032.512805,125413.728965,125956.108781
annealing,9764.407614,9816.607833,9953.304287,9714.746012,10056.639717,9814.780056,9715.377763,9670.167321,9264.776831,9016.940003,9155.995327,9023.093206,9089.871333,8635.602774,9068.843073,8892.980548,8805.213365,9244.505793,9608.934461,9995.947665,9067.669219,9102.587279,9213.907789,8848.380438,8710.784049,9385.390558,8896.784257,8990.388395,8937.392263,9830.255405
arrhythmia,39440.949778,42688.432232,44330.516475,43662.42168,45624.097642,44962.674191,43246.236575,45464.539026,44723.000214,43870.652441,44614.248406,44751.866328,43933.845302,44652.748672,44814.00979,44531.541304,45879.832561,44585.618423,45633.973565,44825.950522,44885.909446,45473.054111,46368.546715,46868.015152,40113.977181,40035.809568,39301.269856,44138.779832,44525.58324,44702.134961
audiology-std,8615.540909,8768.878152,8894.795248,8443.365782,7619.397308,8456.26609,8188.349579,8261.387131,8858.865485,8596.949407,8469.897941,8854.551255,8584.131045,8436.139094,8788.986598,8408.876054,8849.182583,7838.676906,8191.956187,8923.257731,8365.067865,7732.247579,7760.573774,8992.636206,8388.774142,8605.01895,8609.345808,7892.073905,8071.205022,8425.533991
balance-scale,1925.022765,1966.999074,2015.423031,1995.984198,1990.672497,2002.026904,1970.135751,1909.796108,1904.57111,1943.840999,1908.484401,1987.733046,1954.912801,1951.697157,2007.158145,1856.885688,1890.704833,1942.753288,2073.928916,2099.31803,1940.458164,1941.633629,1975.434256,1969.301011,1962.85495,1969.546536,1899.812664,1951.665707,1990.794436,1895.743472
balloons,173.413873,185.40404,173.09195,164.103389,164.601703,152.566663,153.292229,168.433986,176.836822,185.541309,176.346885,292.944909,293.268946,334.457207,170.199163,177.840872,192.097807,186.329803,183.097705,377.16225,378.464068,357.387024,377.889524,165.123396,176.440177,180.750321,169.515962,189.483871,196.045423,199.603044
bank,12148.300129,12364.803007,12286.93853,13452.328042,13431.108983,13351.068365,13489.694743,14080.405391,13628.870987,13463.182687,14118.101063,13743.215133,13643.158478,13665.512244,13359.09908,13565.60245,13891.503838,13954.092517,14016.471353,14025.98982,13952.026768,12795.282207,13064.927718,12541.397526,13171.244321,13229.549957,12728.161278,13194.709405,13209.274361,12659.972338
