folds:,0,1,2,3,4
abalone,151.0,90.0,71.0,72.0,58.0
acute-inflammation,30.0,26.0,25.0,25.0,27.0
acute-nephritis,27.0,27.0,26.0,25.0,26.0
annealing,74.0,77.0,78.0,82.0,75.0
arrhythmia,88.0,58.0,80.0,63.0,63.0
audiology-std,63.0,49.0,56.0,51.0,53.0
balance-scale,37.0,51.0,47.0,45.0,52.0
balloons,30.0,29.0,31.0,27.0,31.0
bank,52.0,47.0,51.0,49.0,47.0
blood,34.0,35.0,36.0,34.0,36.0
breast-cancer,37.0,37.0,36.0,35.0,33.0
breast-cancer-wisc,38.0,36.0,36.0,35.0,34.0
breast-cancer-wisc-diag,41.0,35.0,34.0,33.0,32.0
breast-cancer-wisc-prog,30.0,32.0,30.0,30.0,31.0
breast-tissue,34.0,35.0,33.0,35.0,38.0
car,77.0,78.0,77.0,64.0,82.0
cardiotocography-3clases,66.0,68.0,68.0,86.0,65.0
cardiotocography-10clases,84.0,98.0,67.0,87.0,79.0
chess-krvkp,11.0,15.0,12.0,13.0,12.0
congressional-voting,4.0,4.0,4.0,5.0,4.0
conn-bench-sonar-mines-rocks,4.0,3.0,3.0,3.0,4.0
conn-bench-vowel-deterding,72.0,77.0,91.0,61.0,60.0
connect-4,245.0,274.0,247.0,274.0,274.0
contrac,9.0,50.0,30.0,57.0,61.0
credit-approval,37.0,41.0,39.0,37.0,77.0
cylinder-bands,40.0,47.0,45.0,44.0,58.0
dermatology,91.0,45.0,60.0,51.0,49.0
echocardiogram,32.0,32.0,47.0,30.0,36.0
ecoli,49.0,50.0,68.0,46.0,62.0
energy-y1,279.0,42.0,50.0,47.0,69.0
energy-y2,64.0,46.0,53.0,51.0,44.0
fertility,34.0,33.0,34.0,33.0,33.0
flags,137.0,53.0,60.0,5.0,53.0
glass,49.0,45.0,41.0,45.0,40.0
haberman-survival,40.0,37.0,34.0,42.0,39.0
hayes-roth,37.0,35.0,39.0,37.0,38.0
heart-cleveland,50.0,53.0,44.0,44.0,29.0
heart-hungarian,37.0,38.0,35.0,41.0,40.0
heart-switzerland,43.0,44.0,36.0,33.0,41.0
heart-va,71.0,78.0,42.0,38.0,44.0
hepatitis,32.0,16.0,34.0,33.0,33.0
hill-valley,46.0,61.0,50.0,65.0,66.0
horse-colic,39.0,37.0,34.0,35.0,39.0
ilpd-indian-liver,47.0,45.0,43.0,43.0,44.0
image-segmentation,86.0,80.0,68.0,80.0,80.0
ionosphere,34.0,46.0,39.0,40.0,41.0
iris,36.0,36.0,34.0,34.0,34.0
led-display,65.0,86.0,67.0,63.0,69.0
lenses,25.0,26.0,26.0,27.0,27.0
letter,668.0,642.0,651.0,562.0,600.0
libras,8.0,7.0,8.0,7.0,8.0
low-res-spect,7.0,7.0,8.0,8.0,7.0
lung-cancer,2.0,2.0,2.0,3.0,3.0
lymphography,3.0,3.0,4.0,3.0,5.0
mammographic,34.0,43.0,51.0,53.0,56.0
molec-biol-promoter,2.0,4.0,3.0,3.0,3.0
molec-biol-splice,54.0,66.0,55.0,55.0,62.0
monks-1,53.0,53.0,44.0,48.0,42.0
monks-2,65.0,47.0,52.0,45.0,43.0
monks-3,63.0,42.0,37.0,51.0,46.0
mushroom,88.0,115.0,80.0,81.0,78.0
musk-1,37.0,39.0,40.0,68.0,37.0
musk-2,106.0,83.0,107.0,62.0,71.0
nursery,190.0,157.0,182.0,189.0,109.0
oocytes_merluccius_nucleus_4d,28.0,62.0,52.0,71.0,50.0
oocytes_merluccius_states_2f,60.0,51.0,48.0,57.0,52.0
oocytes_trisopterus_nucleus_2f,50.0,48.0,48.0,49.0,73.0
oocytes_trisopterus_states_5b,58.0,51.0,50.0,49.0,56.0
optical,170.0,155.0,160.0,137.0,164.0
ozone,33.0,63.0,54.0,75.0,80.0
page-blocks,137.0,97.0,131.0,104.0,86.0
parkinsons,34.0,34.0,35.0,34.0,38.0
pendigits,216.0,153.0,217.0,203.0,176.0
pima,23.0,24.0,36.0,45.0,47.0
pittsburg-bridges-MATERIAL,37.0,35.0,33.0,35.0,38.0
pittsburg-bridges-REL-L,33.0,33.0,35.0,32.0,33.0
pittsburg-bridges-SPAN,35.0,33.0,31.0,32.0,33.0
pittsburg-bridges-T-OR-D,31.0,31.0,31.0,34.0,30.0
pittsburg-bridges-TYPE,40.0,43.0,42.0,39.0,38.0
planning,39.0,38.0,35.0,39.0,37.0
plant-margin,190.0,165.0,504.0,186.0,186.0
plant-shape,216.0,143.0,136.0,143.0,261.0
plant-texture,151.0,193.0,189.0,152.0,173.0
post-operative,3.0,3.0,7.0,30.0,35.0
primary-tumor,92.0,79.0,62.0,55.0,66.0
ringnorm,72.0,71.0,81.0,85.0,74.0
seeds,24.0,46.0,40.0,39.0,38.0
semeion,44.0,102.0,85.0,97.0,85.0
soybean,87.0,96.0,43.0,72.0,92.0
spambase,65.0,65.0,76.0,69.0,70.0
spect,43.0,41.0,41.0,38.0,44.0
spectf,41.0,38.0,42.0,37.0,39.0
statlog-australian-credit,45.0,43.0,46.0,47.0,45.0
statlog-german-credit,70.0,43.0,45.0,50.0,51.0
statlog-heart,28.0,37.0,43.0,40.0,40.0
statlog-image,105.0,69.0,81.0,67.0,71.0
statlog-landsat,159.0,124.0,99.0,132.0,124.0
statlog-shuttle,551.0,617.0,637.0,769.0,679.0
statlog-vehicle,8.0,7.0,7.0,8.0,7.0
steel-plates,20.0,22.0,19.0,23.0,18.0
synthetic-control,6.0,6.0,6.0,6.0,6.0
teaching,38.0,38.0,40.0,39.0,39.0
thyroid,102.0,107.0,87.0,93.0,88.0
