folds:,0,1,2,3,4
abalone,8.15703217E8,8.46869375E8,7.64717011E8,8.27144927E8,8.26804838E8
acute-inflammation,68655.0,70872.0,94918.0,110555.0,117477.0
acute-nephritis,50006.0,48595.0,98142.0,108404.0,89070.0
annealing,2482269.0,2448809.0,2161126.0,2178530.0,2317326.0
arrhythmia,5952932.0,6020195.0,5523949.0,7489775.0,7696130.0
audiology-std,1.139756E7,1.0662184E7,9865632.0,8205457.0,7529946.0
balance-scale,722945.0,912333.0,611297.0,716971.0,573737.0
balloons,24189.0,27527.0,20928.0,20562.0,22305.0
bank,1.09159584E8,1.02193252E8,1.12359171E8,1.11301864E8,1.01433624E8
blood,1.6850822E7,1.6110159E7,1.6819093E7,2.1936352E7,1.6528158E7
breast-cancer,473840.0,533689.0,308816.0,449814.0,410522.0
breast-cancer-wisc,424831.0,424897.0,417637.0,444777.0,428450.0
breast-cancer-wisc-diag,372050.0,370751.0,360322.0,363185.0,268341.0
breast-cancer-wisc-prog,79777.0,101997.0,106592.0,114058.0,117334.0
breast-tissue,520860.0,664251.0,573390.0,525842.0,521130.0
car,6125122.0,6220877.0,6284291.0,5102808.0,4700181.0
cardiotocography-3clases,5669376.0,5637873.0,5180665.0,5314085.0,5630438.0
cardiotocography-10clases,1.4323467E7,1.012576E7,1.4370001E7,1.178203E7,1.2097937E7
chess-krvkp,3.0740181E7,2.3028119E7,2.3066121E7,2.3063492E7,2.1843403E7
congressional-voting,322185.0,347856.0,388727.0,304461.0,425446.0
conn-bench-sonar-mines-rocks,83538.0,128162.0,84287.0,89752.0,93460.0
conn-bench-vowel-deterding,4909720.0,3043959.0,3436612.0,4738980.0,3935745.0
connect-4,2.0434278668E10,2.0327433653E10,2.0074534028E10,2.0332534102E10,2.017222153E10
contrac,4.0822506E7,8.1258537E7,4.5710452E7,4.4178453E7,4.5859838E7
credit-approval,1132548.0,1227538.0,1187967.0,905556.0,1087115.0
cylinder-bands,515784.0,478791.0,558455.0,579278.0,509799.0
dermatology,984100.0,943408.0,906919.0,1036824.0,1288483.0
echocardiogram,53848.0,67165.0,78302.0,72788.0,63494.0
ecoli,2008452.0,2091200.0,2092293.0,2059110.0,1103520.0
energy-y1,1396879.0,929641.0,1022587.0,988608.0,1091258.0
energy-y2,1052022.0,1105752.0,1018642.0,1164772.0,1074286.0
fertility,41696.0,35396.0,55678.0,99488.0,89824.0
flags,2271692.0,2125077.0,2404002.0,2289238.0,2313110.0
glass,748004.0,725087.0,1002856.0,1083311.0,1073180.0
haberman-survival,1232578.0,2854414.0,1170096.0,1030601.0,1513290.0
hayes-roth,143705.0,233569.0,215565.0,242146.0,238025.0
heart-cleveland,565147.0,484612.0,610628.0,921622.0,932853.0
heart-hungarian,193030.0,164219.0,169333.0,224152.0,210256.0
heart-switzerland,488924.0,371865.0,405243.0,554509.0,592305.0
heart-va,661772.0,610554.0,562524.0,563070.0,636934.0
hepatitis,70290.0,60427.0,76084.0,76032.0,78473.0
hill-valley,5207155.0,6697325.0,5819543.0,5433025.0,5176592.0
horse-colic,228744.0,279232.0,269444.0,274201.0,277828.0
ilpd-indian-liver,2811679.0,2110807.0,2366024.0,2747556.0,2936580.0
image-segmentation,1.2932172E7,1.0159285E7,1.1278692E7,1.1855492E7,8867180.0
ionosphere,172717.0,162186.0,177844.0,167821.0,179374.0
iris,106745.0,191176.0,209758.0,215725.0,190455.0
led-display,3101962.0,3083377.0,3378602.0,3390765.0,3435705.0
lenses,141159.0,157248.0,167192.0,181534.0,122437.0
letter,1.138065776E9,1.137212861E9,1.147473951E9,1.145202685E9,1.145449153E9
libras,6592776.0,6939449.0,5120656.0,4799625.0,5107881.0
low-res-spect,2131894.0,2151161.0,2215985.0,1829109.0,1980921.0
lung-cancer,109815.0,108013.0,73189.0,89654.0,118354.0
lymphography,317340.0,402000.0,353005.0,356940.0,316590.0
mammographic,4.5060519E7,5.1613498E7,2.8269499E7,4.2832428E7,5.2698598E7
