TRAINACC:,CAWPE-A,PB-A
abalone,0.6552148219134324,0.6328541766490974
acute-inflammation,1.0,0.9983050847457626
acute-nephritis,0.9988888888888889,0.99
adult,0.8643188643188644,0.8697188097188098
annealing,0.9419642857142858,0.9418154761904761
arrhythmia,0.7232732732732733,0.7171171171171172
audiology-std,0.7368055555555556,0.6684027777777779
balance-scale,0.9201923076923078,0.8738247863247864
balloons,0.7095238095238094,0.4714285714285715
bank,0.8973598820058996,0.8941150442477878
blood,0.783957219251337,0.7355614973262031
breast-cancer,0.7293427230046948,0.6694835680751174
breast-cancer-wisc,0.9689589302769817,0.9619866284622732
breast-cancer-wisc-diag,0.9758215962441317,0.9639671361502345
breast-cancer-wisc-prog,0.7959183673469389,0.7639455782312924
breast-tissue,0.6660256410256409,0.6525641025641025
car,0.975627655465431,0.9770954036307454
cardiotocography-3clases,0.9387005649717513,0.944538606403013
cardiotocography-10clases,0.8603773584905657,0.8630188679245283
chess-krvk,0.7947756227419662,0.7224234645369843
chess-krvkp,0.9922563139219371,0.9896472552702985
congressional-voting,0.6064516129032257,0.602457757296467
conn-bench-sonar-mines-rocks,0.8255663430420712,0.805177993527508
conn-bench-vowel-deterding,0.9587205387205388,0.9202693602693603
connect-4,0.8721514990032961,0.8731176110683482
contrac,0.5405895691609979,0.5130612244897959
credit-approval,0.863953488372093,0.8564922480620154
cylinder-bands,0.7658854166666667,0.7548177083333333
dermatology,0.9739926739926735,0.9666666666666665
echocardiogram,0.8348717948717952,0.7692307692307695
ecoli,0.863855421686747,0.8375502008032126
energy-y1,0.9544821583986075,0.948999129677981
energy-y2,0.9169712793733681,0.9141862489120974
fertility,0.8679999999999998,0.8333333333333335
flags,0.6489583333333332,0.6302083333333333
glass,0.7212698412698414,0.7073015873015875
haberman-survival,0.7489035087719298,0.6881578947368421
hayes-roth,0.767932489451477,0.7607594936708861
heart-cleveland,0.5882222222222223,0.5722222222222222
heart-hungarian,0.814285714285714,0.7931972789115646
heart-switzerland,0.4431693989071038,0.3770491803278688
heart-va,0.35959595959595964,0.3074074074074074
hepatitis,0.8181818181818181,0.7961038961038961
hill-valley,0.6037953795379539,0.5484048404840484
horse-colic,0.8449275362318841,0.8253623188405796
ilpd-indian-liver,0.7154639175257732,0.699885452462772
image-segmentation,0.9638383838383839,0.9628571428571426
ionosphere,0.9249523809523811,0.917142857142857
iris,0.9591111111111112,0.9493333333333335
led-display,0.7159946236559139,0.7064516129032259
lenses,0.6999999999999998,0.5515151515151514
letter,0.9528103005437139,0.948370526034891
libras,0.788888888888889,0.6527777777777778
low-res-spect,0.8955808080808084,0.8688131313131312
lung-cancer,0.5288888888888889,0.4088888888888889
lymphography,0.8223744292237444,0.8068493150684932
magic,0.8753592709428674,0.8800350508236944
mammographic,0.8209722222222224,0.7837500000000001
miniboone,0.9373201498772379,0.9437350391864391
molec-biol-promoter,0.8474358974358973,0.8346153846153848
molec-biol-splice,0.9468005018820576,0.9588665830196568
monks-1,0.9810551558752995,0.9744604316546763
monks-2,0.7086666666666666,0.6742222222222224
monks-3,0.9663056558363414,0.9696750902527073
mushroom,1.0,1.0
musk-1,0.8772151898734177,0.8368495077355836
musk-2,0.9833939761471594,0.9798160501313923
nursery,0.9973713991769552,0.9992386831275718
oocytes_merluccius_nucleus_4d,0.8326797385620918,0.7998039215686278
oocytes_merluccius_states_2f,0.9248366013071895,0.9216993464052287
oocytes_trisopterus_nucleus_2f,0.8270329670329674,0.8002930402930407
oocytes_trisopterus_states_5b,0.9305494505494507,0.9183150183150185
optical,0.9837308650765395,0.9756852972588109
ozone,0.9712970270981317,0.970007892659826
page-blocks,0.9722730042656917,0.9717611212675199
parkinsons,0.8948453608247425,0.8886597938144333
pendigits,0.9923963832756844,0.9891801686995569
pima,0.7650173611111113,0.7371527777777781
