TRAINACC,CAWPE-A,PB-A
AvgTRAINACCOverDsets:,0.8267967777197109,0.7940277608819989
AvgTRAINACCRankOverDsets:,1.128099173553719,1.871900826446281
StddevOfTRAINACCOverDsets:,0.14161415233525784,0.17855475146375704
AvgOfStddevsOfTRAINACCOverDsetFolds:,0.023337282614256487,0.023607129414818417
StddevsOfTRAINACCRanksOverDsets:,0.3324713372347229,0.3324713372347229

flat,CAWPE-A,PB-A
CAWPE-A,0|121|0,105|1|15
PB-A,15|1|105,0|121|0



p=0.01,CAWPE-A,PB-A
CAWPE-A,0|121|0,67|44|10
PB-A,10|44|67,0|121|0



p=0.05,CAWPE-A,PB-A
CAWPE-A,0|121|0,77|34|10
PB-A,10|34|77,0|121|0



T TEST,CAWPE-A,PB-A
CAWPE-A,0.0,7.54E-6
PB-A,0.0,0.0

SIGN TEST,CAWPE-A,PB-A
CAWPE-A,0.0,0.0
PB-A,0.0,0.0

SIGN RANK TEST,CAWPE-A,PB-A
CAWPE-A,0.0,0.0
PB-A,0.0,0.0

NOSIGDIFFERENCE,CAWPE-A,PB-A
CAWPE-A,true,false
PB-A,false,true



cliques = []

