TRAINTESTDIFFSACC,CAWPE-A,PB-A
AvgTRAINTESTDIFFSACCOverDsets:,0.0011449306210826696,-0.012683739963460006
AvgTRAINTESTDIFFSACCRankOverDsets:,1.334710743801653,1.665289256198347
StddevOfTRAINTESTDIFFSACCOverDsets:,0.020343726625846405,0.05217272280331053
AvgOfStddevsOfTRAINTESTDIFFSACCOverDsetFolds:,0.037107368465742856,0.0377572670272864
StddevsOfTRAINTESTDIFFSACCRanksOverDsets:,0.4716479520082847,0.4716479520082847

flat,CAWPE-A,PB-A
CAWPE-A,0|121|0,80|1|40
PB-A,40|1|80,0|121|0



p=0.01,CAWPE-A,PB-A
CAWPE-A,0|121|0,4|111|6
PB-A,6|111|4,0|121|0



p=0.05,CAWPE-A,PB-A
CAWPE-A,0|121|0,7|107|7
PB-A,7|107|7,0|121|0



T TEST,CAWPE-A,PB-A
CAWPE-A,0.0,0.01701434
PB-A,0.0,0.0

SIGN TEST,CAWPE-A,PB-A
CAWPE-A,0.0,2.7651E-4
PB-A,0.0,0.0

SIGN RANK TEST,CAWPE-A,PB-A
CAWPE-A,0.0,6.9E-7
PB-A,0.0,0.0

NOSIGDIFFERENCE,CAWPE-A,PB-A
CAWPE-A,true,false
PB-A,false,true



cliques = []

