TRAINAUROC,CAWPE-A,PB-A
AvgTRAINAUROCOverDsets:,0.8915186650403456,0.8660019611230334
AvgTRAINAUROCRankOverDsets:,1.1570247933884297,1.8429752066115703
StddevOfTRAINAUROCOverDsets:,0.12895791189209496,0.16645876497128442
AvgOfStddevsOfTRAINAUROCOverDsetFolds:,0.022620924875948106,0.024945647214042552
StddevsOfTRAINAUROCRanksOverDsets:,0.3595892207971462,0.3595892207971462

flat,CAWPE-A,PB-A
CAWPE-A,0|121|0,101|2|18
PB-A,18|2|101,0|121|0



p=0.01,CAWPE-A,PB-A
CAWPE-A,0|121|0,65|49|7
PB-A,7|49|65,0|121|0



p=0.05,CAWPE-A,PB-A
CAWPE-A,0|121|0,74|38|9
PB-A,9|38|74,0|121|0



T TEST,CAWPE-A,PB-A
CAWPE-A,0.0,0.00227856
PB-A,0.0,0.0

SIGN TEST,CAWPE-A,PB-A
CAWPE-A,0.0,0.0
PB-A,0.0,0.0

SIGN RANK TEST,CAWPE-A,PB-A
CAWPE-A,0.0,0.0
PB-A,0.0,0.0

NOSIGDIFFERENCE,CAWPE-A,PB-A
CAWPE-A,true,false
PB-A,false,true



cliques = []

