TRAINTESTDIFFSAUROC:,CAWPE-A,PB-A
abalone,-0.004169122335071226,-0.0032800353060974544
acute-inflammation,0.0,0.0
acute-nephritis,0.0,-2.666666666666669E-4
adult,-0.0015050525252003825,-0.0013114095160415469
annealing,-0.004753459772890604,-0.0027925720412745212
arrhythmia,-0.010935662585427833,-0.012276404750414919
audiology-std,-0.048441646525117295,-0.038902192929297925
balance-scale,-0.003814185256377741,-0.002919281619066997
balloons,0.001111111111111122,-0.2616666666666666
bank,-0.006428995972103424,-0.00656681427449074
blood,-0.0042499507194953875,-0.00283461462645375
breast-cancer,0.023621768655271137,-0.0024956123519326414
breast-cancer-wisc,-8.782244838219359E-4,-9.553053360118469E-4
breast-cancer-wisc-diag,1.8035719291014106E-4,9.454096261827101E-4
breast-cancer-wisc-prog,0.006901347571828294,-0.019712274345283255
breast-tissue,-0.0066719718782435955,-0.004886978019984944
car,-4.165239188450428E-4,-1.6399525702944783E-4
cardiotocography-3clases,-2.2856015358987773E-4,4.799170495603115E-4
cardiotocography-10clases,-0.0012998613756013892,-7.569596828748137E-4
chess-krvk,-0.0027825121638389533,-0.0013454597874657341
chess-krvkp,-2.15121793113023E-4,-1.6863551240578294E-4
congressional-voting,0.09968362181217114,0.08744480248239678
conn-bench-sonar-mines-rocks,-0.0060411329033779,-0.008028278410931585
conn-bench-vowel-deterding,-4.6524504302283647E-4,-0.0011148522259633105
connect-4,-0.005148273128246339,-0.0010200455549761122
contrac,-0.006009739854170119,-0.009805671773870461
credit-approval,-0.007288985157503528,-0.0040824867217550635
cylinder-bands,-0.02143162393162394,-0.027506410256410263
dermatology,-4.0833509767916146E-5,-4.724197759804853E-4
echocardiogram,0.009113865932048056,-0.015062967335694344
ecoli,-0.00453070733662733,9.108850885494402E-4
energy-y1,-2.7679272384515026E-4,4.2826518040835665E-5
energy-y2,-8.172579172278649E-4,-7.763531473826986E-4
fertility,-0.05063131313131309,-0.030555555555555565
flags,-6.416971012660848E-5,-0.0032306473050627135
glass,-0.014699991429628804,-0.02166697005761171
haberman-survival,0.017795892625883006,0.017782412082575715
hayes-roth,-0.022329183355785875,-0.017834837701809818
heart-cleveland,0.00773514662316452,0.0017597183940032699
heart-hungarian,-0.020647664927070757,-0.019570453633079053
heart-switzerland,0.03007151455256909,-0.003816323326594708
heart-va,-0.004910312541680939,-0.012637767579627516
hepatitis,0.019769081614666974,-0.01035992860920049
hill-valley,-0.003304686904333979,0.00203574812926847
horse-colic,0.001766396213657891,-0.0076149425287356165
ilpd-indian-liver,0.004792820549598579,0.0034752563367030365
image-segmentation,-4.5042051102651325E-4,-2.9323538414441905E-4
ionosphere,-0.010383012595402622,-0.00887501755864664
iris,-0.001013333333333318,-4.88888888888909E-4
led-display,-0.004422084350935104,-0.005704150405950278
lenses,-0.08796166796166807,-0.13914659414659422
letter,-1.5440931384909465E-4,-1.2379847631041423E-4
libras,-0.003983686067019421,-0.0093253968253968
low-res-spect,-0.0032392379104892602,-0.0029318271662185924
lung-cancer,0.002955634779164142,-0.07874787086551797
lymphography,-0.01913339781092618,-0.016103570046684407
magic,-0.002546871095853298,-0.001472446782039331
mammographic,-0.012759464021331842,-0.018268607537566303
miniboone,-8.392894230749107E-4,-1.9326051286698472E-4
molec-biol-promoter,0.0033335768378503607,-0.01908371955855332
molec-biol-splice,-1.3493956803344308E-4,-9.946747989235671E-4
monks-1,3.6230008798647056E-5,-0.0024032572503150645
monks-2,-0.04734689393897929,-0.02953627414718567
monks-3,-0.003428710665553577,-0.0024227234753555482
mushroom,0.0,0.0
musk-1,-0.00677204488717259,-0.012982339911649217
musk-2,-7.369135864012184E-4,-6.307797833474386E-4
nursery,-1.6537928455007123E-4,-1.4280247594611328E-4
oocytes_merluccius_nucleus_4d,-0.006802062398817588,-0.008566912084809237
oocytes_merluccius_states_2f,-0.0028616170163363597,-0.003487367996148279
oocytes_trisopterus_nucleus_2f,-0.013985265848757164,-0.015370248441782681
oocytes_trisopterus_states_5b,-0.0028100457981339606,-0.0015829157299186178
optical,-5.775722823251709E-5,-6.26421611510238E-5
ozone,-0.006318731892451153,-0.008161924175326362
page-blocks,-6.90927084427273E-4,-6.147120034430113E-4
parkinsons,-0.015981478053394647,-0.011495742317658748
pendigits,-6.241470877033824E-5,-4.7830948705925486E-5
pima,-3.8507462686561503E-4,-0.0010407960199005472
pittsburg-bridges-MATERIAL,9.520809401420638E-4,0.015841450157941563
pittsburg-bridges-REL-L,-0.011646737856588625,-0.04312993702704094
pittsburg-bridges-SPAN,-0.034584980237154145,-0.03020233389798607
pittsburg-bridges-T-OR-D,-0.0018398268398268378,0.0060606060606061
pittsburg-bridges-TYPE,-0.015698530838332763,-0.01823036019742528
planning,0.01388560157790918,0.017238658777120264
plant-margin,-0.0012985058922558783,-0.002221433080808007
plant-shape,-0.003250473484848526,-0.007506944444444426
plant-texture,-0.0025302321173004054,-0.0027916200642843945
post-operative,0.007795476128809421,-0.0018682552015885589
primary-tumor,-0.007018949881709165,-0.012223868508060565
ringnorm,-4.165283531095502E-4,-2.4606176498989847E-4
seeds,-0.004689342403628131,-0.0031473922902494436
semeion,-3.0087096949571457E-4,-6.779670797224709E-4
soybean,-4.141958639182134E-4,-0.001093127082571373
spambase,-2.5675631305709746E-4,-4.812441867448299E-4
spect,0.01121686394413649,-0.004004177640541477
spectf,-0.00774641442880436,-0.018577584772553345
statlog-australian-credit,-3.6575036575029846E-4,0.0025358692025358527
statlog-german-credit,7.714285714285414E-4,-0.00905650793650798
statlog-heart,-7.259259259258299E-4,-0.004711111111110973
statlog-image,-3.2897517745999284E-4,-1.6963283629946037E-4
statlog-landsat,-9.327632381184874E-4,-8.317619373576372E-4
statlog-shuttle,-1.9865969648943014E-6,-2.5188309452639503E-7
statlog-vehicle,-0.004907197033285567,-0.002835911471935937
steel-plates,-0.0015178200384238301,-0.0033171594398101654
synthetic-control,-1.128888888888883E-4,-4.911111111111088E-4
teaching,-0.019137132794638488,-0.024771342455110867
thyroid,9.638390920210979E-5,6.420184260449065E-5
tic-tac-toe,-1.9952012522933177E-4,-4.7923322683700585E-4
titanic,0.07008905212184617,0.06028525808851124
trains,0.20092592592592587,-0.19629629629629627
twonorm,1.3325819652785232E-4,-2.6375329246134765E-5
vertebral-column-2clases,-0.011053968253968224,-0.015777777777777776
vertebral-column-3clases,-0.001974976958525332,-0.0023130517153097958
wall-following,-8.011232088813713E-5,-3.483839080868171E-6
waveform,-8.089648695417395E-4,-6.834553829831336E-4
waveform-noise,3.6021165055202255E-4,-3.43861187954797E-4
wine,-0.0011172467609257533,-0.0023896011297750135
wine-quality-red,-0.00598673673899548,-0.011773134400663606
wine-quality-white,-0.006053086390667198,-0.005868638766988872
yeast,-0.002093270900933057,-0.005200672283011187
zoo,-0.003550130453245796,-0.0017085036577903093
