TRAINBALACC,CAWPE-A,PB-A
AvgTRAINBALACCOverDsets:,0.7476309872685513,0.7200022260001062
AvgTRAINBALACCRankOverDsets:,1.243801652892562,1.756198347107438
StddevOfTRAINBALACCOverDsets:,0.19796930407071547,0.2197676400571997
AvgOfStddevsOfTRAINBALACCOverDsetFolds:,0.030973967898378,0.02908951529523827
StddevsOfTRAINBALACCRanksOverDsets:,0.4287370137942903,0.4287370137942903

flat,CAWPE-A,PB-A
CAWPE-A,0|121|0,91|1|29
PB-A,29|1|91,0|121|0



p=0.01,CAWPE-A,PB-A
CAWPE-A,0|121|0,50|58|13
PB-A,13|58|50,0|121|0



p=0.05,CAWPE-A,PB-A
CAWPE-A,0|121|0,63|44|14
PB-A,14|44|63,0|121|0



T TEST,CAWPE-A,PB-A
CAWPE-A,0.0,2.1162E-4
PB-A,0.0,0.0

SIGN TEST,CAWPE-A,PB-A
CAWPE-A,0.0,2.0E-8
PB-A,0.0,0.0

SIGN RANK TEST,CAWPE-A,PB-A
CAWPE-A,0.0,0.0
PB-A,0.0,0.0

NOSIGDIFFERENCE,CAWPE-A,PB-A
CAWPE-A,true,false
PB-A,false,true



cliques = []

