TRAINTESTDIFFSBALACCRANKS:,CAWPE-A,PB-A
abalone,1.0,2.0
acute-inflammation,1.0,2.0
acute-nephritis,2.0,1.0
adult,2.0,1.0
annealing,2.0,1.0
arrhythmia,2.0,1.0
audiology-std,2.0,1.0
balance-scale,2.0,1.0
balloons,1.0,2.0
bank,2.0,1.0
blood,2.0,1.0
breast-cancer,1.0,2.0
breast-cancer-wisc,1.0,2.0
breast-cancer-wisc-diag,2.0,1.0
breast-cancer-wisc-prog,1.0,2.0
breast-tissue,2.0,1.0
car,2.0,1.0
cardiotocography-3clases,2.0,1.0
cardiotocography-10clases,2.0,1.0
chess-krvk,2.0,1.0
chess-krvkp,1.0,2.0
congressional-voting,1.0,2.0
conn-bench-sonar-mines-rocks,2.0,1.0
conn-bench-vowel-deterding,2.0,1.0
connect-4,2.0,1.0
contrac,2.0,1.0
credit-approval,1.0,2.0
cylinder-bands,1.0,2.0
dermatology,1.0,2.0
echocardiogram,1.0,2.0
ecoli,1.0,2.0
energy-y1,1.0,2.0
energy-y2,1.0,2.0
fertility,2.0,1.0
flags,1.0,2.0
glass,1.0,2.0
haberman-survival,1.0,2.0
hayes-roth,1.0,2.0
heart-cleveland,2.0,1.0
heart-hungarian,1.0,2.0
heart-switzerland,1.0,2.0
heart-va,1.0,2.0
hepatitis,1.0,2.0
hill-valley,2.0,1.0
horse-colic,1.0,2.0
ilpd-indian-liver,2.0,1.0
image-segmentation,2.0,1.0
ionosphere,1.0,2.0
iris,1.0,2.0
led-display,1.0,2.0
lenses,1.0,2.0
letter,2.0,1.0
libras,1.0,2.0
low-res-spect,2.0,1.0
lung-cancer,1.0,2.0
lymphography,2.0,1.0
magic,2.0,1.0
mammographic,1.0,2.0
miniboone,2.0,1.0
molec-biol-promoter,1.0,2.0
molec-biol-splice,1.0,2.0
monks-1,2.0,1.0
monks-2,2.0,1.0
monks-3,2.0,1.0
mushroom,1.5,1.5
musk-1,1.0,2.0
musk-2,2.0,1.0
nursery,2.0,1.0
oocytes_merluccius_nucleus_4d,2.0,1.0
oocytes_merluccius_states_2f,2.0,1.0
oocytes_trisopterus_nucleus_2f,2.0,1.0
oocytes_trisopterus_states_5b,2.0,1.0
optical,2.0,1.0
ozone,2.0,1.0
page-blocks,2.0,1.0
parkinsons,2.0,1.0
pendigits,2.0,1.0
pima,2.0,1.0
pittsburg-bridges-MATERIAL,2.0,1.0
pittsburg-bridges-REL-L,1.0,2.0
pittsburg-bridges-SPAN,1.0,2.0
pittsburg-bridges-T-OR-D,1.0,2.0
pittsburg-bridges-TYPE,1.0,2.0
planning,1.0,2.0
plant-margin,1.0,2.0
plant-shape,2.0,1.0
plant-texture,2.0,1.0
post-operative,2.0,1.0
primary-tumor,1.0,2.0
ringnorm,2.0,1.0
seeds,2.0,1.0
semeion,1.0,2.0
soybean,1.0,2.0
spambase,2.0,1.0
spect,1.0,2.0
spectf,1.0,2.0
statlog-australian-credit,1.0,2.0
statlog-german-credit,1.0,2.0
statlog-heart,1.0,2.0
statlog-image,2.0,1.0
statlog-landsat,2.0,1.0
statlog-shuttle,2.0,1.0
statlog-vehicle,2.0,1.0
steel-plates,1.0,2.0
synthetic-control,1.0,2.0
teaching,1.0,2.0
thyroid,1.0,2.0
tic-tac-toe,1.0,2.0
titanic,1.0,2.0
trains,1.0,2.0
twonorm,1.0,2.0
vertebral-column-2clases,2.0,1.0
vertebral-column-3clases,2.0,1.0
wall-following,1.0,2.0
waveform,1.0,2.0
waveform-noise,1.0,2.0
wine,1.0,2.0
wine-quality-red,2.0,1.0
wine-quality-white,2.0,1.0
yeast,2.0,1.0
zoo,1.0,2.0
