TRAINTESTDIFFSNLL:,PB-A,CAWPE-A
abalone,0.023292421386337157,0.009556442944087388
acute-inflammation,0.008452296501293958,0.09294398995190527
acute-nephritis,0.005400874878255501,0.06598791452706744
adult,0.0033842776512498026,0.004034496801839869
annealing,0.015790034705541255,0.02543914280769496
arrhythmia,0.018462750025248546,0.029806076262216444
audiology-std,0.4361964817476334,0.6762579904627224
balance-scale,0.02516930606514071,0.04455063990263511
balloons,0.19473628919820765,-0.23977013188658153
bank,0.01774620613019155,0.006598481476501935
blood,0.03955482898968819,-3.044300019657646E-4
breast-cancer,0.022223842518759796,-0.0694760289521777
breast-cancer-wisc,-0.006093799585085112,0.011775768561570052
breast-cancer-wisc-diag,-0.018610016205148405,0.0011330747797439376
breast-cancer-wisc-prog,0.024824015039936052,-0.03352977750596104
breast-tissue,0.0032627651815581543,0.005877758284879616
car,0.005955835529086001,0.01700605050701169
cardiotocography-3clases,-0.009521204086285814,0.005461684530644344
cardiotocography-10clases,0.0171128475517457,0.031126813750966306
chess-krvk,0.01950119398975633,0.050159721880861326
chess-krvkp,0.0030664349377456388,0.009464363934029876
congressional-voting,0.01873480044652467,0.00608304571444922
conn-bench-sonar-mines-rocks,0.006533903266885603,0.015612766720730116
conn-bench-vowel-deterding,0.037287854821495284,0.04859366296942184
connect-4,0.0017519246023095661,0.013788083894680607
contrac,0.06800600732844296,0.00799653670938499
credit-approval,0.02019622020723068,0.010010492072870343
cylinder-bands,0.09058699371627368,0.03548195840171674
dermatology,0.016228113211175517,0.03834475142533676
echocardiogram,0.013947771186792657,-0.06142428856891777
ecoli,-0.04321986267088242,-8.66502917761891E-4
energy-y1,0.003213899827189088,0.0061337053329974444
energy-y2,0.011310697056606067,-0.0024643896284017087
fertility,0.011880132874152636,-0.006232886079067313
flags,-0.059143817382051544,-0.034954974701836526
glass,0.10643958352364313,0.04546538592513405
haberman-survival,-0.08402485794223286,-0.040336674698719516
hayes-roth,0.10902419712116777,0.07111538453052672
heart-cleveland,-0.07100164631346935,-0.10812953584121109
heart-hungarian,0.07616849739294804,0.019481343840170272
heart-switzerland,-0.05469925236569284,-0.33123612711599026
heart-va,0.0815011294897592,-0.11976021320576294
hepatitis,0.016973215582192325,-0.0665823135278681
hill-valley,0.002804953119756696,-5.75988507219638E-4
horse-colic,0.03723876988858921,-0.010097643828367807
ilpd-indian-liver,-0.031793127822957824,-0.012552827058488425
image-segmentation,0.006502204558943469,0.020839510690170863
ionosphere,0.031796581111585065,0.04674271810381868
iris,-0.012445774397403417,0.023751991305066496
led-display,0.011445815496051519,-0.035003211414547514
lenses,0.33058704507906833,0.07398703321592734
letter,0.018307145916853243,0.03413291753236966
libras,0.12006237559441099,0.07558510893192093
low-res-spect,0.0449087009418031,0.06545699164200745
lung-cancer,0.3497274214646809,-0.10715778754769707
lymphography,0.1461736796272362,0.14415403169841834
magic,0.006242873941638646,0.007580089140919871
mammographic,0.10287390075843476,0.021163903901586935
miniboone,0.0012428592569831078,0.005863543338529768
molec-biol-promoter,0.03064014516729479,0.02059146195246031
molec-biol-splice,0.008469986040757892,0.014460693166112766
monks-1,0.01989337062588386,0.025823029427057113
monks-2,0.09384559277459785,0.045034782752896976
monks-3,0.02208057168920623,0.028500065298986136
mushroom,1.3926331214952222E-4,0.0021980428969761217
musk-1,0.04523718433108463,0.03522341500021962
musk-2,0.01106655030204454,0.013069553949430428
nursery,8.973571321356091E-4,0.016787614201880626
oocytes_merluccius_nucleus_4d,0.028035238246197584,0.01313044692304737
oocytes_merluccius_states_2f,0.02117836873003757,0.014511273433874611
oocytes_trisopterus_nucleus_2f,0.06265594043739066,0.03383633584940535
oocytes_trisopterus_states_5b,-0.00264147075452205,0.012857763521375994
optical,0.007641312067759234,0.012913943360433036
ozone,3.694071564934389E-4,0.007795294472042963
page-blocks,-0.0020524275743489667,0.004585316284719012
parkinsons,0.0374202088130695,0.03889828011526539
pendigits,0.00241577311807645,0.006320776975871447
pima,0.0020691926123247773,-0.006633879249232281
pittsburg-bridges-MATERIAL,-0.09437214065536664,-0.08120016109366733
pittsburg-bridges-REL-L,0.1436947198776974,-0.0931425866557588
pittsburg-bridges-SPAN,0.1824891327086817,0.020723560878966422
pittsburg-bridges-T-OR-D,-0.02817002835060407,-0.06037572393196058
pittsburg-bridges-TYPE,0.06546251746345196,-0.08905963545187869
planning,-0.05847785925651469,-0.03266406374081957
plant-margin,0.17456204211398452,0.14422340332634487
plant-shape,0.1980938539436751,0.12309669729631954
plant-texture,0.14549800324601145,0.12430486471306784
post-operative,-0.038208145148640425,-0.008713175108626132
primary-tumor,0.11173694170186742,-0.16544128494593152
ringnorm,0.0028173469271366067,0.012486253423944849
seeds,0.015005845865962006,0.04584627620146088
semeion,0.015562861823700421,0.02158454310064233
