TRAINTESTDIFFSNLLSTDDEVS:,PB-A,CAWPE-A
abalone,0.0462470279784936,0.026446835686453916
acute-inflammation,0.01682964003348307,0.021576840973465548
acute-nephritis,0.05951787740015423,0.030917474941811643
adult,0.007947088559379853,0.007649708450600539
annealing,0.08005754128982254,0.049835542855056286
arrhythmia,0.23800819817466953,0.12682884964212363
audiology-std,0.25565652033385716,0.15572661616243805
balance-scale,0.10517603565150037,0.041733812824377596
balloons,0.4733636415390263,0.47353286613306833
bank,0.031644920287418464,0.01507518232668434
blood,0.15913458402894468,0.04866066603698973
breast-cancer,0.3478968174933458,0.09794906000615823
breast-cancer-wisc,0.11004633080869985,0.04735575432767427
breast-cancer-wisc-diag,0.09505618211484519,0.04946440624384469
breast-cancer-wisc-prog,0.20949071146543607,0.1095227130410244
breast-tissue,0.36038080163928676,0.24317046422094335
car,0.023219011165755674,0.016306043237290204
cardiotocography-3clases,0.06504722391075873,0.026161459884621135
cardiotocography-10clases,0.08059994754083727,0.038281719709829874
chess-krvk,0.012668338938751763,0.015246912200913494
chess-krvkp,0.011844651978757415,0.010176072678884622
congressional-voting,0.09098637879885182,0.0427264307469461
conn-bench-sonar-mines-rocks,0.21007513667275843,0.0918768651349688
conn-bench-vowel-deterding,0.08091452787705618,0.04832758407141716
connect-4,0.00439728523660222,0.005110966099720218
contrac,0.0961603988480696,0.03931291820684144
credit-approval,0.17316297151051202,0.07826710587297081
cylinder-bands,0.18490782138221976,0.06925444511927491
dermatology,0.08849477432456997,0.04688551765472859
echocardiogram,0.34453059566225125,0.17964646323024158
ecoli,0.23446293876278276,0.12823865105054774
energy-y1,0.10410316574306913,0.08145166686379104
energy-y2,0.10067316612415111,0.07129311838409737
fertility,0.33204004007518484,0.08299178390305052
flags,0.3478008756454085,0.2061846432510462
glass,0.2152305856422782,0.1442423622668543
haberman-survival,0.3560623214377978,0.07042180002493946
hayes-roth,0.2311385827377653,0.12516138749512964
heart-cleveland,0.3146601459702879,0.12956288240221875
heart-hungarian,0.3149814544479732,0.12394008405832675
heart-switzerland,0.5663199850500046,0.3226941689823733
heart-va,0.42797964975150365,0.21359369386479543
hepatitis,0.30083235056653845,0.13043480814102829
hill-valley,0.08689240277868107,0.023420892206673184
horse-colic,0.2005378658845856,0.07839404909169244
ilpd-indian-liver,0.19170147831873383,0.04527870060311284
image-segmentation,0.0421527239281766,0.027023814210853637
ionosphere,0.141038415464208,0.061057491259146605
iris,0.1974353312745357,0.09090559514049107
led-display,0.1387970278334607,0.13038202950050196
lenses,0.649482479979621,0.3474961764766443
letter,0.013789916146287965,0.013010366077706824
libras,0.25538051843117515,0.1547885047043794
low-res-spect,0.12415400574455164,0.09002849747297838
lung-cancer,0.8827347488079023,0.30132279520403715
lymphography,0.3142621423387812,0.14425863694105392
magic,0.01510856716207673,0.01060299876806382
mammographic,0.15107848236610302,0.06170132488453414
miniboone,0.0037845072382502645,0.003098877737077573
molec-biol-promoter,0.22826963786080723,0.1031043245876989
molec-biol-splice,0.046497133778750234,0.022721347324018933
monks-1,0.05105875724431573,0.036255584843633976
monks-2,0.17832547129525675,0.05265543141826587
monks-3,0.06126417915450662,0.03325518376899588
mushroom,9.755611080864397E-5,0.0014050918427621192
musk-1,0.15501720034514962,0.07198515955422177
musk-2,0.015092502800193232,0.00866421451317697
nursery,0.0012764088833012823,0.017963844752467203
oocytes_merluccius_nucleus_4d,0.1277972333870885,0.04779517523583235
oocytes_merluccius_states_2f,0.08749805633062396,0.04410515420085668
oocytes_trisopterus_nucleus_2f,0.09578774500183519,0.04297180362667727
oocytes_trisopterus_states_5b,0.09564803815021951,0.0597127671520829
optical,0.01569533223678642,0.008625967328032811
ozone,0.030090068485035815,0.02038981101495683
page-blocks,0.033586703067670066,0.01534830395647883
parkinsons,0.19318227478135425,0.10841450778461065
pendigits,0.010383709756338896,0.009584145209994439
pima,0.18746444623724876,0.0629276789623179
pittsburg-bridges-MATERIAL,0.4140472036157316,0.21342941614621996
pittsburg-bridges-REL-L,0.6127394404898612,0.27145817228923713
pittsburg-bridges-SPAN,0.40323221267064746,0.20490263711567133
pittsburg-bridges-T-OR-D,0.41585533682090664,0.18224077281167148
pittsburg-bridges-TYPE,0.6255182336507267,0.3845310033775392
planning,0.34754699082624235,0.07874316421983271
plant-margin,0.09714020571908694,0.12921452537695766
plant-shape,0.12217315829368103,0.12344988977164272
plant-texture,0.08493508755251238,0.11310576234726917
post-operative,0.5716182455968103,0.10345998153683003
primary-tumor,0.3705333840262293,0.244938950973987
ringnorm,0.013409562519006919,0.008524673612223288
seeds,0.1351886610191375,0.11180549111402194
semeion,0.07647755151000546,0.04443167812082417
soybean,0.12756303534038935,0.06593958452330745
spambase,0.031514904136099614,0.01531265259099949
spect,0.37344115327716076,0.1466656823784439
spectf,0.22887444711181762,0.1094023125244657
statlog-australian-credit,0.17828672896611428,0.03890351344043181
statlog-german-credit,0.1448178200650478,0.05345084890508445
statlog-heart,0.2570832276999479,0.14434468318330976
statlog-image,0.030634675934403426,0.018840455039751715
statlog-landsat,0.0366658275293918,0.03479010523396473
statlog-shuttle,5.545592362863034E-4,0.0050623100818067744
statlog-vehicle,0.12115863150774948,0.04071835393398241
steel-plates,0.07979844752568488,0.046058705926818426
synthetic-control,0.05199077470658969,0.028375592769620987
teaching,0.6570515474696866,0.18975384025051073
thyroid,0.00979986731860965,0.006472053960110077
tic-tac-toe,0.02403965799216108,0.020076827636794733
titanic,0.028964543099154062,0.026240583299054175
trains,0.009279878333888464,0.28656963845494093
twonorm,0.017048170230212767,0.02324953921787567
vertebral-column-2clases,0.2757489069199332,0.10110675049887881
vertebral-column-3clases,0.20461755995260333,0.09921563773165942
wall-following,0.01069374711440412,0.00957103910458507
waveform,0.04662630194699897,0.023041991045853073
waveform-noise,0.04289605184461028,0.02393070034421251
