TRAINTrainTimes,PB-A,CAWPE-A
AvgTRAINTrainTimesOverDsets:,36.603305785123965,75.23140495867769
AvgTRAINTrainTimesRankOverDsets:,1.0495867768595042,1.9504132231404958
StddevOfTRAINTrainTimesOverDsets:,102.21816777028461,99.9918130257488
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,2.8344817964556728,14.20902311224323
StddevsOfTRAINTrainTimesRanksOverDsets:,0.197957894067631,0.197957894067631

flat,PB-A,CAWPE-A
PB-A,0|121|0,4|4|113
CAWPE-A,113|4|4,0|121|0



p=0.01,PB-A,CAWPE-A
PB-A,0|121|0,1|12|108
CAWPE-A,108|12|1,0|121|0



p=0.05,PB-A,CAWPE-A
PB-A,0|121|0,1|11|109
CAWPE-A,109|11|1,0|121|0



T TEST,PB-A,CAWPE-A
PB-A,0.0,0.0
CAWPE-A,0.0,0.0

SIGN TEST,PB-A,CAWPE-A
PB-A,0.0,0.0
CAWPE-A,0.0,0.0

SIGN RANK TEST,PB-A,CAWPE-A
PB-A,0.0,0.0
CAWPE-A,0.0,0.0

NOSIGDIFFERENCE,PB-A,CAWPE-A
PB-A,true,false
CAWPE-A,false,true



cliques = []

