TRAINACCSTDDEVS:,CAWPE-S,PB-S
abalone,0.007624673133707517,0.00826092779213998
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.006709631665607483
adult,0.0016925500677360816,0.0016051714804870773
annealing,0.011489163336132055,0.014246734908827278
arrhythmia,0.024789597079779343,0.043342851090712835
audiology-std,0.032872169108772074,0.03863652637309415
balance-scale,0.012269414547170147,0.019998018541276634
balloons,0.23408778535048172,0.23608345475132053
bank,0.004040366021740665,0.0042241409851768484
blood,0.017606920193231426,0.011381926034904495
breast-cancer,0.028213498952494632,0.03187979512868189
breast-cancer-wisc,0.0068007576385550805,0.006997723561323165
breast-cancer-wisc-diag,0.00819193275887559,0.007754936734061836
breast-cancer-wisc-prog,0.0363429472639939,0.03803728291547787
breast-tissue,0.05400066249615652,0.0528710496225116
car,0.006515788512020782,0.010749812660966716
cardiotocography-3clases,0.007496951096557557,0.006905013506534372
cardiotocography-10clases,0.010727039610393195,0.007083527547270557
chess-krvk,0.0032285142981849984,0.003812289243605348
chess-krvkp,0.0022286709835063357,0.005878980164903468
congressional-voting,0.016104420773646218,0.019428602385706976
conn-bench-sonar-mines-rocks,0.03142717234815088,0.04155208393179992
conn-bench-vowel-deterding,0.00756510726269768,0.02044908714205333
connect-4,0.002264050654359049,5.405121257470445E-6
contrac,0.01705125163353896,0.020657583926358598
credit-approval,0.015445606049536594,0.012462138753367134
cylinder-bands,0.03062898800051519,0.023251175079994878
dermatology,0.014410026455296474,0.012717698859412598
echocardiogram,0.04303964535832311,0.04133723404288184
ecoli,0.022016791834249153,0.01801565237837254
energy-y1,0.01600720386413379,0.011726483227182574
energy-y2,0.011134188382642992,0.01580745848776629
fertility,0.02835732587947043,0.0576513500355329
flags,0.05955296562890851,0.05195266174989598
glass,0.044927780787456906,0.04241516303403408
haberman-survival,0.02394513295376995,0.020291167071887127
hayes-roth,0.061877118613098095,0.05406149638117868
heart-cleveland,0.03212046291588953,0.032598019982336926
heart-hungarian,0.023947079829801127,0.02632561835414772
heart-switzerland,0.05948768126686794,0.05976742980877565
heart-va,0.05212653101311794,0.05328360551073634
hepatitis,0.03615029220618889,0.04962135354253168
hill-valley,0.024062237356516504,0.01603060479332982
horse-colic,0.024593914149066944,0.023996520735501188
ilpd-indian-liver,0.017156041337805975,0.018310687573791458
image-segmentation,0.006437769783004003,0.007875468112029226
ionosphere,0.014663638183478855,0.019847885049385366
iris,0.024531367570754057,0.019620928696467907
led-display,0.018721908639600503,0.017844761354313753
lenses,0.17942521402667225,0.19698979079244444
letter,0.00218985351529456,0.004038280309450443
libras,0.02471348518966824,0.03351589004885583
low-res-spect,0.013388478983600635,0.013867697014537106
lung-cancer,0.15336164989242482,0.15868231353352677
lymphography,0.03852505722525054,0.03663090211556224
magic,0.0031505205392041873,0.003014316729101059
mammographic,0.0157024739572474,0.018661856463221854
miniboone,0.002901145674473545,0.0011051573218230403
molec-biol-promoter,0.06137314776023904,0.06675757251730867
molec-biol-splice,0.007760680583260486,0.010800274218736292
monks-1,0.04918476738627897,0.020618500583171395
monks-2,0.025884358211089573,0.002263035179747867
monks-3,0.011546639529774236,0.023119535980934774
mushroom,0.002132262287577747,0.0055405988128333855
musk-1,0.020181907400147046,0.02392895006556524
musk-2,0.0020741250635522824,0.004148059060064899
nursery,0.0020471722291006723,0.003292174141027905
oocytes_merluccius_nucleus_4d,0.01300110423490121,0.014983702834411533
oocytes_merluccius_states_2f,0.009210338000872668,0.00973925030051367
oocytes_trisopterus_nucleus_2f,0.01613483254178093,0.013896925785533422
oocytes_trisopterus_states_5b,0.00782345482781734,0.009925553656046762
optical,0.0015373317737253456,0.0023330343214738457
ozone,0.0021488690325015053,0.004326381943404928
page-blocks,0.002723210426973118,0.0034453192928561604
parkinsons,0.035023304738950205,0.028437907296416903
pendigits,0.0011092566368219859,0.001400991693801486
pima,0.013711905169990228,0.014291179789775394
pittsburg-bridges-MATERIAL,0.035134626091966915,0.03901568089599017
pittsburg-bridges-REL-L,0.05314910710639358,0.05531934458268168
pittsburg-bridges-SPAN,0.056688716566979554,0.06329843841692226
pittsburg-bridges-T-OR-D,0.04269550689761693,0.036222239383767785
pittsburg-bridges-TYPE,0.0578348282500103,0.06628041736522848
planning,0.015365657132947238,0.020269584060545683
plant-margin,0.009136182331050917,0.01454753405654844
plant-shape,0.016378306457439165,0.01506713901711004
plant-texture,0.011340465440091003,0.014134381801488788
post-operative,0.04143036441772435,0.059652272736961415
primary-tumor,0.0274214331574245,0.02908658828323686
ringnorm,0.0051944627987078225,0.00435552004907123
seeds,0.024454323098604923,0.02006063735034552
semeion,0.010594566688212256,0.00925295106688827
soybean,0.011250157431716066,0.01549954357175284
spambase,0.005268799702933092,0.005649386157553035
spect,0.04438542993065502,0.04633778473062796
spectf,0.0340485270808833,0.033653091604735105
statlog-australian-credit,0.014452384222188924,0.006837365872458958
