TRAINACC,CAWPE-S,PB-S
AvgTRAINACCOverDsets:,0.8139217927189104,0.7652396707941592
AvgTRAINACCRankOverDsets:,1.1074380165289257,1.8925619834710743
StddevOfTRAINACCOverDsets:,0.14465189592776403,0.16481214987413595
AvgOfStddevsOfTRAINACCOverDsetFolds:,0.02591238510083899,0.027847514582258388
StddevsOfTRAINACCRanksOverDsets:,0.30418341212065864,0.30418341212065864

flat,CAWPE-S,PB-S
CAWPE-S,0|121|0,107|2|12
PB-S,12|2|107,0|121|0



p=0.01,CAWPE-S,PB-S
CAWPE-S,0|121|0,73|46|2
PB-S,2|46|73,0|121|0



p=0.05,CAWPE-S,PB-S
CAWPE-S,0|121|0,77|41|3
PB-S,3|41|77,0|121|0



T TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.0
PB-S,0.0,0.0

SIGN TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.0
PB-S,0.0,0.0

SIGN RANK TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.0
PB-S,0.0,0.0

NOSIGDIFFERENCE,CAWPE-S,PB-S
CAWPE-S,true,false
PB-S,false,true



cliques = []

