TRAINTESTDIFFSACCSTDDEVS:,CAWPE-S,PB-S
abalone,0.013739190015717639,0.013764900612224722
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.006709631665607481
adult,0.0034255651109508915,0.0030909447407183877
annealing,0.017769787374661176,0.021499770181336857
arrhythmia,0.03443341998513661,0.051993092487243646
audiology-std,0.055372346377005006,0.060107530890859746
balance-scale,0.016136618699098798,0.02476039975428193
balloons,0.3541509416368935,0.3532994762933369
bank,0.005557253342003606,0.005883812443914335
blood,0.022980317645423767,0.019793321415317373
breast-cancer,0.04120261553704755,0.05195105649702813
breast-cancer-wisc,0.012602084995383789,0.012897162115540867
breast-cancer-wisc-diag,0.01320979076503165,0.011898394996746133
breast-cancer-wisc-prog,0.054142175292590064,0.05743387949975999
breast-tissue,0.07897389481863555,0.07381378063044235
car,0.011758444394325678,0.016823648946698938
cardiotocography-3clases,0.011352173917975937,0.011410147239496937
cardiotocography-10clases,0.018075420766530365,0.012294103053404832
chess-krvk,0.004940886532835652,0.006027909464428784
chess-krvkp,0.0044220319243913585,0.00862208676152852
congressional-voting,0.029084012909526318,0.029567280367564158
conn-bench-sonar-mines-rocks,0.04997239376675622,0.05235772368784148
conn-bench-vowel-deterding,0.012531468141621392,0.025811302992063898
connect-4,0.0029088905112016686,5.405121257470446E-6
contrac,0.02647443079383458,0.03308053849137969
credit-approval,0.02513467782689435,0.02406574754888433
cylinder-bands,0.04336408716110708,0.03672634390476394
dermatology,0.02215038956094978,0.021554883868853843
echocardiogram,0.07441332775010262,0.07284851191938346
ecoli,0.03488250143472794,0.03231149123513867
energy-y1,0.017253651168439122,0.02173323586587088
energy-y2,0.019552300972685236,0.028033968339592097
fertility,0.044173118158175026,0.08063255667162177
flags,0.05799347279969698,0.06764588714805488
glass,0.06858029187225466,0.06376193110125385
haberman-survival,0.03775201362104655,0.02898287761153351
hayes-roth,0.08440196066187435,0.08620076192119686
heart-cleveland,0.038548756526407595,0.046035843261683064
heart-hungarian,0.037275024582000126,0.040294313532465535
heart-switzerland,0.08869600834736632,0.08122452688329922
heart-va,0.06447237836321501,0.07495212067018422
hepatitis,0.05243147835909781,0.06382036528535284
hill-valley,0.03468772523783847,0.03733880429362961
horse-colic,0.03828987814948757,0.03601069415068616
ilpd-indian-liver,0.027268285603544582,0.022848791456711235
image-segmentation,0.01151794589239892,0.014903781563124363
ionosphere,0.028073441631980518,0.03398978625902014
iris,0.0413538448673506,0.03569703652052063
led-display,0.03146435266897124,0.034400106770528585
lenses,0.2574715160551584,0.2438733869237908
letter,0.004089928685939289,0.00640327554645453
libras,0.04629604086775003,0.05000496640582436
low-res-spect,0.029499529084104373,0.025590731510182253
lung-cancer,0.18614438594663452,0.20875163430799878
lymphography,0.06948891138038595,0.07343998917654894
magic,0.00499126980187805,0.005431460249191164
mammographic,0.026829469773997684,0.02553605485312258
miniboone,0.0032758690317625104,0.002089991141444519
molec-biol-promoter,0.08254492802281113,0.09968294383725564
molec-biol-splice,0.014070446378297229,0.015733760583979448
monks-1,0.06292736844787007,0.034055713047702905
monks-2,0.03572555668696797,0.004453013237006415
monks-3,0.017517333094040303,0.03793349458075161
mushroom,0.0024246182787777803,0.005349537061865897
musk-1,0.03004643553137986,0.037954565509811765
musk-2,0.004939710786693524,0.007265773993741562
nursery,0.007417370965725998,0.006361087641078742
oocytes_merluccius_nucleus_4d,0.01978011307192485,0.024930464364633375
oocytes_merluccius_states_2f,0.01790577196063981,0.018516774628706652
oocytes_trisopterus_nucleus_2f,0.024881160474782834,0.026271399283812603
oocytes_trisopterus_states_5b,0.015391249410025402,0.019391252572215793
optical,0.0025118212796978456,0.004532785932161582
ozone,0.003208185945652483,0.005218804741232234
page-blocks,0.004884353962964364,0.005577591606469903
parkinsons,0.049276671616188955,0.05636619970244839
pendigits,0.002059983635763484,0.002217488614166613
pima,0.02569452534418248,0.02419535559522674
pittsburg-bridges-MATERIAL,0.05983629105637919,0.053812496270679695
pittsburg-bridges-REL-L,0.07957002581523441,0.087422214313084
pittsburg-bridges-SPAN,0.08493719808658214,0.10079750652988902
pittsburg-bridges-T-OR-D,0.07259073291122846,0.06393189644330002
pittsburg-bridges-TYPE,0.07829147372746507,0.0955539953599727
planning,0.016761166315191957,0.02379737547269054
plant-margin,0.016964508251932478,0.019989041538032652
plant-shape,0.024099478043186413,0.028847473444617838
plant-texture,0.017110922954134064,0.02514024622482213
post-operative,0.05668582051770096,0.07647698971592469
primary-tumor,0.048043181955512514,0.04605983254490225
ringnorm,0.009318733100399176,0.007568211040853658
seeds,0.03874110409104706,0.03566553870812828
semeion,0.01742204464775398,0.015728055648587334
soybean,0.021206543609194613,0.022077638396958532
spambase,0.008828272516529742,0.008845899190954935
spect,0.06422739538348649,0.07025223227821532
spectf,0.04725297497961351,0.043939015926641276
statlog-australian-credit,0.02099141690286409,0.011451731676449833
statlog-german-credit,0.019976537962457807,0.024727387208537028
statlog-heart,0.05429911708029284,0.04551291237389031
statlog-image,0.00744304024270112,0.011240320434079758
statlog-landsat,0.0076448131938450185,0.007709461999380892
statlog-shuttle,3.3062250648142064E-4,0.013946870281455921
statlog-vehicle,0.023263945853024874,0.028525199977065444
steel-plates,0.020796019221560824,0.01624951471970406
synthetic-control,0.010370530011542648,0.013598888092176888
teaching,0.07233836268584083,0.09566726901833698
thyroid,0.004299283735857367,0.0035530627636067135
tic-tac-toe,0.008232613154680685,0.007670309381786364
titanic,0.016910010155507995,0.016652240939254232
trains,0.34179863818875633,0.39871280759140426
twonorm,0.0033531101733626756,0.002958891001584564
vertebral-column-2clases,0.05710323633380403,0.05522276040792363
vertebral-column-3clases,0.03805464826876006,0.04001267635562691
wall-following,0.005503890687707538,0.011625015385862521
waveform,0.010357592367980695,0.009549492504337422
waveform-noise,0.01019785503500238,0.0096984221986676
wine,0.02829374198548259,0.02588528751398201
wine-quality-red,0.0235404724627667,0.01787285295229557
wine-quality-white,0.010211570285371547,0.011436163459495463
yeast,0.029223013617470876,0.0287386607752109
zoo,0.04603481205370334,0.05094067483702892
