TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE-S,PB-S
abalone,0.00916111543710998,0.009050845182059918
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.0
adult,0.003652459693522661,0.0037453457136806863
annealing,0.014177858750382747,0.029521906097177347
arrhythmia,0.031504199827826554,0.0324821339346629
audiology-std,0.018051581709893634,0.0315814950932576
balance-scale,0.0057407900819645115,0.008259862812870123
balloons,0.38692553099912236,0.4534601608706185
bank,0.013407943883561639,0.01691804139186788
blood,0.04837772122627207,0.05729533958387809
breast-cancer,0.0719139185443851,0.09085951251587987
breast-cancer-wisc,0.004098973165508481,0.003405684138917809
breast-cancer-wisc-diag,0.009590767745132893,0.008893254022551783
breast-cancer-wisc-prog,0.10241619949363433,0.07156228878518509
breast-tissue,0.02991334275384163,0.03191441544525699
car,0.002776601551179664,0.011335000572382606
cardiotocography-3clases,0.005528409805560864,0.007796550796274912
cardiotocography-10clases,0.0029507650310417683,0.00248020220189859
chess-krvk,0.0014558435592993482,0.0025898739162805323
chess-krvkp,7.762262691378391E-4,0.003390965383088365
congressional-voting,0.06536458008694601,0.06081814416121319
conn-bench-sonar-mines-rocks,0.044615329346587,0.05642297005402928
conn-bench-vowel-deterding,0.0019632547697695205,0.006173286052006998
connect-4,0.003373995589215504,0.018997337871973743
contrac,0.020530067730475346,0.0270604547782717
credit-approval,0.02230480059069862,0.025607291249666552
cylinder-bands,0.04745064137287977,0.04591782457079145
dermatology,0.0014344451762267692,0.0029429443680151378
echocardiogram,0.10620440694553865,0.10923130766057958
ecoli,0.016016829232365217,0.01447163186164814
energy-y1,0.005968220825527081,0.01608801488389958
energy-y2,0.006774692127190964,0.014734387618674492
fertility,0.19952298598453572,0.18315683512532877
flags,0.03873764772373224,0.04268438774659431
glass,0.03284505506468621,0.03915203437080267
haberman-survival,0.09176296475636431,0.06990882929772388
hayes-roth,0.06943881448756643,0.07252034784240116
heart-cleveland,0.03295171860211823,0.029879192714626912
heart-hungarian,0.039753714530813056,0.04358958886388575
heart-switzerland,0.08250883243532443,0.06398056248109307
heart-va,0.05530517118693246,0.05649096163099518
hepatitis,0.06984131615343081,0.07707902370913201
hill-valley,0.044254791398180976,0.11949642854641579
horse-colic,0.04117282392710462,0.041923137382051494
ilpd-indian-liver,0.04426994146171187,0.04672348089014984
image-segmentation,0.0016201348814031526,0.0042870313656189025
ionosphere,0.020493284303399317,0.04211800456294327
iris,0.0043951534901284185,0.010406183445205759
led-display,0.008272727229888643,0.008020120922345473
lenses,0.22957869721814078,0.21248374617592133
letter,4.050551514019395E-4,7.541966036572155E-4
libras,0.010740237528184416,0.015369375075525025
low-res-spect,0.007283417813558056,0.009796993140468651
lung-cancer,0.18154824742167347,0.18024546830046018
lymphography,0.05181843964605389,0.05790177561003143
magic,0.005028290783250961,0.007592220792729954
mammographic,0.0233248435586557,0.025215504383521145
miniboone,0.0016022343373652786,0.0019214092460570118
molec-biol-promoter,0.07177538209782829,0.09360296226276187
molec-biol-splice,0.005717059522939692,0.008754490548050609
monks-1,0.04881844353958659,0.042100652660982764
monks-2,0.03817237053180824,0.05147375076998836
monks-3,0.015601097642234019,0.04067182747748241
mushroom,7.900856117647683E-6,0.005600429346545934
musk-1,0.02608378042318724,0.03740470639436817
musk-2,0.003173995174517443,0.008938387306569843
nursery,6.434696519211617E-4,0.0016407375418783442
oocytes_merluccius_nucleus_4d,0.022202393014093443,0.03671359584607221
oocytes_merluccius_states_2f,0.006517990743545887,0.008045153711231769
oocytes_trisopterus_nucleus_2f,0.02324712491410158,0.029810538121985405
oocytes_trisopterus_states_5b,0.010353217081268101,0.012652395993599361
optical,3.5670839361135744E-4,6.44199989172604E-4
ozone,0.053337942350648676,0.056084834024959215
page-blocks,0.0035740509400789817,0.009461754617186544
parkinsons,0.03787616524160031,0.065670605095022
pendigits,3.326587324993206E-4,4.847078026821307E-4
pima,0.03317931757527162,0.029969047601241295
pittsburg-bridges-MATERIAL,0.06871382510857794,0.05656855267811504
pittsburg-bridges-REL-L,0.07374278029590912,0.07405606999637701
pittsburg-bridges-SPAN,0.07926631422074176,0.078039823236941
pittsburg-bridges-T-OR-D,0.1882433435282976,0.14716895474434072
pittsburg-bridges-TYPE,0.06853619671631139,0.067870635622339
planning,0.11649173349576238,0.10197302659515027
plant-margin,0.0011857791803362137,0.0010931037356141315
plant-shape,0.003191954846982457,0.003200050841894004
plant-texture,0.0021084675502570614,0.002449676105400603
post-operative,0.14121290238604914,0.15168846800284247
primary-tumor,0.027317932363757062,0.026124586814423423
ringnorm,0.00527087070071263,0.007297434689247503
seeds,0.007953309071029674,0.012136149268882936
semeion,0.0021844281066178994,0.003159634346415355
soybean,0.0034251319861579033,0.004767975805415568
spambase,0.0036982616901960644,0.005994995647142947
spect,0.06370077477217505,0.07028874031174469
spectf,0.0627403442420341,0.04342266159983258
statlog-australian-credit,0.047519233481822576,0.049819594752791956
statlog-german-credit,0.025099639467003915,0.030457653290937206
statlog-heart,0.04440094231163251,0.04055776931972984
statlog-image,8.671348570042818E-4,0.0021606352259864823
statlog-landsat,0.0010986444420882455,0.0017758800360518122
statlog-shuttle,4.5298870550750545E-5,0.0021120914183041925
statlog-vehicle,0.009370263669058111,0.013124655485148623
steel-plates,0.008546341362507676,0.009059063523785969
synthetic-control,3.263908445363831E-4,0.0011573611593314267
teaching,0.05584664198327904,0.07268711642599579
thyroid,0.003064551523775986,0.004699836223811789
tic-tac-toe,0.0025473892194116097,0.015702823717898967
titanic,0.026907642132062943,0.0842837486293481
trains,0.38656599627537463,0.44723045215847534
twonorm,7.142732630001869E-4,5.933409503969436E-4
vertebral-column-2clases,0.03900465095540458,0.04102476971773649
vertebral-column-3clases,0.0158370849708565,0.022433896473773918
wall-following,0.0010146309472667872,0.006342696298177084
waveform,0.0024781657344593944,0.0026820111470805263
waveform-noise,0.0033117853530167905,0.003755958205882485
wine,0.003470835930346138,0.011594605464131366
wine-quality-red,0.018764407665561682,0.01374042410856743
wine-quality-white,0.009483334537194176,0.012130550495761524
yeast,0.013963372188986535,0.014347193758396853
zoo,0.01026384274022958,0.016159630729528873
