TRAINTESTDIFFSAUROC,CAWPE-S,PB-S
AvgTRAINTESTDIFFSAUROCOverDsets:,-0.00747560141409867,-0.006979682867587705
AvgTRAINTESTDIFFSAUROCRankOverDsets:,1.4793388429752066,1.5206611570247934
StddevOfTRAINTESTDIFFSAUROCOverDsets:,0.018893850065140057,0.036600616617790745
AvgOfStddevsOfTRAINTESTDIFFSAUROCOverDsetFolds:,0.037548479072831396,0.04177160652632378
StddevsOfTRAINTESTDIFFSAUROCRanksOverDsets:,0.4974798748646185,0.4974798748646185

flat,CAWPE-S,PB-S
CAWPE-S,0|121|0,62|2|57
PB-S,57|2|62,0|121|0



p=0.01,CAWPE-S,PB-S
CAWPE-S,0|121|0,5|114|2
PB-S,2|114|5,0|121|0



p=0.05,CAWPE-S,PB-S
CAWPE-S,0|121|0,10|105|6
PB-S,6|105|10,0|121|0



T TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.85126072
PB-S,0.0,0.0

SIGN TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.64943628
PB-S,0.0,0.0

SIGN RANK TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.32260174
PB-S,0.0,0.0

NOSIGDIFFERENCE,CAWPE-S,PB-S
CAWPE-S,true,true
PB-S,true,true



cliques = [1 1 
]

