folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.01092913149499286,0.002290397653777365,-0.011996795906331403,-0.004319170493424118,0.007064937682705108,-0.02164742887731086,0.011247096592371553,-0.006985120486462271,-0.0011831708906565597,0.003193668985023046,-2.4676068412121666E-4,-0.0016003737286858222,-0.012884404730623467,0.005705123781233001,3.361701849253773E-4,0.005884444569697167,-0.007050001322335353,0.016454956626262063,-9.749682097831558E-4,-0.017669639674060544,-0.012020787043359737,-0.003926389816524378,-0.003261722558625557,1.1752071758563964E-4,4.332774956783414E-5,-0.009052161833026595,-0.021279953851604638,-0.010494942534200136,-0.005007277732505977,-0.0026922991271198793
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.003460910558448993,-0.002147119671923048,-0.0014554416129319847,-0.005185708986641058,-0.0030900213826167144,-0.0026897279561299836,0.003468341310512546,0.00552210299451894,-0.0039182801761065145,-0.0031152619834130535,-0.006052854420338871,-0.004034085508133001,-7.788174239168333E-4,0.007130777800057331,1.0096285381433479E-4,0.0015691199363777608,0.0018505611614968442,-0.0021261401108546574,2.580854798925891E-4,4.3831371996572166E-4,-0.002029262636261353,-0.002503296209782624,-0.002724992600227294,-0.007033034773444746,-0.004862422199103489,-0.005249080126674355,1.4102476899702232E-4,-0.005254996467023543,0.005437040142202143,0.0016994133320974436
annealing,-0.005915291765098973,-1.685381179485912E-4,-0.0031134744528751312,-0.009667881989076865,-0.018660459627681814,0.0025850029813406783,-0.02104853293991782,-0.004313701945142245,-0.019862583884461493,0.011672860974425658,-0.012538953642277528,-0.0025556423544962348,0.005937010914828678,-0.022572644974890865,-1.6066703262374027E-5,-0.024851112704065703,0.004096201442557845,-0.002001634358102966,0.009321499317280546,-0.012038396148425723,2.1843803961041353E-4,-5.392197978220103E-4,-0.018494960224585077,-0.003961428499868136,0.007714489427737337,6.839244293911362E-4,-0.043149346710178005,-0.04167040507270503,0.014993524166226235,-5.340018597103091E-4
arrhythmia,0.04615423652944084,-0.0109508469438645,-0.007693152654778879,-0.0034622478570514037,-0.04801195501689959,-0.045706534264642995,0.02282192841728281,-0.0034209561795384147,-0.05178675018503409,0.02890916266327026,-0.030768182630396046,0.023469531333010774,-0.019052028984992586,-0.0411528693095875,-0.027012767354338885,-0.007799552956783584,-0.06805110405913051,0.0013497480943405193,-0.03259682374081363,0.014363459643082832,-0.03348948235391358,0.02180007290012398,0.011341177773641742,-0.01831648766039906,-0.08671502080831817,-0.02869281709276561,0.019520016701254805,0.00932866025082646,0.0017915998643800446,0.026325979691716128
audiology-std,-0.059075011576643854,-0.02715029347710529,-0.04317189989109904,-0.05290934526164892,-0.05472187026955577,-0.045173935491045314,-0.04689279199401608,-0.05285280918706625,-0.061260339719716894,-0.03708457586610692,-0.03320271787324525,-0.024199222270605114,-0.026292648599004154,-0.02884077939669949,-0.04005668027365705,-0.014488420279385461,-0.07463396532337718,-0.004694861339485157,-0.03636530508079816,-0.03731730430173752,-0.025579955663849296,-0.0059532622275096925,-0.025579213454153704,-0.03147995639868306,-0.03024197402283768,-0.053196336927557875,-0.07687933954429083,-0.0503822823382134,-0.03631536266648416,-0.011815852860487475
balance-scale,-0.002315035963121881,-0.0033879662800313515,-0.0028244737507993056,0.001409102313040811,-0.002309410356534758,-0.004167314795310184,-0.002019582996750202,-0.004972749433535095,0.01285594890634556,-0.007532767708794186,-0.00476071821918489,-6.099453954042655E-4,-0.011361411844677427,0.0050901967671677095,-5.144124524267824E-4,-0.0012118899888852175,0.008061848623680645,-0.0061594050721061055,-0.01313152509411597,-0.004623316353394413,0.008664787993823753,-0.0051372017226646305,-0.0011926336758530942,-0.005990048838798279,-0.003979128135286003,-0.0027051482194405674,-0.009973166630208419,0.003704455295371778,-0.007886442460355525,-0.004802589095605048
balloons,-0.4833333333333334,0.16666666666666663,-0.6333333333333334,-0.13333333333333341,0.5,0.55,0.4,-0.6,0.45000000000000007,0.15000000000000002,0.08333333333333326,0.23333333333333328,0.033333333333333326,0.0,0.23333333333333328,-0.1499999999999999,-0.03333333333333344,0.0,-0.7833333333333334,-0.30000000000000004,0.033333333333333215,0.5,-0.050000000000000044,0.45000000000000007,-0.09999999999999998,-0.4,-0.55,-0.33333333333333337,0.45000000000000007,-0.5499999999999999
bank,-0.012100493663428025,-0.0057070512820551755,-0.004770638078401168,-0.007386744768645537,0.0042802239905660455,5.0589448861160236E-5,-0.01031059534335832,0.016604627173587683,0.018980282935450954,0.0035385499557870626,-0.013824521072800411,-0.020938100501034507,-0.027439692012972028,0.008494444444440696,-0.007216968759213405,0.0016317270851710086,-0.020728094606546232,0.024306078691419097,-0.02763194076039266,-0.006499646330685227,0.002924454759795747,0.001410602711460096,-0.01832152225169703,-0.0023710875331596215,-0.012405717653997561,0.0042062923666327245,-0.019359733274392443,-0.006654700854704876,-0.014655002947248863,0.017200810492185803
