folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.012044877988464542,0.005983360109803604,-0.006367216178901791,-0.005390863494789233,0.00813608776728636,-0.027446988999798805,0.014196794967664017,-0.004569111798612191,-0.005576452438361579,4.159508902030762E-4,-0.0037809852192485227,-0.006674178124921215,-0.017136540514518406,-3.512785085131309E-4,-8.194083387360607E-4,0.0015451993745073667,-0.006127836317857627,0.007033881581619883,-0.009495717092612654,-0.011010316337489279,-0.011274697575301529,-0.003141649254530199,-0.005547635557697661,-2.3916311794902612E-4,0.0040169522317067274,-0.006767599888310882,-0.019611767572611627,-0.013735629138593941,5.732136118339337E-4,7.389863437756716E-4
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.003549933989419274,-0.0031021601108787156,6.871585959862259E-4,-0.00384763348968864,-0.0018025207905394414,-0.005241234499139713,0.0025365478232382,0.001891827700938431,-0.0027506193514752475,-0.0038611846547855766,-0.00754338269442778,-0.0017766822500586699,-0.0015419509512317742,0.005824663920477757,6.873806537345262E-4,0.002510456472075928,0.004061084745454524,0.0017777344206456602,6.224451518210827E-4,-8.699869485643275E-4,-0.0020283785384792585,-0.0032476471626241565,-0.005772328037469077,-0.00433735974845495,-0.005178893305554211,-0.006308313609755034,0.00154800330027971,-0.007387015572210998,0.005439916953972057,0.001173066568697978
annealing,-0.031523804756821816,-0.00993512217701542,-0.009873588074094108,0.017868849944732368,-0.07591187249331521,-0.015898128420603896,-0.06663291346127631,0.030814699904736398,-0.021903391328037092,-0.001601096868979246,-0.07533557944194069,-0.01230276100004768,0.009108611598036442,0.015541427317293133,-0.022292362026669954,-0.03610027821708339,-0.001691636004871544,0.009517572715985523,0.010344683041461411,-0.043484500598020226,0.0013410278075565163,-0.02602466879642973,-0.043675430294537576,-0.03172963480707203,0.007757172998700934,0.038624623036167205,-0.06053521162349651,-0.016241163500388955,-0.02543454700072978,8.194952853477488E-4
arrhythmia,0.023070906984372974,-0.02724561377343815,0.008964922752023985,-0.0077542983119440745,-0.08692369789511079,-0.022984111528474904,0.025693495644305453,0.01584055331679768,-0.05552105677075303,0.03398565938299292,-0.04025066555770873,-0.01463053720922558,-0.006687812377501601,-0.03440941263549202,-0.06561348625715657,-0.0540016341770827,-0.06338948770854191,-0.007776151611339266,0.00865754141752706,-0.0017620294253990476,-0.06730517134010738,-0.017402436361583007,-0.0206457469536393,-0.024012775285658927,-0.09586154072631137,-0.034092754952035675,-0.012044452743449452,-0.019872607350214233,-0.015619858210211168,-0.0015434847089449422
audiology-std,-0.11442630696024736,-0.07037085062270654,-0.06739983747116418,-0.062375066350390584,-0.04322945519810406,-0.11598771083443338,-0.07705754659539521,-0.08780791651088304,-0.09271097163530051,-0.04756086816823646,-0.07034532955041373,-0.07444587132937286,-0.09713094998038985,-0.07699513916390266,-0.08616029916376367,-0.05010049146271134,-0.09410426537436412,-0.02975130633699974,-0.037983445422005935,-0.08408265377722346,-0.06542327722238017,4.5555510401618093E-4,-0.043180140606673745,-0.07331851628166053,-0.043710154727621076,-0.1509357638433294,-0.13663710593405098,-0.08214982576101537,-0.04867118215749744,-0.063935302365135
balance-scale,-0.002496747978976366,-0.008292064402288024,-0.004942860028569029,-8.431962977767382E-4,-0.006449648159450927,8.245170802387847E-4,-0.0021760548014695402,-0.003032792330493028,0.01687814079045824,-0.006545418661033864,-0.0015791301964196425,-0.007144594602738863,-0.020101916564691957,0.0050991247509510895,-1.0373223136650456E-4,-0.0032709956264962425,0.02465836056130144,-0.002611472765956302,-0.013175693412315281,-0.007456665731311096,0.0059610713775589685,-0.010626221098120059,-0.0016748991351167586,-0.0031157147405762586,-0.0029447733505856277,-0.0020736619630311592,-0.012168876671250106,7.314304438905683E-4,-0.0037770610978480335,-0.001968173829733466
balloons,-0.65,0.16666666666666663,-0.26666666666666666,-0.06666666666666676,0.8,0.8,0.8,-0.33333333333333337,0.8,0.4666666666666667,0.3833333333333333,0.3833333333333333,0.0,0.55,0.3833333333333333,0.20000000000000007,0.0,0.3,-0.7000000000000001,0.08333333333333326,0.3833333333333333,0.8,0.19999999999999996,0.55,0.4166666666666667,-0.3166666666666668,-0.01666666666666672,-0.4833333333333335,1.0,-0.016666666666666607
bank,-0.012379450338935172,-0.009045439139408695,0.01769691276156371,-0.019102099911586068,0.00700411140583268,0.008034549071614161,0.003278698791625567,0.01691873710580083,0.006318818155021333,0.007908185971112647,-0.01676491305629657,-0.01386633510168378,7.872679045041187E-4,0.005662562628937606,-0.021977394636019,0.01781564249925882,-0.021066541408786166,0.012983834364864166,-0.03908177129384238,0.010119599174767346,0.01153274388446357,0.014917786619505491,-0.013455607132334513,-0.006494636015329069,0.0263695844385452,0.010184504862948529,-0.027061678455647886,-0.0035465148835883697,-0.011624543177134017,0.03268932360742194
