TRAINBALACC,CAWPE-S,PB-S
AvgTRAINBALACCOverDsets:,0.7344017776140794,0.6821646586653644
AvgTRAINBALACCRankOverDsets:,1.1859504132231404,1.8140495867768596
StddevOfTRAINBALACCOverDsets:,0.19373548368309265,0.19774212999497578
AvgOfStddevsOfTRAINBALACCOverDsetFolds:,0.03447926023317851,0.035666757046154976
StddevsOfTRAINBALACCRanksOverDsets:,0.3880089743644181,0.3880089743644181

flat,CAWPE-S,PB-S
CAWPE-S,0|121|0,98|1|22
PB-S,22|1|98,0|121|0



p=0.01,CAWPE-S,PB-S
CAWPE-S,0|121|0,66|52|3
PB-S,3|52|66,0|121|0



p=0.05,CAWPE-S,PB-S
CAWPE-S,0|121|0,72|44|5
PB-S,5|44|72,0|121|0



T TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.0
PB-S,0.0,0.0

SIGN TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.0
PB-S,0.0,0.0

SIGN RANK TEST,CAWPE-S,PB-S
CAWPE-S,0.0,0.0
PB-S,0.0,0.0

NOSIGDIFFERENCE,CAWPE-S,PB-S
CAWPE-S,true,false
PB-S,false,true



cliques = []

