TRAINTESTDIFFSBALACC:,CAWPE-S,PB-S
abalone,-0.0028873420066888645,-0.00536367563324089
acute-inflammation,0.0,0.0
acute-nephritis,0.0,-0.0020000000000000018
adult,0.004977341894413974,-0.0013680263401780893
annealing,-0.039948594642535376,-0.0238952433285914
arrhythmia,-0.00987238738904225,-0.036298862705146324
audiology-std,-0.24287388783161734,-0.19901980757657084
balance-scale,-0.004064814814814807,-0.03254629629629628
balloons,0.03388888888888886,0.0408333333333333
bank,0.0031072551331172,0.0025815969152176137
blood,0.0032649977002431256,0.005338064261778052
breast-cancer,0.017053918182515945,0.0187471409931691
breast-cancer-wisc,0.0028550741636291233,3.8624634595254187E-4
breast-cancer-wisc-diag,0.002221964296500341,1.2441626211148933E-4
breast-cancer-wisc-prog,-0.004098779557589623,0.00691545893719809
breast-tissue,-0.01779962321628991,-0.030696448613115254
car,-0.0011057914901497878,0.004360191993464084
cardiotocography-3clases,-2.2750274082761573E-4,-0.007538173479420122
cardiotocography-10clases,-0.01032051714291083,-0.006379827195491835
chess-krvk,-0.0165564745786319,3.409260653252061E-4
chess-krvkp,-5.000528859063398E-6,-0.003439885399896614
congressional-voting,-0.005613068741505519,0.003505342959388517
conn-bench-sonar-mines-rocks,0.012141568748711595,-0.003919552669552654
conn-bench-vowel-deterding,-0.0055218855218855094,-0.016161616161616186
connect-4,-0.0031274459781486428,2.0039276982871296E-6
contrac,-0.006429985042549587,-0.005798523217425977
credit-approval,-0.004618607087713178,0.0011050182176895128
cylinder-bands,-0.019418803418803417,-0.009807692307692302
dermatology,-0.002078895715992479,-0.006678956547236092
echocardiogram,0.02160894660894662,0.015764790764790777
ecoli,-0.014094890201333414,-0.0035159639678101168
energy-y1,0.0124484807342153,0.004726326923684124
energy-y2,-0.002082820201771914,-0.0016715559879792268
fertility,-0.0015151515151515082,0.021843434343434328
flags,-0.009794337606837615,-0.02756626475376474
glass,-0.0034201243850366845,-0.012637380488257686
haberman-survival,0.005953479438397418,0.007117508453845611
hayes-roth,-0.009191919191919199,-0.011969696969696972
heart-cleveland,-0.0013737762494338047,-0.01540973028777904
heart-hungarian,-0.020363307908470508,-0.03172420714572461
heart-switzerland,0.034722222222222224,0.007777777777777776
heart-va,0.005138705738705748,0.00642515262515262
hepatitis,0.015729662436100796,0.01977018332451961
hill-valley,4.950495049504844E-4,1.1001100110011319E-4
horse-colic,0.003735632183908037,0.0015212981744421982
ilpd-indian-liver,0.005730476852464805,0.0028494012680759556
image-segmentation,-0.001991341991341933,0.0031168831168831438
ionosphere,-0.008445416022849669,-0.0052245750807697255
iris,0.004888888888888895,-0.003555555555555556
led-display,0.006418950229995272,0.005452063436593195
lenses,-0.12744708994708992,-0.11402116402116397
letter,-0.0038208308598975246,-0.003020369083673572
libras,-0.012592592592592567,-0.008148148148148116
low-res-spect,-0.10528705554079092,-0.14060017676677608
lung-cancer,0.01341269841269842,-0.10134920634920631
lymphography,-0.1226587223533526,-0.2063326667540869
magic,0.0016922623472549211,-0.0017072888650576914
mammographic,-0.008822812801329875,-0.009914881509938352
miniboone,0.01621267803591645,-3.202847821385024E-4
molec-biol-promoter,0.014696106362773024,0.004653371320037987
molec-biol-splice,-6.381820559104523E-4,-0.0034536367732752333
monks-1,-0.043045563549160656,0.008752997601918455
monks-2,-0.008558280055495578,6.146884381076875E-4
