TRAINTESTDIFFSBALACCRANKS:,CAWPE-S,PB-S
abalone,1.0,2.0
acute-inflammation,1.5,1.5
acute-nephritis,1.0,2.0
adult,1.0,2.0
annealing,2.0,1.0
arrhythmia,1.0,2.0
audiology-std,2.0,1.0
balance-scale,1.0,2.0
balloons,2.0,1.0
bank,1.0,2.0
blood,2.0,1.0
breast-cancer,2.0,1.0
breast-cancer-wisc,1.0,2.0
breast-cancer-wisc-diag,1.0,2.0
breast-cancer-wisc-prog,2.0,1.0
breast-tissue,1.0,2.0
car,2.0,1.0
cardiotocography-3clases,1.0,2.0
cardiotocography-10clases,2.0,1.0
chess-krvk,2.0,1.0
chess-krvkp,1.0,2.0
congressional-voting,2.0,1.0
conn-bench-sonar-mines-rocks,1.0,2.0
conn-bench-vowel-deterding,1.0,2.0
connect-4,2.0,1.0
contrac,2.0,1.0
credit-approval,2.0,1.0
cylinder-bands,2.0,1.0
dermatology,1.0,2.0
echocardiogram,1.0,2.0
ecoli,2.0,1.0
energy-y1,1.0,2.0
energy-y2,2.0,1.0
fertility,2.0,1.0
flags,1.0,2.0
glass,1.0,2.0
haberman-survival,2.0,1.0
hayes-roth,1.0,2.0
heart-cleveland,1.0,2.0
heart-hungarian,1.0,2.0
heart-switzerland,1.0,2.0
heart-va,2.0,1.0
hepatitis,2.0,1.0
hill-valley,1.0,2.0
horse-colic,1.0,2.0
ilpd-indian-liver,1.0,2.0
image-segmentation,2.0,1.0
ionosphere,2.0,1.0
iris,1.0,2.0
led-display,1.0,2.0
lenses,2.0,1.0
letter,2.0,1.0
libras,2.0,1.0
low-res-spect,1.0,2.0
lung-cancer,1.0,2.0
lymphography,1.0,2.0
magic,1.0,2.0
mammographic,1.0,2.0
miniboone,1.0,2.0
molec-biol-promoter,1.0,2.0
molec-biol-splice,1.0,2.0
monks-1,2.0,1.0
monks-2,2.0,1.0
monks-3,2.0,1.0
mushroom,2.0,1.0
musk-1,1.0,2.0
musk-2,2.0,1.0
nursery,1.0,2.0
oocytes_merluccius_nucleus_4d,1.0,2.0
oocytes_merluccius_states_2f,2.0,1.0
oocytes_trisopterus_nucleus_2f,1.0,2.0
oocytes_trisopterus_states_5b,2.0,1.0
optical,2.0,1.0
ozone,1.0,2.0
page-blocks,2.0,1.0
parkinsons,2.0,1.0
pendigits,2.0,1.0
pima,2.0,1.0
pittsburg-bridges-MATERIAL,1.0,2.0
pittsburg-bridges-REL-L,1.0,2.0
pittsburg-bridges-SPAN,1.0,2.0
pittsburg-bridges-T-OR-D,1.0,2.0
pittsburg-bridges-TYPE,1.0,2.0
planning,1.0,2.0
plant-margin,2.0,1.0
plant-shape,2.0,1.0
plant-texture,1.0,2.0
post-operative,1.0,2.0
primary-tumor,1.0,2.0
ringnorm,1.0,2.0
seeds,1.0,2.0
semeion,1.0,2.0
soybean,1.0,2.0
spambase,2.0,1.0
spect,1.0,2.0
spectf,1.0,2.0
statlog-australian-credit,2.0,1.0
statlog-german-credit,2.0,1.0
statlog-heart,2.0,1.0
statlog-image,1.0,2.0
statlog-landsat,1.0,2.0
statlog-shuttle,2.0,1.0
statlog-vehicle,1.0,2.0
steel-plates,2.0,1.0
synthetic-control,2.0,1.0
teaching,1.0,2.0
thyroid,2.0,1.0
tic-tac-toe,2.0,1.0
titanic,2.0,1.0
trains,1.0,2.0
twonorm,1.0,2.0
vertebral-column-2clases,2.0,1.0
vertebral-column-3clases,1.0,2.0
wall-following,2.0,1.0
waveform,1.0,2.0
waveform-noise,1.0,2.0
wine,1.0,2.0
wine-quality-red,2.0,1.0
wine-quality-white,2.0,1.0
yeast,2.0,1.0
zoo,2.0,1.0
