folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6252994729276473,0.633445136559655,0.6363200766650695,0.6300910397700048,0.655965500718735,0.6185912793483469,0.6463823670340201,0.6415908001916627,0.6248203162434116,0.6363200766650695,0.6463823670340201,0.6339242932438908,0.6171538092956397,0.6348826066123623,0.6411116435074269,0.6214662194537613,0.6339242932438908,0.6468615237182559,0.6320076665069477,0.6209870627695256,0.6291327264015333,0.6344034499281265,0.6310493531384763,0.6492573071394346,0.6339242932438908,0.6233828461907044,0.6348826066123623,0.6171538092956397,0.6281744130330618,0.6267369429803545
acute-inflammation,1.0,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,1.0,0.9833333333333333,1.0,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,0.95,1.0,0.9833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,1.0,1.0
adult,0.8734643734643734,0.8725634725634726,0.8700655200655201,0.8686322686322686,0.8676494676494676,0.8688370188370188,0.8685503685503686,0.8733415233415234,0.8702702702702703,0.8683865683865684,0.8658476658476658,0.8698198198198198,0.868018018018018,0.8705159705159705,0.8684684684684685,0.8714168714168714,0.8706797706797706,0.8682227682227682,0.8713349713349713,0.8687141687141687,0.8696150696150696,0.8694103194103194,0.8696969696969697,0.8692465192465193,0.8692874692874692,0.8678542178542179,0.8697788697788698,0.868018018018018,0.8722768222768222,0.8715806715806715
annealing,0.9263392857142857,0.9375,0.9508928571428571,0.9397321428571429,0.9308035714285714,0.9464285714285714,0.9330357142857143,0.9375,0.9397321428571429,0.9464285714285714,0.9397321428571429,0.9441964285714286,0.9330357142857143,0.9553571428571429,0.9486607142857143,0.9330357142857143,0.9464285714285714,0.9508928571428571,0.953125,0.9464285714285714,0.9375,0.9486607142857143,0.9397321428571429,0.9486607142857143,0.9464285714285714,0.953125,0.9285714285714286,0.9263392857142857,0.9464285714285714,0.9397321428571429
arrhythmia,0.7657657657657657,0.7117117117117117,0.6936936936936937,0.6981981981981982,0.7297297297297297,0.7252252252252253,0.7387387387387387,0.7072072072072072,0.6711711711711712,0.7612612612612613,0.7162162162162162,0.6891891891891891,0.7477477477477478,0.6981981981981982,0.7162162162162162,0.7522522522522522,0.6981981981981982,0.7477477477477478,0.6891891891891891,0.7432432432432432,0.7432432432432432,0.7117117117117117,0.7297297297297297,0.7027027027027027,0.6441441441441441,0.6891891891891891,0.7162162162162162,0.7252252252252253,0.7207207207207207,0.7297297297297297
audiology-std,0.6458333333333334,0.6979166666666666,0.65625,0.6979166666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666,0.6458333333333334,0.6875,0.6979166666666666,0.6875,0.6770833333333334,0.6770833333333334,0.6770833333333334,0.6770833333333334,0.625,0.6666666666666666,0.6770833333333334,0.7291666666666666,0.6354166666666666,0.6458333333333334,0.71875,0.6979166666666666,0.65625,0.6770833333333334,0.6458333333333334,0.625,0.6666666666666666,0.6979166666666666,0.625
balance-scale,0.875,0.8814102564102564,0.8653846153846154,0.8846153846153846,0.8685897435897436,0.8461538461538461,0.8685897435897436,0.8685897435897436,0.8717948717948718,0.8846153846153846,0.8814102564102564,0.8685897435897436,0.8846153846153846,0.8846153846153846,0.8685897435897436,0.8942307692307693,0.8685897435897436,0.8557692307692307,0.8653846153846154,0.8782051282051282,0.8814102564102564,0.8685897435897436,0.8621794871794872,0.8942307692307693,0.8910256410256411,0.875,0.8557692307692307,0.8878205128205128,0.8653846153846154,0.8685897435897436
balloons,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.2857142857142857
bank,0.8889380530973451,0.8893805309734514,0.8986725663716815,0.8898230088495576,0.8920353982300885,0.8929203539823009,0.8960176991150443,0.893362831858407,0.9004424778761062,0.8991150442477877,0.8929203539823009,0.8880530973451327,0.8924778761061947,0.8995575221238938,0.8955752212389381,0.8946902654867257,0.8946902654867257,0.8924778761061947,0.8889380530973451,0.8938053097345132,0.8955752212389381,0.8964601769911504,0.9008849557522124,0.8889380530973451,0.8867256637168142,0.8991150442477877,0.8973451327433628,0.8924778761061947,0.8986725663716815,0.893362831858407
blood,0.7245989304812834,0.7433155080213903,0.732620320855615,0.7219251336898396,0.713903743315508,0.7219251336898396,0.7379679144385026,0.7299465240641712,0.7433155080213903,0.732620320855615,0.7165775401069518,0.7620320855614974,0.7165775401069518,0.7486631016042781,0.7486631016042781,0.7486631016042781,0.7406417112299465,0.7379679144385026,0.7245989304812834,0.7780748663101604,0.7540106951871658,0.7433155080213903,0.7058823529411765,0.7219251336898396,0.7165775401069518,0.7352941176470589,0.7245989304812834,0.7834224598930482,0.732620320855615,0.7245989304812834
breast-cancer,0.6901408450704225,0.5915492957746479,0.7394366197183099,0.6971830985915493,0.6830985915492958,0.6197183098591549,0.6267605633802817,0.6267605633802817,0.676056338028169,0.6549295774647887,0.6830985915492958,0.6619718309859155,0.7535211267605634,0.6901408450704225,0.7323943661971831,0.6056338028169014,0.676056338028169,0.6690140845070423,0.6197183098591549,0.7605633802816901,0.5915492957746479,0.7112676056338029,0.676056338028169,0.704225352112676,0.6197183098591549,0.6267605633802817,0.6971830985915493,0.647887323943662,0.6619718309859155,0.6901408450704225
breast-cancer-wisc,0.9656160458452722,0.9512893982808023,0.9598853868194842,0.9455587392550143,0.9684813753581661,0.9828080229226361,0.9770773638968482,0.9598853868194842,0.9684813753581661,0.9656160458452722,0.9369627507163324,0.9742120343839542,0.9656160458452722,0.9541547277936963,0.9799426934097422,0.9656160458452722,0.9627507163323782,0.9426934097421203,0.9570200573065902,0.9656160458452722,0.9570200573065902,0.9627507163323782,0.9570200573065902,0.9684813753581661,0.9713467048710601,0.9570200573065902,0.9656160458452722,0.9541547277936963,0.9512893982808023,0.9656160458452722
breast-cancer-wisc-diag,0.9612676056338029,0.954225352112676,0.9788732394366197,0.9612676056338029,0.9647887323943662,0.971830985915493,0.9683098591549296,0.9436619718309859,0.9577464788732394,0.971830985915493,0.9612676056338029,0.9647887323943662,0.9647887323943662,0.9683098591549296,0.971830985915493,0.9612676056338029,0.9647887323943662,0.954225352112676,0.9612676056338029,0.9683098591549296,0.9507042253521126,0.9788732394366197,0.971830985915493,0.9647887323943662,0.9612676056338029,0.9612676056338029,0.9471830985915493,0.971830985915493,0.9683098591549296,0.9683098591549296
breast-cancer-wisc-prog,0.826530612244898,0.7653061224489796,0.7755102040816326,0.8163265306122449,0.7857142857142857,0.7551020408163265,0.8061224489795918,0.7040816326530612,0.7857142857142857,0.7142857142857143,0.7244897959183674,0.8061224489795918,0.7653061224489796,0.6938775510204082,0.7346938775510204,0.7448979591836735,0.8163265306122449,0.7959183673469388,0.7551020408163265,0.7040816326530612,0.7959183673469388,0.7755102040816326,0.7346938775510204,0.7653061224489796,0.7653061224489796,0.7857142857142857,0.7551020408163265,0.7755102040816326,0.7244897959183674,0.7653061224489796
breast-tissue,0.5961538461538461,0.5961538461538461,0.6923076923076923,0.7115384615384616,0.6538461538461539,0.5576923076923077,0.6153846153846154,0.6346153846153846,0.6538461538461539,0.5961538461538461,0.6153846153846154,0.5961538461538461,0.6923076923076923,0.5769230769230769,0.7307692307692307,0.6730769230769231,0.6538461538461539,0.7884615384615384,0.6923076923076923,0.6538461538461539,0.7307692307692307,0.6538461538461539,0.5576923076923077,0.5961538461538461,0.6730769230769231,0.6346153846153846,0.6730769230769231,0.7307692307692307,0.6730769230769231,0.6730769230769231
car,0.9745075318655851,0.9733487833140209,0.9756662804171495,0.9733487833140209,0.9721900347624566,0.9698725376593279,0.9640787949015064,0.9791425260718424,0.9826187717265353,0.984936268829664,0.9791425260718424,0.9791425260718424,0.9779837775202781,0.9721900347624566,0.9791425260718424,0.9779837775202781,0.9756662804171495,0.9779837775202781,0.9756662804171495,0.9837775202780996,0.9860950173812283,0.9791425260718424,0.9837775202780996,0.9768250289687138,0.9745075318655851,0.9768250289687138,0.9745075318655851,0.9745075318655851,0.9803012746234068,0.9779837775202781
cardiotocography-3clases,0.9416195856873822,0.9425612052730696,0.9463276836158192,0.9416195856873822,0.9378531073446328,0.9444444444444444,0.9500941619585688,0.9246704331450094,0.9519774011299436,0.9472693032015066,0.9453860640301318,0.940677966101695,0.9331450094161958,0.9500941619585688,0.9425612052730696,0.9453860640301318,0.943502824858757,0.9369114877589454,0.9500941619585688,0.9538606403013182,0.940677966101695,0.9538606403013182,0.9425612052730696,0.9397363465160076,0.9491525423728814,0.9566854990583804,0.9444444444444444,0.9387947269303202,0.9500941619585688,0.9500941619585688
cardiotocography-10clases,0.8726415094339622,0.8679245283018868,0.8537735849056604,0.8622641509433963,0.8726415094339622,0.8764150943396226,0.8688679245283019,0.8471698113207548,0.85,0.839622641509434,0.8669811320754717,0.8575471698113207,0.8424528301886792,0.869811320754717,0.8716981132075472,0.8603773584905661,0.869811320754717,0.8641509433962264,0.8509433962264151,0.8830188679245283,0.869811320754717,0.8660377358490566,0.8669811320754717,0.8537735849056604,0.8528301886792453,0.8858490566037736,0.8650943396226415,0.8509433962264151,0.8603773584905661,0.870754716981132
