TRAINTESTDIFFSACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_pb,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,0.012963154871843711,0.013322546404076634,0.013510889979917041,0.013552347061735102,0.01341238922796317,0.013427368146636373,0.013376021701456391,0.013489885237482539,0.013407125694317065,0.013244488192030314,0.013149657225127214,0.013227821523819468,0.01320234681825711,0.01595437780911769,0.013149371009437753,0.01306135305550366,0.013160006049953496
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061335621976729,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.003042903097250934,0.003042903097250934,0.006085806194501847,0.006085806194501847,0.006085806194501847,0.006085806194501847,0.006085806194501847,0.006085806194501847,0.006085806194501847,0.024759378423606936,0.006085806194501847,0.006709631665607481,0.006709631665607481
adult,0.0029157284618282256,0.002933239433552823,0.0029509980571977724,0.0029530248160874488,0.002977064160128737,0.003001870712402204,0.0030226939717462645,0.003087835001123709,0.0031137942886545213,0.0031202273383612207,0.0031051782581369407,0.0031256840441935417,0.0031996068368575583,0.0028975190111139655,0.0031855202856101235,0.003208074556410728,0.003225538829577227
annealing,0.014632549878310787,0.014597810666002915,0.014338176115801307,0.01388708949250981,0.013808138648898655,0.014617284956333508,0.014671443039068009,0.015243006731738534,0.015354423056581874,0.015333593753395595,0.016028528389476993,0.01578881918157495,0.015236467977624929,0.013436127603411898,0.01459345875234344,0.015874582589648915,0.017778881253810934
arrhythmia,0.036816472539237165,0.03712191538901228,0.035580347186268804,0.034645184408696975,0.03309975775534638,0.03240427571616085,0.03313277913789871,0.03360144417656372,0.03325107364516049,0.03439193741194319,0.032572840774836465,0.0314538183428052,0.03206966698239206,0.037034859197953976,0.03227238449791117,0.03142519934248726,0.031321698078030515
audiology-std,0.05278665923960484,0.05179435926180566,0.05260200362572334,0.05121576084258189,0.051735285356880496,0.05203501781975206,0.053781982079726384,0.05323108913571759,0.05409018510045779,0.05394655580129724,0.055849744900293326,0.05602233977868484,0.05512584472264979,0.04736311736629986,0.05544141951433968,0.0560618856759455,0.055371728315229414
balance-scale,0.021915528519794454,0.021965893498273954,0.021602832046507033,0.021792404464359677,0.0212712125648628,0.021016814261682556,0.020905882026244656,0.021647786212751634,0.020492800486631303,0.020357723021334956,0.019885174255124944,0.019012284193772887,0.01831110918468851,0.022337460492643974,0.019895268372318142,0.0202379152504633,0.021275777622208475
balloons,0.25293989941135203,0.2521050060094371,0.26395261812210413,0.2721953190538235,0.271595124578749,0.2669598348517885,0.2898182820225928,0.2961468789466984,0.3001560059622218,0.29980121977820196,0.3088580923790454,0.31486073021710076,0.31567643295761744,0.23602211238477439,0.30120968494872985,0.31281448209199864,0.32382061362395076
bank,0.0064640018990928015,0.006450825228212222,0.0065070722387882245,0.006586855071829677,0.006612628568360129,0.006604374406072491,0.006635039413548979,0.0065768759049002045,0.006594225737413065,0.006586282496897378,0.006586505704890871,0.006608535675843155,0.006617974556301251,0.006968519851484452,0.0065645113602959115,0.006588905718124468,0.006560450849303763
blood,0.02460297224583805,0.024563361039555864,0.0247475048781392,0.024361303381572854,0.024089086343045553,0.024474882782900952,0.024430018945929867,0.024707626505732657,0.023642330149142837,0.024726909082705296,0.024055803381896782,0.023837555843054685,0.02410494357024229,0.026934095364459006,0.02451312847998283,0.025568499443823434,0.025703128784690627
breast-cancer,0.04166497617842975,0.04100455341123536,0.04206503594711963,0.042459998097383295,0.043062423203526184,0.04257309704533658,0.04355256879468162,0.04317471883050491,0.044633909977269855,0.0454043191244896,0.049398969330567775,0.04942507684506989,0.05124535673349,0.058470165727651395,0.050501696772558634,0.05418220835506533,0.052861242480652604
breast-cancer-wisc,0.014293454517021544,0.014293454517021544,0.014154007976872421,0.014133032325870563,0.014151401568199256,0.014072956515018836,0.01407386079839912,0.01407386079839912,0.01407386079839912,0.01407386079839912,0.014192975024026114,0.014270760361783473,0.014351438486948026,0.01567390593056491,0.014430042000421722,0.014430042000421722,0.01448683599390907
breast-cancer-wisc-diag,0.012603347341235215,0.012670879191926538,0.01238054920097987,0.012566977843692248,0.0126531445574933,0.012827993502371252,0.012867199968744084,0.012661287045517429,0.012661287045517429,0.012706229014964212,0.012628115078442498,0.012796037570328135,0.012796037570328135,0.018774440366624175,0.013011885031258273,0.013044700439670856,0.013013462445754806
breast-cancer-wisc-prog,0.048441281528334594,0.0483199699473024,0.04631321156762696,0.04623467514921328,0.04757887249998257,0.04769231102142538,0.04824584349996831,0.04738875987121502,0.048161617277990336,0.04764222401045714,0.045383469341515735,0.044327212736709934,0.04470971616223446,0.058583570533762445,0.046017965329136955,0.0463789623938839,0.048555834116966755
breast-tissue,0.08308949305961874,0.08274175317788741,0.0828611185527737,0.08228504080095593,0.08323778700287461,0.08575281595625298,0.08716620537540934,0.08676452090832679,0.08886495570657059,0.08845152588602491,0.08421844241270346,0.08548655638633465,0.08250356448435177,0.07438160535005824,0.08385528244047323,0.08215575061824298,0.08518402766381371
car,0.0075864984486324295,0.007339011341904673,0.007326891516320932,0.007221618766444331,0.007336678488647341,0.007463857495280703,0.007672758036609158,0.007923918013375357,0.007988049754234847,0.007800236983193438,0.007844835757407874,0.00791955895067908,0.007586383846931541,0.007845539664280473,0.007749803081225105,0.007839575782851724,0.008135804912155903
cardiotocography-3clases,0.01013555289879781,0.010216037139967653,0.010307233696935541,0.01032709538117828,0.010616383050103224,0.01073722110103726,0.01042285082797463,0.010242153661859769,0.010465486039629844,0.010519410791093727,0.010448212073481988,0.010381330372344642,0.01046065008768288,0.010579954292667074,0.010453068330562303,0.010381924712186744,0.010496625957929911
cardiotocography-10clases,0.015912421272010854,0.015588748700126994,0.015426116387419246,0.015634274417344392,0.015388714030306592,0.015710874159123093,0.015784029629537927,0.015350054875041529,0.015687025176533195,0.015721088707543275,0.01669850191921034,0.01702807889435897,0.01735861844330081,0.01710094939574298,0.017646302882572934,0.01701458370710674,0.017079256835626905
chess-krvk,0.005422124349423568,0.005494811183770314,0.005748718326477634,0.00583817111361053,0.005979429726753805,0.006051345907416618,0.006138778164140914,0.006011472983553304,0.0061076640523212,0.0061996409616585525,0.006078138900301021,0.00596157294682686,0.005938033301134182,0.005274387860885565,0.005966301388888518,0.00572880456384271,0.005973039413753418
