folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.00717542866182308,-0.0033728962385054517,-0.00957786066857269,-0.0033680817455058465,0.004317683174263953,-0.014376993142786398,0.01434627209221817,0.0018985150728020317,-0.004317453912692559,-0.007193769587535481,0.004776206317073317,-0.004797986166356738,-0.033534319310931426,0.0033304828477955795,0.0019026417810873442,-4.876393623777231E-4,4.7136179080797813E-4,0.022009340116419085,-0.002404266099320651,-0.015812399841350966,-0.02826222021490976,-0.008150019601864456,0.004781708594786993,0.003329107278367105,0.014828179915310824,-0.027781687961245582,-0.015821341042635773,-0.0201220588606158,0.00525467521659484,0.007649083068345219
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.0037563069132965365,-0.0019355442129989076,1.118974708361753E-4,-0.00394200232051356,-0.0011985105466393309,-0.003573421770129648,-1.3388325975338677E-4,0.004616194056043299,-0.0020583876287749714,-0.004064882625196997,-0.007299784951082966,-5.433300126609364E-4,-0.0022632015507292325,0.0020364253146171185,4.8031034436735176E-4,0.0010537685339093716,0.0013811877705088849,-0.002467904805960597,0.0038790698441832916,-0.0015669904909115795,-0.0021811505596617264,-0.001403254044315294,-5.024000929332306E-4,-0.0050066564356957555,-0.001812717564908306,-0.004679183542503518,-8.299668851630138E-4,-0.003778252459769149,0.0032649600784888655,0.0031011029045587835
annealing,-0.015833333333333366,0.001984126984126977,0.008660714285714355,-0.00469246031746029,-0.033660714285714266,0.008690476190476248,-0.035873015873015834,-0.01361111111111113,-2.777777777778212E-4,0.004265873015873001,-0.006924603174603194,-0.004712301587301515,-0.015843253968254034,0.015357142857142958,-2.480158730158166E-4,-0.013621031746031798,0.017559523809523747,-0.01580357142857136,0.00197420634920642,-0.0024305555555556024,-2.67857142857042E-4,0.006458333333333344,-0.013591269841269904,0.015347222222222179,0.004226190476190439,0.019811507936507877,-0.020277777777777728,-0.026984126984127,0.004246031746031775,0.013105158730158717
arrhythmia,0.08766157461809643,0.03454759106933014,-0.03580101840971406,-0.048687818253035586,-7.833920877398093E-5,-0.027105366235801065,0.01684292988640823,0.04277320799059925,-0.05895025460242842,0.08781825303564428,-0.05366235801018415,0.06094790442616527,0.012651782216999585,-0.028515471993732833,-0.027105366235801065,0.03920877399138267,0.016999608303956082,0.039522130826478596,0.007833920877399203,-0.005209557383470398,0.026165295730513072,0.012025068546807627,0.017156286721504044,-0.0016451233842538215,-0.0018018018018017834,-0.02820211515863691,0.003956130043086592,0.02134743439091269,0.017156286721504044,-2.350176263220538E-4
audiology-std,-0.16249999999999998,-0.09958333333333336,-0.1004166666666666,-0.028750000000000053,-0.07125000000000004,-0.08125000000000004,-0.10291666666666666,-0.10124999999999995,-0.060833333333333406,-0.07083333333333341,-0.050416666666666665,-0.030416666666666647,-0.12166666666666659,-0.06999999999999995,-0.019583333333333397,-0.05166666666666664,-0.1004166666666666,-0.040000000000000036,0.0920833333333334,-0.029166666666666674,0.03166666666666662,8.333333333333526E-4,-0.049583333333333424,-0.12208333333333332,-0.07041666666666668,-0.11083333333333334,-0.12124999999999997,0.0016666666666665941,-0.010000000000000009,-0.08041666666666658
balance-scale,-0.02252805767182764,-0.05779470795445241,-0.029040714344228724,-0.028938314082084027,-0.028948554108298552,-0.04495371508151058,-0.04174858687638239,-0.06097935610715166,0.028497992954861884,-0.03851273859261084,-0.028979274186941906,-1.4336036700246524E-4,-0.029020234291799785,-0.012974113213729876,-0.06416400425985092,-0.028948554108298552,0.022149176701892426,-0.04176906692881133,-0.0033280085197017195,-0.032194642418284514,-0.025733185876955833,-0.04174858687638239,-0.009820185139673865,-0.009738264929958218,-0.0034099287294174774,-0.019466289833702022,-0.05132301138690909,-0.009758744982387157,-0.01298435323994429,-0.035369050544769354
balloons,0.015873015873015817,0.015873015873015817,-0.2063492063492064,0.4444444444444444,0.33333333333333337,0.5555555555555556,0.5555555555555556,-0.31746031746031744,0.5555555555555556,0.19047619047619047,0.19047619047619047,0.15873015873015872,0.3015873015873015,0.04761904761904767,0.33333333333333337,0.3015873015873015,0.15873015873015872,-0.09523809523809523,0.015873015873015817,0.19047619047619047,0.33333333333333337,0.5555555555555556,0.19047619047619047,0.4444444444444444,0.380952380952381,-0.34920634920634924,0.04761904761904767,0.04761904761904767,0.5555555555555556,0.23809523809523808
bank,-0.003140790550034578,-0.007565569311096532,0.0017233348858872732,-0.005353962730877182,-0.008450525063309011,-0.008452090663932044,-0.004024572101779644,0.005264723495360002,0.0034926592900783593,0.006590982923211142,3.9785825834759425E-4,-0.005795462106593874,-0.004027116202792169,0.0034944205907794235,0.00836109012771391,0.00570446157037563,-0.0022562261979779397,0.002167378362616601,-0.0031429432508914834,0.00526413639512624,-0.0018147268222612478,-0.008007655787046986,0.01189836903555086,-0.0018157053226506292,-0.015087106104668235,0.008802198103274872,0.004821658519020056,-0.002257791798601083,0.00526413639512624,-0.009777762991549643
blood,0.0,0.013368983957219305,-0.03208556149732611,-0.013368983957219305,-0.010695187165775444,0.002673796791443861,0.018716577540106916,-0.005347593582887722,0.021390374331550777,0.02406417112299475,-0.045454545454545414,0.013368983957219305,-0.024064171122994638,0.018716577540106916,0.018716577540106916,0.013368983957219305,0.0267379679144385,0.016042780748663055,-0.010695187165775444,0.053475935828877,0.021390374331550777,-0.013368983957219305,-0.013368983957219305,-0.0267379679144385,0.002673796791443861,-0.010695187165775333,-0.005347593582887611,0.07219251336898391,-0.008021390374331583,-0.018716577540106916
breast-cancer,0.038243348982785585,0.009780907668231587,0.07325899843505479,0.08724569640062596,0.03785211267605637,0.044503129890453796,-0.03159233176838805,0.06572769953051649,0.0032276995305164924,0.08714788732394363,0.031005477308294283,0.02396322378716753,0.05888106416275429,0.06631455399061026,0.03843896713615025,0.010269953051643244,-0.059761345852895165,0.038047730829421034,0.0032276995305164924,0.108274647887324,-0.003814553990610259,0.15003912363067295,0.010172143974960912,0.04499217527386545,0.01682316118935845,0.03090766823161195,0.06611893583724571,0.04479655712050079,0.05888106416275429,-0.003814553990610259
breast-cancer-wisc,0.005632419156774371,-0.008686041751944318,0.0027507163323782224,-0.011551371264838295,0.011371264838313633,0.03711011051985269,0.008497748669668459,-0.005820712239050341,-0.002947196070405278,0.014212034383954242,0.0027507163323782224,0.014212034383954242,0.002758902988129308,0.0027507163323782224,0.025656979124027868,0.025656979124027868,0.005632419156774371,-0.03729840360212855,-9.823986901358328E-5,0.008489562013917262,-0.011518624641833841,-0.002947196070405278,0.025656979124027868,0.011363078182562436,0.002783462955382787,-1.1461318051575464E-4,0.008489562013917262,-0.011534997953336124,-0.008677855096193232,0.011346704871060154
breast-cancer-wisc-diag,-7.41289844329307E-5,0.003446997776130445,0.024524339016555485,0.01746973066468993,0.006931060044477411,-8.648381517173398E-5,-8.648381517173398E-5,-0.01765505312577209,0.01042747714356318,0.024511984185816682,-8.648381517173398E-5,0.010452186805040786,-7.41289844329307E-5,-0.003582900914257392,0.020978502594514503,0.017482085495428734,0.0034222881146528383,-0.007116382505559682,0.013973313565604162,0.0034346429453916416,-0.014158636026686433,0.010476896466518393,-0.007104027674820768,-8.648381517173398E-5,-0.014158636026686433,-0.028206078576723415,0.006943414875216214,0.0034346429453916416,0.021015567086730913,-9.883864591053726E-5
breast-cancer-wisc-prog,0.08714285714285708,0.006326530612244863,-0.03428571428571425,0.005510204081632608,-0.024285714285714355,-0.0038775510204082098,0.006122448979591799,-0.05530612244897959,-0.03408163265306119,-0.0038775510204082098,-0.044489795918367325,0.056734693877551035,0.06653061224489798,0.056122448979591844,0.05653061224489797,0.016122448979591808,0.06653061224489798,0.05591836734693878,-0.004081632653061273,-0.024285714285714355,0.036122448979591826,0.14673469387755111,-0.004081632653061273,-0.024897959183673546,-0.01510204081632649,0.03632653061224489,0.11734693877551017,0.03653061224489795,0.05551020408163265,-0.004285714285714337
