folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8450151694445731,0.8376770069366692,0.8352371868105204,0.8375192215967532,0.8483365130305269,0.829489546402107,0.8443712536185868,0.8381356683693768,0.8403257643870075,0.8396138794745411,0.8421125500780886,0.838426253245452,0.8288333848514917,0.8435741291273924,0.8445382710585589,0.8380529361421858,0.8363592876508419,0.8479284916146412,0.8364657963915426,0.8336615107517993,0.8346559375131601,0.8367835534169381,0.8385474722880093,0.8416317449275261,0.8395697781004627,0.8343253571995793,0.8323287408677644,0.8349025032530741,0.8364418581831912,0.8376229734470317
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.9210337874165121,0.9168502204115527,0.9179509762970374,0.9157702853049493,0.9157502383957199,0.9179240290500451,0.9191782598714545,0.9205397177040794,0.9167974682965889,0.9173126812335972,0.9153442976968618,0.916852588084195,0.9168431818827504,0.9215536804223932,0.9191382305421565,0.9193659969651936,0.9180637217358907,0.9175248781361406,0.9192807607501108,0.9187904037694735,0.917723642872496,0.9169738000256248,0.9168921936277251,0.9157577375612143,0.9163061163406793,0.9167348032798304,0.9177157107085201,0.9159187300881158,0.9223870274903865,0.9201358775085519
annealing,0.9758466977382348,0.9806015907957275,0.973211099732829,0.9834611136123034,0.974583730420851,0.9772024332138646,0.9745327654887382,0.9708001591608852,0.9771936110748656,0.9916133391139836,0.9823581300954157,0.9884182758901303,0.9855627739186025,0.9811242519179033,0.9754915571790149,0.9755013224296519,0.9864845950593445,0.9811057883424218,0.9885371327098412,0.9812022952783362,0.9788588329420028,0.9798165055877136,0.9734574450910921,0.9836080082613463,0.9885180866363623,0.9815982284607204,0.970750228549147,0.9750364527954564,0.987021155500002,0.976808317600894
arrhythmia,0.9096203195305832,0.8780545925154415,0.8850357962270521,0.8890601922637923,0.8695718693954766,0.8754815950865452,0.9173304403374906,0.8733111644173916,0.8528679284682869,0.8870455101132175,0.8496691910246962,0.894105080987962,0.8914616405664627,0.8686881917560434,0.8937901599891485,0.8899849917954139,0.8811946597004837,0.8985040985759356,0.8812380014116785,0.8856680275705708,0.8666862346842514,0.8916651697979459,0.9007523542811336,0.8703871326510557,0.8537764866227732,0.874086367561185,0.8948996597048051,0.9084531261980904,0.853751998998501,0.9093215702499392
audiology-std,0.9154238711670593,0.9402588943768563,0.9330245251289252,0.9337464192605476,0.9333430952138871,0.9356807014080449,0.9224568556525073,0.9261083517670953,0.9388863413270698,0.9385087092976803,0.9406983189611827,0.9381802951117938,0.9405169769494368,0.928555874419742,0.9427208988800782,0.9355562589341851,0.9274400550476173,0.9376010081138038,0.943952307605406,0.9360833072057347,0.9327840763136187,0.9440239213268706,0.937342853072224,0.9164777255836022,0.9234176231927829,0.9384086280722419,0.940490205371722,0.9329482071604961,0.9302272250014929,0.938520621520959
balance-scale,0.9911175340862837,0.9902828652828648,0.9903289707977204,0.9936867241554738,0.9948489010989009,0.9878758394383389,0.9906914555352052,0.9892351572039069,0.9920587225274722,0.9952622608872603,0.9884434142246639,0.9936803647741143,0.9933178800366298,0.9921223163410662,0.9883066875254372,0.9918234254171752,0.9900555173992673,0.9900189509564505,0.9968998015873014,0.9913639601139599,0.9942765567765565,0.9935976928164425,0.9927439458689457,0.9961462148962148,0.9920332850020348,0.9863607168294665,0.9913099053724046,0.9945563695563694,0.9922495039682537,0.9923369454619451
balloons,0.41666666666666663,0.8333333333333334,0.16666666666666666,0.9166666666666666,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.8333333333333333,0.8333333333333333,0.8333333333333334,1.0,0.6666666666666666,0.41666666666666663,0.6666666666666666,0.41666666666666663,1.0,1.0,1.0,0.6666666666666666,1.0,0.75,0.41666666666666663,0.6666666666666666,0.8333333333333333,1.0,0.5
bank,0.8850692307692293,0.8713538461538445,0.8997673076923058,0.8763923076923065,0.8937769230769215,0.8973115384615363,0.8933519230769208,0.9041923076923059,0.8996576923076904,0.9015999999999981,0.9031480769230747,0.8795269230769216,0.8923384615384595,0.9056076923076903,0.8922365384615364,0.8994461538461517,0.88521346153846,0.8903499999999981,0.8781307692307677,0.8862538461538443,0.8947480769230749,0.901621153846152,0.8942903846153828,0.8942903846153829,0.8853192307692289,0.9033211538461517,0.9013711538461517,0.8887903846153826,0.8859538461538441,0.8986153846153825
blood,0.745909718115514,0.7492213680268092,0.7032919377094426,0.7316775083776864,0.7364084368223937,0.6715552927261977,0.7410210920559833,0.7442933175635724,0.7156712004730934,0.7319140547999218,0.7118076089099157,0.7743741375911698,0.6779026217228469,0.7334121821407455,0.7273408239700381,0.695683027794205,0.7011630199093246,0.73999605755963,0.7009264734870891,0.8039030159668842,0.7377882909521,0.7095998423023856,0.6529863985807216,0.7178001182732113,0.6593731519810766,0.7627439384979308,0.656179775280899,0.7558840922531055,0.7384585058151002,0.7110979696432095
breast-cancer,0.7100000000000004,0.6226190476190478,0.7645238095238098,0.6911904761904765,0.6650000000000001,0.6100000000000002,0.6302380952380954,0.742619047619048,0.6545238095238098,0.6842857142857146,0.757857142857143,0.677857142857143,0.7800000000000005,0.7211904761904766,0.740714285714286,0.7188095238095242,0.644761904761905,0.6771428571428574,0.6114285714285717,0.7597619047619053,0.6730952380952384,0.7526190476190481,0.7447619047619051,0.743571428571429,0.6659523809523812,0.7130952380952383,0.6466666666666667,0.7028571428571432,0.6461904761904763,0.731666666666667
breast-cancer-wisc,0.9947962154294032,0.9928311499272198,0.9944687045123726,0.9852983988355163,0.9926491994177583,0.9979257641921397,0.9952328966521107,0.99363173216885,0.9933770014556039,0.9885371179039302,0.9910116448326054,0.995414847161572,0.9894468704512371,0.9892649199417753,0.9969796215429403,0.993377001455604,0.9922852983988353,0.9889737991266375,0.9880640465793304,0.9915938864628817,0.9882823871906841,0.9909388646288209,0.9953784570596798,0.9889010189228529,0.9933406113537115,0.9891921397379904,0.9898471615720517,0.9895196506550216,0.9916666666666665,0.9962882096069869
breast-cancer-wisc-diag,0.9894530421878311,0.9903010387958447,0.9994700021199915,0.9981980072079711,0.9937990248039008,0.9904600381598473,0.9937460250158999,0.986697053211787,0.9935340258638965,0.9973500105999575,0.9903540385838455,0.9960250158999364,0.99125503497986,0.9953360186559254,0.998622005511978,0.9963960144159423,0.9932160271358914,0.9906190375238498,0.9974560101759593,0.9963960144159423,0.9923150307398769,0.9960250158999364,0.9973500105999575,0.9945410218359126,0.9923150307398769,0.9850540597837607,0.9966610133559465,0.9952830188679245,0.995442018231927,0.9967670129319482
breast-cancer-wisc-prog,0.8440579710144926,0.7142028985507247,0.7304347826086957,0.8005797101449275,0.6898550724637682,0.6898550724637682,0.6857971014492754,0.6110144927536234,0.72,0.6324637681159423,0.7281159420289854,0.7356521739130435,0.8342028985507245,0.7078260869565217,0.7385507246376811,0.7298550724637681,0.7513043478260869,0.7640579710144927,0.5976811594202901,0.6915942028985508,0.7744927536231883,0.7901449275362316,0.6747826086956522,0.6892753623188406,0.7223188405797101,0.7588405797101447,0.7907246376811594,0.7310144927536231,0.7066666666666667,0.7808695652173911
breast-tissue,0.8825757481316188,0.9052974488170178,0.9178272309086263,0.9457161024517802,0.901429336561214,0.9046838143264688,0.8984828809559383,0.9160996279827818,0.9263996921966293,0.8928729798908472,0.8751152885370128,0.8996181923578408,0.9280173189135186,0.8746602919674389,0.9304329391538694,0.9403458267326674,0.9112646334569192,0.9461562016794575,0.9243898157681482,0.9194056109328372,0.9260614385614386,0.898906164894537,0.8779993073668627,0.895714201818853,0.8985056287381868,0.9154429549778388,0.9027339491037731,0.9326210611094331,0.9106962481962483,0.9245898615155563
car,0.9989068692940094,0.9982736472094546,0.9985284761744133,0.9987890653209518,0.9985853322556613,0.9988145872071087,0.9973359355382589,0.9987713093693555,0.9990041740209599,0.9990648411301458,0.9989162560045823,0.9987169903631741,0.9990703666417435,0.9983087566615615,0.9990086492290011,0.9986305406783863,0.9988453159528449,0.9990579050572721,0.9992994355080853,0.9981651851314601,0.9989242748641575,0.998976089651867,0.9988437737729638,0.9989393340864718,0.9984567232924355,0.9988950286942737,0.9994398457810515,0.9987994465158078,0.998946396254441,0.9983590282980783
