folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.007510053731173416,-0.0017463839148077476,-0.00927247739865944,-0.0035443536033124,0.0094778109853223,-0.02028494914063994,0.011535482075230918,-0.0037598022843173817,-0.0022855789722926456,-0.001640396415762635,0.0021628083246534313,-0.004252975693762595,-0.022359799668854263,0.005324412418858726,0.005283108148803173,-0.006477780898893837,-0.009958617380321555,0.01223457626229929,-0.0075118336240265204,-0.012185654974462334,-0.013869382858494594,-0.008253137601114902,-0.004053998504349843,0.004350114750351297,-0.0014978908116126677,-0.011015228432088797,-0.013060727344041623,-0.011956444652015175,-0.005770910563977383,-0.005913817869299454
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.0046372561894186815,-0.003790549710965374,-0.0019051774000583555,-0.00508119135437024,-0.005041073767174886,-0.0023409130144200763,7.300288855721648E-4,0.0035101862362375558,-0.003146076627610128,-0.002766338338975105,-0.007808918148133115,-0.0028833515494138817,-0.0027872744739805277,0.0055375763373981535,5.562459298307232E-4,0.001024113215092548,1.3001147842284233E-4,-0.0017535859325974457,0.001531377049213578,-3.249221522956258E-4,-0.002538862989796997,-0.002765939199459888,-0.0031685343813347977,-0.006218128980998272,-0.004243153590895221,-0.0038462644946244406,-0.00169390418233073,-0.006015684528543064,0.00622262540423224,0.0029472724081918145
annealing,-0.015003768293527786,-0.007141977146554845,-0.005358570671909368,-0.004402230113711769,-0.016458879009355942,-0.006691847877029922,-0.020324660438966302,-0.02055094678250191,-0.0053707821545160295,0.01219738603483167,-0.004147359361654668,0.006249450168443915,0.003667424871783509,-0.008353859816914166,-0.011045964752163018,-0.012727925018706565,0.010134257172628836,-0.009130882504123639,0.017327627438886606,-0.003242096688085616,-0.006164089127777217,0.0026761458529303006,-0.019154211657490094,0.0010589744624659447,0.009930148597005473,-0.005226506273312115,-0.011199759243904595,-0.015064480104641342,0.012299746333917727,-0.010148993816113006
arrhythmia,0.041371769735924935,0.007480225858603307,-0.024201621304610677,-0.0346244049817922,-0.03600536114487274,-0.021909164929578284,0.05005968354124479,-0.02247911871840469,-0.048983167429230035,0.005347899619577046,-0.058134799237174684,0.03113871755075681,-0.00721608919775818,-0.01799244205525874,-0.008840690565820153,-0.00804317302279467,-0.022430681331719327,1.403057318437595E-4,-0.02041965607021945,-0.011419229431160027,-0.030156327323430987,-0.004361968146060935,0.006872468509747542,-0.022886282397823976,-0.05485731465822308,-0.028802927254982236,0.017957023742875444,0.03379730793954239,-0.057948130643204365,0.022293450552127725
audiology-std,-0.07283231056473372,-0.0400975427002811,-0.054189903606853385,-0.049965384432259285,-0.05250993701368112,-0.050189836472939287,-0.06261506380315429,-0.06671207990049821,-0.04121412608806663,-0.04970484154133625,-0.04207577907699267,-0.042579913449558804,-0.044974330597821854,-0.056572634947303024,-0.03485172498049227,-0.03794224468380847,-0.06399848146247433,-0.04686887666980699,-0.026677372399666388,-0.04629255327326276,-0.047835263135962536,-0.03675478034916135,-0.031589199325486206,-0.06930113614035671,-0.0622131946674469,-0.05141661445164736,-0.04675694952662479,-0.05046751473886801,-0.054046041836782854,-0.04629126358234037
balance-scale,-0.005105666989921431,-0.006500379815575608,-2.4548790561629286E-4,-0.0026451818632405866,-0.0015018701207335505,-0.009801460207733426,-0.006528400790850042,-0.008567869943515438,0.007033403890740031,-0.0032454557320541477,-0.007931670024244997,3.316267341902934E-4,-4.471532814646073E-4,-0.0023055582343411984,-0.008854546135281582,-0.0036484754695232935,0.0014559908335640692,-0.007428223558376912,6.793347793899729E-4,-0.0037466289808696374,-8.021967300579913E-4,-0.0032209492956911667,0.0018289840228584708,1.0660794080430414E-4,0.0019673298715295884,-0.0019460711113680196,-0.007627999796300466,7.798994324403896E-4,-0.004084660810822038,-0.0019345217777727575
balloons,-0.43333333333333335,0.033333333333333326,-0.7333333333333334,0.19999999999999996,0.4,0.45000000000000007,0.4,-0.35,0.3500000000000001,0.2666666666666667,0.25,0.2833333333333332,0.18333333333333335,-0.06666666666666665,0.3500000000000001,0.06666666666666665,-0.3833333333333334,-0.13333333333333341,-0.45000000000000007,0.20000000000000007,0.25,0.5,0.0,0.45000000000000007,0.25,-0.43333333333333335,-0.13333333333333341,0.033333333333333215,0.5,-0.050000000000000044
bank,-0.012408090185679566,-0.02922084438550354,0.006466725611548818,-0.026648349543180738,-0.007083340701447782,0.0037080754494500656,-0.007052180960806398,0.009993096080160968,0.007228868258175147,-0.002330946065432382,0.006804966106685462,-0.020494149720015176,-0.01195825965222952,0.009229273504269608,-0.008098526377841142,0.009275766283520337,-0.020821065428827445,-0.0029630120837059737,-0.03680550397878335,-0.0077283377542032294,-0.007602681992341043,0.012797730621863845,-0.012399137931037418,-0.0012581196581236131,-0.019514463601536303,0.009941976127316177,-0.002546529619810056,-0.017454590333042308,-0.019702571470678998,0.00591436781608734
