folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.005813946330937458,-0.0015583011126201196,-0.00859013063275671,-0.003051075608578646,0.009355332686192486,-0.019898760980439523,0.011755774121559481,-0.0040051049082561185,-0.002083585877623584,-0.0014176530585912062,0.003026256451157505,-0.005280010094896981,-0.023301384865124897,0.005221632219511996,0.005297168811332464,-0.0064757013295186905,-0.010158811646635124,0.012300106160668789,-0.007200492795265578,-0.012706590621798242,-0.01394161390855142,-0.008081129206081838,-0.004169476554637619,0.004281414309348808,-0.0019424713762072887,-0.010835602031283531,-0.013553791276953664,-0.012826423278034182,-0.005615883480641792,-0.00635300032583308
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.004594557824800005,-0.004109858033280123,-0.0020563072650741088,-0.005120798201444954,-0.005168950817947993,-0.0025464384144678887,7.819040541028333E-4,0.0034444958809195514,-0.0032311928861121775,-0.003076081456206081,-0.007969911990563072,-0.0030036760554718045,-0.0027761402092730814,0.005437516449753099,4.5453940491579914E-4,0.0010185547839841602,2.014846795634906E-4,-0.0018117955012986187,0.001526819079637698,-4.3468732756213324E-4,-0.0026558936282125023,-0.0028812993053961566,-0.0032082792018899298,-0.006322240295188131,-0.00444142627058286,-0.003904131825544388,-0.0017736323410356691,-0.006248136729104736,0.00605741317717734,0.0030481741150504282
annealing,-0.017418286092434232,-0.008893544112444918,-0.00697288504176008,-0.003744094565909295,-0.018031903129471005,-0.009869752258722775,-0.021054181560896112,-0.023939240360605907,-0.008847171182418734,0.013332207203380575,-0.004204763305760251,0.006957635043093213,0.0027189255876802765,-0.007366385318830271,-0.015018033744575221,-0.013215356450708593,0.01028506630914583,-0.01012932543275935,0.027940680828374642,-0.00411629932972124,-0.0036926377545245526,0.006972472740973901,-0.01931697053482928,0.0026546663815675275,0.009662380029545226,-0.002948857878249278,-0.011698678611010926,-0.01920104036016479,0.011882920754184623,-0.009362861248156662
arrhythmia,0.035556448255348205,-0.014805399385648177,-0.0149810871777315,-0.023867296719354614,-0.03913010267881056,-0.01340947807069015,0.055234165589656326,-0.016350083720047093,-0.03976014388957272,0.0018168931565005764,-0.05345905622023894,0.02040961349189918,-0.016293843826684085,-0.022338185702932556,-0.013699523976741346,-0.013820699287521165,-0.03846313663563705,-0.003580450629296905,-0.008871733949730287,-0.0014800392681048047,-0.0523659076688876,-0.00327133535134716,0.014772581666773865,-0.018467642582595367,-0.07200824343833878,-0.028204566676562015,0.01565444183986775,0.02669968076676732,-0.04824008202566954,0.026437043108798686
audiology-std,-0.06643273092182678,-0.03663632503071601,-0.049386912977758324,-0.045211760264559975,-0.05058581249846905,-0.04637304815127741,-0.06184754422090455,-0.06325868257235956,-0.041329089812640496,-0.05314026031505592,-0.03980707244931092,-0.048719123396219866,-0.050158846928592404,-0.05710443421598954,-0.0347218475325024,-0.03707875176984643,-0.061077138507645845,-0.04497288865029769,-0.030383725940066886,-0.046587349434836445,-0.046294487948930096,-0.02981842237513488,-0.03278694279541372,-0.06766039805270152,-0.05905529302920165,-0.05139800422124907,-0.04516683938600641,-0.04426228453014902,-0.055053328694740666,-0.04603538166088761
balance-scale,-0.0094195534913466,-0.007313301457094523,-8.476766999669927E-4,-0.005550874869580391,-1.576654585684345E-4,-0.012985053412676972,-0.009076053124805972,-0.010738363216705737,0.0057916045700976415,-0.004589306400639259,-0.009674149503307583,0.0012904351472258213,-4.8492900698593466E-4,-3.686065602337418E-5,-0.011706987723246298,-0.0051698226608752895,-7.331886901494888E-4,-0.010150265398598868,-0.0010650135200854782,-0.004145084701770996,-0.0013838007586467471,-0.008470260707066246,9.477295079947101E-4,-0.0029723215529769975,0.0026798986309923833,-0.0015645496462726172,-0.013300070189816382,-7.508160857031543E-4,-0.0060305478924150835,-0.0035294418070438427
balloons,-0.75,-0.5,-0.6833333333333335,-0.19999999999999996,0.5,0.5,0.4,-0.5666666666666667,0.4,-0.01666666666666672,-0.10000000000000009,0.15000000000000002,0.15000000000000002,-0.2666666666666666,0.2833333333333333,-0.25,-0.25,-0.3833333333333334,-0.6166666666666667,-0.3833333333333333,-0.04999999999999993,0.5,-0.3666666666666667,0.4,0.0,-0.7333333333333334,-0.21666666666666667,-0.25,0.5,-0.6
bank,-0.012640185676395799,-0.02973692897141611,0.006372030651336624,-0.025725839964636843,-0.0070638078396736415,0.003720984379600556,-0.007089389920428846,0.009753381962860685,0.007050419982313261,-0.0023641320365493934,0.007014500442081628,-0.020363535219573015,-0.012099742116126189,0.008677365163568096,-0.00843719422340572,0.008962827880926838,-0.0207863542587714,-0.002055467138229794,-0.03703081343943804,-0.00816694665488138,-0.007620991747719907,0.0127365089890904,-0.012491902446215786,-7.738211022730868E-4,-0.01930203359858862,0.010132176539930704,-0.0025787208959670016,-0.017293140288833553,-0.019734254347189117,0.005873533745943016
blood,0.05755962941060533,0.02897693672383228,-0.027084565345949052,0.002956830277942246,0.03355016755371598,-0.07265917602996297,0.019988172678888305,0.02570471121624307,-0.028819239109008632,0.03733491030948166,-0.025468164794007486,0.06106840134042979,-0.09315986595702774,0.01230041395623871,0.0026808594520006945,-0.050699783165780055,-0.02006702148630024,0.025547013601419533,-0.046993889217425644,0.13345160654445165,0.03161837177212723,-0.04064656022077717,-0.11614429331756393,0.004336684407648117,-0.09844273605361764,0.04234180958013023,-0.11310861423221008,0.07455154740784598,0.02018529469741792,-0.007175241474472793
breast-cancer,0.04230091115423873,-0.10558353343640003,0.06948992905935125,0.09641185048737477,0.018937096367444006,-0.09439218008179551,-0.0898486343650976,0.08432211659704214,-0.08691397212810947,0.06129831255550855,0.06338075501902385,-0.0037562909114829957,0.13215776893304,0.025259092354418478,0.11828640505246568,0.03291037575518396,-0.05916861287457631,-0.05899323487165997,-0.10429898139315585,0.1239507472341923,-0.06865525256844618,0.14722514610265047,0.00515629968312481,0.08002477988662682,0.010760556122057618,-0.016679933774108258,-0.030192701994451565,0.034620023464140726,-0.03463811497428826,0.08147774744251868
breast-cancer-wisc,0.001507933643702053,6.619389608670811E-4,8.559192560780859E-4,-0.008013040287752626,0.0015635714027933956,0.010665006556233703,0.005697908020258602,8.493028739159358E-4,-1.630035969060195E-4,-0.0026925667953852095,-0.0035400652014387912,0.0034988631852468366,-0.00665547896591967,-0.00597158564606004,0.006362854427562903,0.0013530501521769045,-0.0038170510183215267,-0.0060091787265266206,-0.007496661734454291,6.165265196624858E-4,-0.008214839943700647,-9.401277563243493E-4,0.004580040179484879,-0.005649788877260087,0.003265184597062154,-0.0037701348538992097,-0.0030068449480921133,-0.0042005004390872624,-0.0027024913686288787,0.004984842469955675
breast-cancer-wisc-diag,-0.008176771762186785,-0.0066966268447775645,0.006848224003751957,0.006366488500526457,0.005237504189648079,-0.005272146509179398,-0.0019852713885233353,-0.012884870248228486,0.0014913962690518145,0.010578639249688826,-0.007589332771160695,0.006091718649885225,-0.006955111844357154,0.0018182776430903935,0.007634042089530002,0.0033520145249027467,7.502875016432986E-4,-0.006852073150366622,0.007153787027310066,0.005354755117292331,-0.005155191669736214,0.003455053218893278,0.006151528466511902,0.002023762854669209,-0.005208487545938167,-0.014313791906843676,0.003986235451706177,-6.084612533058253E-4,0.0036634993124832205,0.004566864414106586
breast-cancer-wisc-prog,0.17103260869565218,-0.09790617848970229,-0.03250762776506466,0.06550819984744483,-0.09808161708619334,-0.01103165522501881,-0.07266018306636124,-0.1211584668192216,-0.01737223493516382,-0.07859267734553743,-0.04312643020594942,0.00795957284515636,0.1730186880244089,-0.00812452326468327,0.047307398932113,-0.011763920671243211,0.06190789473684222,0.14868802440884832,-0.16930110602593385,-0.08164378337147182,0.07660278413424859,0.11409038901601842,-0.05415045766590365,-0.10806254767353152,-0.00540999237223494,0.0345003813882534,0.10148073989321149,0.003025362318840652,-0.020707475209763238,0.05687070938215111
breast-tissue,-0.058788971827337666,-0.021330971860814785,-0.011851716595117523,0.027711384067890865,-0.023714512752192718,-0.027248687898936197,-0.015438913871160476,-0.0051261806049565095,0.017100975085527992,-0.047963473382439226,-0.05649573711215572,-0.02729444814507287,0.04183926947237504,-0.039308768136886996,-0.012745289119204029,0.046334829879621786,0.008032773300604035,0.026872093192368385,0.02475634406364302,0.012167507263572741,-0.002438316550554598,-0.024816010425833035,-0.06099526783993592,-0.01784667053558675,-0.047516173520362304,0.023495115098078778,-0.013119973050002898,0.03032872274007614,0.009695331081734038,7.61871513821788E-4
car,-9.660340539858758E-4,-9.783695708754925E-4,-0.0013325644429005301,-0.0011418548772461623,0.00213268639119657,-7.823640584845304E-4,-0.002297144576234089,-1.890005628466529E-4,-3.053075689328777E-4,-5.685354292780387E-4,0.0010585122908037814,2.800036814670781E-4,1.9343501117330408E-4,-0.0013409794251594276,-7.327344052039386E-4,-9.235878510581719E-4,2.7518129754899867E-4,-0.0011252380415658347,2.625119974626333E-4,-8.879531335932445E-4,-0.0010105402049931378,-0.0012598328021650174,-6.498706280738675E-4,4.44111891324539E-5,-3.3150476934928896E-4,-9.501106774921775E-4,4.181277333629163E-4,-1.4459029955760094E-4,-2.1683959593254976E-4,-8.083061824021298E-4
