TRAINBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_pb,CAWPE_alpha=1,CAWPE_eq
abalone,0.008006884284873492,0.008035652659678533,0.008069827853263127,0.008103653165739997,0.008113278031575761,0.007954840991939133,0.007713916409034208,0.008062645344888908,0.007976476785356658,0.007857924248330624,0.00812574987521223,0.008227853585295826,0.008169525571774063,0.008140388355176885,0.009909330430712331,0.008033525585921575,0.00803830149342909
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050854762771560605,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.003651483716701112,0.003651483716701112,0.007302967433402219,0.007302967433402219,0.007302967433402219,0.007302967433402219,0.007302967433402219,0.007302967433402219,0.007302967433402219,0.007302967433402219,0.013850175148001104,0.008051557998728986,0.008051557998728986
adult,0.003304475361501131,0.003270255086038479,0.0032652014192665105,0.003265754929670485,0.0032513906613434894,0.0032719531062912833,0.0032671629524933573,0.0033496935916844926,0.0033717701546537022,0.0033861065925372214,0.003334340530920717,0.0033598345472783736,0.0034334221265065927,0.003449427277163836,0.0029903372500160934,0.0034627755031171126,0.0034219837403716637
annealing,0.051499143754364006,0.052669654662414724,0.05261989529746447,0.052437911440964644,0.05115776135643096,0.051026920170203084,0.05107938938254258,0.05150012460940619,0.05184294289078905,0.05152252065463088,0.05249867748236474,0.051516870563912416,0.054705768278250626,0.05382926216510063,0.04020101002017515,0.047748449917108506,0.04843599332797062
arrhythmia,0.04640207070490118,0.047051419106713864,0.04710838155102088,0.046585859665325476,0.04673635897114035,0.0438979861496327,0.044020938350799704,0.04312137974502886,0.04117069199025144,0.04006695526381552,0.037962450977850566,0.034568500733053065,0.032801966217403694,0.03162876820331395,0.044339127458739316,0.03272417137231099,0.03295670226440424
audiology-std,0.04223731895208501,0.0417919944457587,0.040874132076955894,0.040634294273027026,0.04043527057642875,0.03924406899830362,0.0378059314903003,0.03795322646997796,0.0391054410975473,0.04045346806460245,0.03977566174407502,0.039525727428184956,0.038929406088276795,0.0390146662196801,0.030383653579361243,0.04005940487952764,0.04011414489139803
balance-scale,0.04943814404765819,0.04802161109796366,0.046798047339147684,0.04469237654189388,0.04352787244472438,0.04085018160311015,0.03682866632669268,0.03399316193383048,0.03221144302804725,0.032779762725119795,0.030869618244709164,0.02856063456892723,0.029007306881984166,0.02892150591935742,0.023342099348721432,0.02803259119550359,0.02703265289396388
balloons,0.20404592175895683,0.20404592175895683,0.20657302290740542,0.20657302290740542,0.20657302290740542,0.20972238080732883,0.22120667133512792,0.2269902749673592,0.2281346494136537,0.22212491883121235,0.22064213149707124,0.2247151240419302,0.22597260342087302,0.2019817209083494,0.13161761295840482,0.20514319983693313,0.20400679877484515
bank,0.01779808144306005,0.017785946903294755,0.017782711403654783,0.018081857736458484,0.01816671694342384,0.01816318498646687,0.01820223632402927,0.0181680850324269,0.018152755468966667,0.01803379226582817,0.01809950065173273,0.018210951251763793,0.01817793191806837,0.01799292588477071,0.013112168721376393,0.018067957829141158,0.018139960551944168
