folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.6578757086161309,0.6488132001154518,0.6558769050216059,0.6503220639732817,0.6714859159968865,0.6470615804042529,0.6572561356484145,0.6528644030361236,0.6555247898256614,0.6502890745051976,0.6565697503263892,0.6545803683255161,0.6315599652780938,0.6502263538370954,0.6558677840537835,0.6569248271332276,0.658125854110351,0.6635131433865641,0.652507795319533,0.6491167448927321,0.6385885168054903,0.6522148022112174,0.6581101729511608,0.6496817845334176,0.6592154897920977,0.6419602914612857,0.6379097215415355,0.6432066266203496,0.6579397597767654,0.6592510440052944
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.7781426890538928,0.7743981318565369,0.7772689763918255,0.7718509951563037,0.7725604401645316,0.7735893597565354,0.7745989694580455,0.7780398565168269,0.7726018375848243,0.7695412660052483,0.7664482241446393,0.7688822791412159,0.7707806781440074,0.7766458316694752,0.7746134518759158,0.7772379617227669,0.7732353650584086,0.7731249274094139,0.7751676899542073,0.7717199255894844,0.7724631629060763,0.7715708681595024,0.7721353554043846,0.7708317305095469,0.7694074187991236,0.7692741658143429,0.7732574525882074,0.7716184150797494,0.7807063580053144,0.7774505041028403
annealing,0.8375754320867103,0.8307719515238313,0.7688872614436524,0.8553904241122285,0.7452068482895551,0.8123017500461109,0.6860575681628314,0.7941914309583483,0.7752667382742571,0.8713686814438694,0.80072399613753,0.845915329449164,0.7936174852716207,0.8261174581475335,0.754457355509987,0.7939069535310137,0.8779541928414109,0.7501990908005945,0.8570849200924389,0.8190295001573198,0.7010842040165348,0.8068259393071424,0.7135536894183511,0.7676353220714123,0.8226206208161095,0.7520771626034783,0.7602334841432586,0.7749822608469226,0.881593268886502,0.8280021482277121
arrhythmia,0.37670204112827055,0.454187670253244,0.3917368969827987,0.325154626793971,0.41944918469508635,0.3405147857606874,0.37631565156155317,0.3468319112581407,0.3249192337716928,0.45229415393349814,0.3238814191273207,0.4260226112685128,0.42913168798414697,0.2839658156051599,0.3779962660290529,0.4412895301419892,0.37517804599771815,0.4123430667692963,0.3832864949258391,0.37829814993749417,0.41132845296779713,0.29109213191180405,0.395101346740691,0.3353977170370613,0.3477708630167647,0.3002993727583892,0.3776320400910565,0.4009998198522788,0.3987643504036946,0.4173324489717932
audiology-std,0.2874810911042795,0.3891365344263895,0.3276631044746987,0.4084711852827795,0.3334711852827795,0.30061240423559266,0.2838335041233592,0.3552188552188552,0.3304408822524765,0.3387742155858098,0.34999512028497537,0.3564180451861611,0.30883594398087155,0.3700897867564534,0.36315937149270483,0.3116137217586493,0.33986361196506126,0.369692089981945,0.4227248328697604,0.3245205679988289,0.43686624701117455,0.36932977114136534,0.38245864441516614,0.32308715171034014,0.328280388425316,0.3531681549797492,0.3308056409505685,0.3979773581222857,0.4219953154735763,0.30313765676084514
balance-scale,0.7916666666666666,0.6944444444444445,0.6898148148148148,0.7685185185185185,0.7870370370370371,0.7476851851851851,0.7523148148148149,0.7152777777777778,0.7337962962962963,0.8217592592592592,0.7615740740740741,0.8333333333333334,0.6828703703703703,0.7777777777777777,0.6944444444444445,0.7453703703703703,0.7430555555555555,0.7731481481481483,0.8495370370370371,0.7337962962962963,0.7962962962962964,0.7546296296296298,0.763888888888889,0.8125,0.7476851851851851,0.7106481481481483,0.7777777777777777,0.7870370370370371,0.8125,0.7986111111111112
balloons,0.5416666666666666,0.5,0.5,0.8333333333333333,1.0,1.0,1.0,0.5,1.0,0.875,0.8333333333333333,0.7083333333333333,0.8333333333333333,0.7083333333333333,1.0,0.8333333333333333,0.6666666666666666,0.5416666666666666,0.375,0.8333333333333333,1.0,1.0,0.7083333333333333,1.0,0.6666666666666666,0.375,0.6666666666666666,0.7083333333333333,1.0,0.5416666666666666
bank,0.6315576923076923,0.6106538461538461,0.6252884615384615,0.6087307692307692,0.6068076923076923,0.6012115384615385,0.6359038461538462,0.6625,0.6272115384615384,0.6469423076923078,0.6385,0.6068846153846154,0.6195192307692308,0.6356538461538461,0.6448461538461538,0.6475384615384615,0.6298846153846154,0.63925,0.5898269230769231,0.6318846153846154,0.617173076923077,0.6125769230769231,0.6488653846153847,0.6209423076923077,0.5899230769230769,0.6430961538461539,0.6380769230769231,0.6228653846153847,0.6419230769230769,0.6077307692307692
