TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_pb,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,0.013038143757128414,0.013404958918685674,0.013578176016977368,0.01361271450345678,0.01347621803744767,0.013486970778513453,0.013426759458296739,0.013513558615705676,0.013433946298849597,0.015973214668760574,0.013260071728115604,0.013175593719257965,0.013260610607986039,0.013241712740426605,0.013188029676647568,0.013097541082731446,0.013187652805173361
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060858061945018235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.003651483716701112,0.003651483716701112,0.007302967433402224,0.007302967433402224,0.007302967433402224,0.029329195963523475,0.007302967433402224,0.007302967433402224,0.007302967433402224,0.007302967433402224,0.007302967433402224,0.008051557998728986,0.008051557998728986
adult,0.005879862111926647,0.00592963903246568,0.005965185548767785,0.006046903116155106,0.00604999967249315,0.006043359180558663,0.006134445287741576,0.006296287208964842,0.00637618980309046,0.004554292251799497,0.006402545182311359,0.006382476660278137,0.006454343838242044,0.0065067788353332205,0.006497844729822151,0.006530301344515658,0.006559363251446188
annealing,0.0843770732197135,0.08248099692162894,0.08282535870558441,0.0823239443467255,0.08113261815913161,0.08142092859796764,0.08187457816049115,0.08240998284299143,0.08161475137005622,0.06835666845232277,0.07775729852012478,0.07837900232264086,0.07733768390161415,0.07819210913358422,0.07189623535783544,0.06399456361835783,0.06526221756296534
arrhythmia,0.059350618881581,0.0610761140897299,0.06032659655248875,0.05879134359665427,0.056992396830282635,0.05428327335776252,0.05547934439404462,0.054944476911755795,0.05414902309103204,0.06305257293411826,0.053950762906885746,0.05210476915336759,0.05171106393453416,0.05111297621283304,0.051106019089333835,0.05106923710266277,0.05054009401116944
audiology-std,0.08287558612240305,0.08341518603668531,0.08374419453315786,0.08418133394348673,0.08015056124278415,0.07861007151416084,0.07806057481468431,0.07923669660923396,0.0813137370173374,0.057139693895023186,0.08191878856368982,0.08151023794959734,0.08085664808090441,0.07883694751766455,0.07771543526347587,0.08073931214967082,0.0802687072424756
balance-scale,0.0698612453629416,0.07141432354362094,0.06910242439876192,0.06677735632818284,0.06348206025240198,0.06151282182751857,0.061531010301331145,0.0622331108450956,0.06154548592624744,0.03727309511574157,0.060495253608259233,0.0583120164176445,0.053658173841565536,0.053893742311347845,0.05900021581248075,0.058495618488376,0.05782843018343223
balloons,0.2678112409736124,0.2679359459584583,0.2793465280948032,0.28880575542709686,0.29127148926692115,0.2863024785002783,0.30986713359973,0.31588176571400933,0.3174723819204558,0.23074024361940593,0.3178703931564973,0.3275295751613341,0.33236317151239514,0.32734515901261024,0.31135851547635945,0.3212906006466062,0.3327149436326464
bank,0.017988476615967613,0.017903993912398698,0.018030648319101984,0.01810367002667739,0.017990855215729087,0.017973756295709603,0.017925929322945813,0.01769615955917381,0.017974076844573757,0.019844270865783782,0.017838837608952933,0.017834650236157084,0.017913692807596193,0.017949952379653328,0.017904670915254647,0.017818553519608305,0.017713983038234887
blood,0.04496925955871098,0.04400843427552665,0.04309524624005325,0.041721797210954974,0.040729661698729984,0.0407687582408388,0.03982661140410504,0.03992793922341215,0.03843056092658616,0.03937953545810832,0.039612015364784266,0.03856986924931884,0.03834598384516225,0.03928915867100161,0.03955107430752465,0.0410688852188574,0.041046693205786064
breast-cancer,0.06127125206678547,0.06076319401122418,0.062301980260029755,0.06413817456521091,0.06446978396113832,0.06320024674610214,0.06177955089557789,0.0603360128280349,0.06198016280789556,0.07161056438842035,0.06200028505605468,0.06579305674740701,0.06531382515202948,0.067345752490327,0.06647139659864842,0.06875311087001391,0.06708779349161546
