folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.006188906406342731,-0.0018944736473752721,-0.008701040074712063,-0.003921907450951778,0.005298778504274293,-0.012090576512911122,0.0135542526403728,0.002512194793552691,-0.0019429477937070727,-0.00977638138894299,0.002558678681468751,-0.0044816293082843295,-0.03482150628361658,0.0033643010513443317,0.003376058997047293,2.717480330690636E-4,0.0024429691781474583,0.022150518135227615,-0.003102071783947946,-0.014548937701316378,-0.03234493662394322,-0.00596279034268643,0.001498692465693674,0.004321066703485088,0.015321086630880498,-0.02838153639071639,-0.017285941877792865,-0.0239116125563672,0.007357847300252018,0.00824476761442694
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.006707641759662986,-0.0019896078003395212,0.006203354979053888,-0.007626433151469936,-0.003257334373859666,-0.014159797310760003,0.0024814489699729325,0.008970690332024689,3.5577351090154696E-4,-0.00735585775988401,-0.012080174464718763,-0.0048607802317894855,-3.6565609293259804E-4,0.007472958092792581,-0.002681200790411453,-0.0012677656226760536,-7.675614376940754E-4,-0.003224409521301208,0.005399545178121801,-0.006585781576400107,-0.005115625168263582,-0.002607688165694344,0.0018309787813316492,-0.011202011716127558,-0.0066064261985306905,-0.006173353364910206,0.001134330978713849,-0.0035213682365989873,0.005681601466029251,0.0038571924533549184
annealing,-0.0010797773654915854,0.07087583869273406,-0.10658803744783396,0.021975219433866044,-0.1724539704238952,0.0029904325366508777,-0.2642018057621771,-0.03288459243346453,-0.09357743097238902,-0.020783365339756443,-0.05788487899146888,-0.030155084681400268,-0.05004333344182965,0.018325232485338683,-0.1340338725601885,-0.010374674909836346,0.018982056618500498,-0.1855793749716793,2.304309283521766E-4,-0.06673469387755115,-0.18124304267161406,-0.02108049344139573,-0.20292721873438346,-0.057793642496871245,-0.018223548430536307,-0.10081334096637073,-0.107463348975954,-0.15045702363880165,0.001686836137963943,0.05351780010249718
arrhythmia,0.071129571071748,0.0854421287403479,-0.01667296395051443,-0.137851397825562,-0.03978411171457019,-0.0754987629170264,-0.008695950344982994,-0.007528674997379858,-0.08881327199646027,0.11014403690610125,-0.09814287615213396,0.10164433163694991,0.022863531500230738,-0.06865955464685203,-0.06452128516149064,0.060008162978820945,-0.03696195908787786,0.007234876023206882,-0.004803679388922177,-0.017731539521285034,0.03376582172786763,-0.0764647733467898,0.03281076052890408,-0.007397227230678427,0.015052508825614985,-0.06367130946745247,-0.024795954053635605,0.020873467206780072,0.0013974021549451598,0.021212980572775042
audiology-std,-0.45486995559459337,-0.28087822671156015,-0.33720050749036257,-0.1923492168057387,-0.2642579173376274,-0.2292764602547211,-0.3278430439662324,-0.20043246474405896,-0.18674913385058312,-0.2786707656272873,-0.1656846240179573,-0.1748151807934416,-0.29490496754989504,-0.20497059971697656,-0.26272629678426784,-0.2292502317864637,-0.3043392865856634,-0.1580387205387206,-0.14357158541941156,-0.26533816425120776,-0.10594105304250229,-0.14683367491338517,-0.21704484458107637,-0.4073647099009418,-0.3204588152051921,-0.2735665837115113,-0.36207424486409995,-0.1820749768213536,-0.12954972429610118,-0.28426840872493053
balance-scale,-0.15796296296296297,-0.19194444444444436,-0.1090740740740741,-0.1996296296296296,-0.09416666666666651,-0.192037037037037,-0.17120370370370364,-0.2331481481481481,-0.05759259259259253,-0.1307407407407407,-0.11148148148148151,-0.027592592592592613,-0.15601851851851867,-0.07444444444444454,-0.2557407407407407,-0.19324074074074082,0.01490740740740737,-0.17009259259259246,-0.01777777777777756,-0.15953703703703714,-0.13416666666666666,-0.20481481481481467,-0.07092592592592595,-0.09305555555555567,-0.021666666666666723,-0.054629629629629806,-0.17472222222222222,-0.10342592592592581,-0.05944444444444441,-0.0964814814814815
balloons,0.04166666666666663,0.0,-0.30000000000000004,0.2583333333333333,0.375,0.6,0.55,-0.375,0.55,0.22499999999999998,0.18333333333333324,0.18333333333333324,0.2833333333333332,0.033333333333333215,0.375,0.2583333333333333,0.16666666666666663,-0.08333333333333337,-0.375,0.15833333333333321,0.32499999999999996,0.55,0.033333333333333215,0.44999999999999996,0.31666666666666665,-0.4,-0.008333333333333415,0.08333333333333326,0.44999999999999996,0.19166666666666665
bank,-0.03002180960801648,-0.04068140288829947,-0.010636825817860296,-0.017777188328912508,-0.029536177424108523,-0.03762208959622748,-0.010268567639257209,0.02174329501915706,-0.0027166224580017495,0.016014146772767468,-0.0010909961685823255,-0.03970350722074867,-0.006996094901267291,-0.00267978190391982,-0.003239095195991748,0.021941718243442376,-0.005959254347185361,0.008237547892720243,0.0022292956086059634,-0.013369216033009224,-0.009092248747421094,-0.032595490716180286,0.007361553197760218,-0.014067270851753522,-0.036676539935160624,0.005346816976127378,-0.011916666666666687,-0.007647067491895032,0.008329207191276167,-0.03052880931329216
