folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,-0.004426255348310426,7.609592769286522E-4,-0.007349256221969247,-0.006194865559119855,0.00720996286617237,-0.017437763187107436,0.010574152039613871,0.0010563331817025068,-0.005554584574867905,-0.005356207747237218,8.282930413847645E-4,-0.0071399044774514975,-0.030992197037921776,0.0070317308042237014,0.003950781095865885,-3.495578407868294E-4,-0.001024494447159685,0.023473387868081952,-0.004068475362054791,-0.01192712723699263,-0.031033865600695654,-0.005508511372742109,0.005783013608674725,0.003945502019023661,0.005877336354510709,-0.033348370832477436,-0.014324075005871295,-0.026097287788881096,0.010361736574935887,6.363378683102994E-4
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.008521358775879562,-0.0016140412781183722,0.006454802920036196,-0.008438304876988267,-0.00468062415658721,-0.015416712483916406,0.0018254574450271566,0.009334736947408273,4.469023331188371E-5,-0.00925999629211216,-0.013334379262280538,-0.004457530853375191,1.3298162611197206E-4,0.007807171278324088,-0.001727974421813827,-0.0010529272114707666,-0.00197824737166441,-0.002442279837836514,0.006519149053804019,-0.007033322678448917,-0.005331350839564708,-0.0023243645157763337,0.0024536211472384606,-0.012615678736706881,-0.008178723532610288,-0.006425514301233948,0.001799161798791693,-0.002611221113310691,0.005191787105792822,0.003940319899752631
annealing,-0.056881402640801104,-0.057265172097547,-0.10684792322032477,0.07216145533173413,-0.1542563117751089,-0.01081190881456262,-0.17863527675823132,-0.06643171590805397,-0.09312222369011414,-0.030864281916913483,-0.041383337385991203,5.667632284174218E-4,-0.07228823140101337,-0.06958120026319925,-0.14565120593692005,-0.0215098722104472,0.01801012462401208,-0.192914568060079,-0.009628951421078558,-0.0978698911781618,-0.17776723193264543,-0.03847395545139898,-0.1698998668047762,-0.06400324212619657,-0.03269231775644865,-0.09595996101789994,-0.11001375095492738,-0.10609538360798865,0.010735930735930599,-0.02655046580035525
arrhythmia,0.02142211472694666,0.009066587509825697,-0.05663096712184773,-0.06104758875158406,-0.11496790535559637,-0.128799695829038,-0.012785741155777741,-0.0242855421677739,-0.13012121035957647,0.057307520753065666,-0.10314801797716322,0.019215743964459853,0.03175275364891822,-0.07984979649882917,-0.02881724561129717,-0.0014767655785095646,-0.06724280379295289,-0.0190677988903315,-0.01812241501104417,-0.06222306425671237,0.015173769678583082,-0.0541404528380508,0.04488021077846682,-0.04932774506683402,-0.026654108355889106,-0.07598925408447749,-0.028743051359081784,0.024455754213081937,-0.011930654977436228,-0.07542987313386845
audiology-std,-0.36546442687747044,-0.24198933782267124,-0.29048333577319085,-0.1369034548382374,-0.2642579173376274,-0.3528033962816572,-0.33920668032986867,-0.2128787878787879,-0.1843336749133851,-0.25238252086078183,-0.18257331771824514,-0.17975345239837986,-0.33650636802810713,-0.2546107207339091,-0.1953349924364416,-0.19894720148343326,-0.26636961401454157,-0.1499579124579125,-0.1173418972332016,-0.31822390572390563,-0.16225906407065832,-0.14657870980334753,-0.1698226223588542,-0.40685965939589136,-0.3614075537988582,-0.2298467769482263,-0.34923998438491194,-0.20660042453520705,-0.17097545503342615,-0.27037951983604164
balance-scale,-0.1183333333333334,-0.08351851851851855,-0.05277777777777792,-0.1339814814814816,0.025925925925925797,-0.11888888888888882,-0.10555555555555562,-0.19657407407407412,-0.04064814814814821,-0.04888888888888887,-0.04592592592592604,-0.03953703703703704,-0.025000000000000022,-0.07490740740740742,-0.19305555555555554,-0.026851851851851793,-0.009907407407407365,-0.14212962962962972,-0.04009259259259257,-0.01055555555555554,-0.10435185185185192,-0.13398148148148148,-0.0285185185185185,-0.1339814814814816,0.023611111111111138,-0.0406481481481481,-0.12935185185185194,-0.034351851851851745,-0.08185185185185195,-0.043611111111111045
balloons,-0.5833333333333334,-0.07499999999999996,-0.3583333333333334,-0.15833333333333333,0.55,0.6,0.21666666666666662,-0.625,0.38333333333333325,0.05833333333333324,0.016666666666666607,0.18333333333333324,0.18333333333333324,-0.2333333333333334,0.18333333333333324,-0.01666666666666672,-0.33333333333333337,-0.08333333333333337,-0.65,-0.13333333333333341,-0.06666666666666676,0.21666666666666662,-0.3583333333333334,0.2833333333333332,0.11666666666666664,-0.375,-0.30000000000000004,-0.20833333333333337,0.475,-0.15833333333333333
bank,-0.026183023872679123,-0.04501282051282052,-0.014475611553197765,-0.020192897141173005,-0.031209254347185356,-0.04005990274093729,-0.008345490716180293,0.021243295019157116,-0.005139699381078722,0.014091069849690552,7.471264367808761E-5,-0.03778043029767175,-0.006746094901267319,-0.01111472148541115,-0.0034890951959917205,0.021941718243442376,-0.005959254347185361,0.006064470969643354,-0.013125847332743912,-0.01311921603300914,-0.007419171824344262,-0.03451119952844084,0.00927726201002077,-0.015990347774830438,-0.03358775419982318,0.003673740053050434,-0.016262820512820464,-0.007647067491895032,0.0028320807544944815,-0.03052880931329216
blood,0.006662724226296102,0.027735068007096353,-0.08076089099152373,-0.021427163414153405,-0.08391484328799526,0.023516656810565806,-0.005617977528089901,-0.013345160654445132,0.009481569091267517,0.022117090479006563,-0.07267888823181556,0.020362704514094276,-0.012635521387739046,-0.008436822393061316,0.04951705105460291,0.006662724226296102,0.01649911295091666,0.05933372757737032,-0.0073723634930021875,0.07196924896510948,0.05582495564754586,-0.019317957815888076,-0.06424206583875414,-0.0073723634930021875,0.012635521387738935,-0.01860831854918188,-0.002109205598265329,0.06564163217031349,0.003863591563177504,-0.05231618371772129
breast-cancer,0.014877580781333943,-0.0663731456202098,0.04927014462243562,0.09373430698551577,0.024484446783548774,-0.059205892350032374,-0.03822681271449402,0.041698299398046035,-0.13446317555343568,0.11385974145587319,-0.014245255090293063,-0.008398407947107112,0.08728133942962402,-0.03013738583160641,0.036910682762628544,-0.01771054680218853,-0.05790335844215655,-0.018556078199181925,-0.016295626240364958,0.12931734701709374,-0.01758089097946336,0.1593466771926363,-0.06454853458767806,-0.024924399416685894,0.05151754876484327,-0.08054258083615673,0.07679730929903616,0.024632961635034034,0.032645143251866626,0.03897892613181586
breast-cancer-wisc,0.002280245888820809,-0.010654480493702323,0.007823270417553818,-0.01707342379732213,0.00671592863931092,0.0400427959628038,0.006412477293779362,-0.00652224908874377,-0.010150883587763282,0.01860902594824787,0.01198993708422047,0.022741257353206534,0.00590888038784021,0.005639864304016751,0.029291475693817848,0.031240300985239444,0.004229071180242294,-0.04428479916272687,0.007857705679261917,0.004429216740649777,-0.012769016083823637,-0.010385464409878864,0.029056894871702266,0.00671592863931092,-0.0018175502544299782,0.005639864304016751,0.010075547054506861,-0.016769972451790682,-0.00894023602439642,0.0183400098644243
breast-cancer-wisc-diag,-9.166890706737707E-4,-0.0028246814387042907,0.034911167617899475,0.0158587801402984,0.007463199197482506,0.002746218065407091,-0.0058024404773888705,-0.02924996121244572,8.225330227169536E-4,0.027232120121798875,0.0027619107400665976,0.012195873004217428,-0.0010697666706540598,-0.003725677834718777,0.030194186485823837,0.011326261957522066,-3.138534931890202E-5,-0.008442658966794303,0.028270501443133922,8.382256973765712E-4,-0.015067632466900238,0.00470128845741602,-0.004748366481394317,-9.166890706738817E-4,-0.015952936188255218,-0.03585924203789215,0.004654210433437611,-1.56926746593955E-5,0.01692854681095235,-6.277069863791507E-5
breast-cancer-wisc-prog,0.11834096109839831,-0.030837147215865723,-0.09817696414950405,-0.08528222730739887,-0.03466819221967965,-0.012374141876430156,-0.02737414187643017,-0.08004576659038898,-0.040532036613272315,-0.11596681922196794,-0.08498855835240271,0.06910183066361553,0.006617086193745236,-0.023440122044241063,0.04929252479023649,-0.028279938977879504,0.05576849733028222,-0.010369946605644609,-0.03466819221967965,-0.086742944317315,0.007713577421815443,0.10399885583524027,-0.13617276887871854,-0.02917048054919913,-0.09365751334858885,0.06381006864988548,0.12493516399694893,0.050286041189931296,-0.04342486651411137,0.029364988558352456
breast-tissue,-0.14040404040404042,-0.12353896103896111,-0.041528379028379137,0.1337361712361712,-0.010052910052910091,-0.06441798941798949,-0.14617604617604607,-0.0678330928330928,0.046176046176046204,-0.19093915343915346,-0.07994829244829249,-0.1612373737373738,0.07448292448292448,-0.07519841269841276,-0.01693722943722953,0.1258718133718133,0.0033128908128907675,0.17347883597883607,0.07355098605098598,-0.04886363636363622,0.0470358345358346,-0.027110389610389474,-0.18029100529100528,0.001611351611351508,0.008742183742183718,0.009998797498797396,0.01620971620971634,-0.06142977392977389,0.06284872534872543,-0.01495310245310244
car,-0.045572446437252556,-0.03733254407134756,0.03812518809176568,-0.03240179077829486,-0.0436724483181703,0.020075576718290633,-0.038614950112276225,-0.01685888198254515,-3.141494200997741E-5,0.009142200268537182,-0.00946338504410027,-0.017402250156260846,0.037437495659420894,-0.017533842049216375,-0.037539010955621954,-0.035225138609162765,0.001427471815172332,-0.05993115479662947,-0.01632461093941706,0.0054319274197282,-0.002363083663217469,-0.02063666892376792,0.011213850209505272,0.02921325555015397,0.006245858364006707,-0.015084760660462604,0.01932910560918588,-0.010162851297543796,-0.034428949782392304,-0.009758761459129017
cardiotocography-3clases,-0.03335304555854024,0.0030010357852892078,-0.010746897237955966,-0.044621122851387085,-0.034358870280821185,-0.02169459606352664,0.0651372034598845,-0.059508006475456066,0.0071419716135707745,0.013435283745542148,0.023373713756336012,-0.054145529891322375,-0.05083832164615043,-0.022746631308033338,-0.005673152236724821,0.02005216774325358,0.012549109825991778,-0.023782612126697966,0.010329967016937003,0.024891391485268977,-0.047635478360541605,0.009775061151547249,0.004540602480285649,-0.0013570011607895172,0.01116574965403705,0.006590499747499368,-0.003005449237808877,-0.05541749234340876,-0.01037789761437291,0.014700934141477218
cardiotocography-10clases,-0.01636739310513946,-0.02095606317358445,-0.04610121750134455,-0.046070762964676715,-0.016173809736532263,0.010740690992517843,0.0040058207062591,-0.04218181895731876,-0.04311341444013417,-0.04861837165038163,0.002072241571515643,0.01358861073937856,-0.060627192639821526,-0.009539146356535633,-0.03975769620439773,-0.041168362655712776,-0.05079882730550722,-0.002511743036062941,-0.02796834805820214,-8.626310393647918E-4,-0.03408337767749292,-0.012215520060878782,-0.012734822703418303,-0.013193603137766519,-0.059856426491518344,0.011536399969592659,0.0409365798824034,-0.013012788036494638,-0.01790912086677665,-0.03764450819803056
chess-krvk,-0.0015553198258861922,-0.021824156253673954,-0.009625902377309536,-0.017503024086490848,-0.03675595245293273,-0.02976879229044327,0.010310396851020531,-0.016673575871164026,0.014509337031355263,-0.016144576487023388,-6.487249770251724E-4,-0.015904400352722337,-0.006571743639303573,-7.51537630010457E-5,-0.0030176194612590024,-0.023019488322262416,-0.02024831594140808,-0.03989030337927679,-0.005792178981416818,-0.04294262094089907,-0.02503362844595025,-0.021863640529134587,-0.006908181396792723,-0.0027715466501962993,-0.0407676458472469,2.42936718046316E-4,0.005870391548478904,3.0769290566168284E-4,-0.008246953174050997,-0.018370084547665644
chess-krvkp,-0.002028014481180729,0.0012453740496851662,-0.002461029764657674,0.002328671408535432,0.0012994461947948288,-0.007101978384082219,0.005115570020817861,-1.2003207342303757E-4,0.006313454300225008,0.0017327409672597271,0.0034307380573180835,0.002275456996403191,-0.0012627069857551465,-0.0024099693179759907,0.0013011616607496723,-0.0012634249742385917,-0.0027408448189711887,-0.0020866740461790156,-0.001373862974402229,-0.0030591141713838255,0.0022182334083717947,0.00882297131263221,-0.004258154938769909,-0.005080686022226888,-0.002517675108699602,0.0011898659276086132,0.005116427753795283,4.53358048277952E-5,0.001243080339740743,-2.7480802404733495E-4
congressional-voting,-0.05165899824187331,0.02939718699734406,0.022645232484195477,-0.0062329330789661075,-0.07486533497923914,0.03768750233793439,0.01766075636853326,-0.01728201099764337,0.023987206823027685,0.032389743014252015,-0.014434406912804398,2.8990386413790814E-4,-0.010502001271836314,-0.026568286387610884,-0.07489806606067406,0.028770620581303974,0.0018282646915796508,-0.043653910896644665,-0.003128156211424038,0.0063264504544944256,-0.08609209591142031,-0.0033572737814686615,0.004760034414394099,0.013106460180301371,0.003539632663748904,-0.034601428945498114,0.013849923315751966,0.018913889200613432,-0.0032123218493995687,-0.02488497362810005
conn-bench-sonar-mines-rocks,-0.07560296846011116,0.10574366110080391,-0.004962894248608629,-0.0217068645640075,-0.027446660482374763,-0.053544372294372256,-0.07667748917748918,0.048295454545454586,-0.017830086580086557,0.018309369202226478,-0.05246985157699435,0.007618274582560258,-0.020319264069263987,0.08389764996907856,-0.011077612863327202,-0.10739022881880023,-0.04392779839208405,-0.039826839826839766,0.03282699443413728,-0.015653988868274515,-0.04371521335807049,0.028726035868893107,0.04504483611626453,-0.025432900432900363,-0.020056431663574514,0.05903679653679661,-0.04147727272727275,-0.05316944959802106,0.06270098948670388,-0.020493197278911524
conn-bench-vowel-deterding,-0.0020202020202021442,0.008080808080808022,-0.014141414141414232,-0.016161616161616155,-0.002020202020201811,0.016161616161615933,-0.010101010101010166,0.030303030303030387,0.006060606060605989,-0.0505050505050505,-0.018181818181817966,-0.0040404040404041774,-0.016161616161616266,0.0181818181818183,-0.016161616161616044,-0.018181818181818077,-0.028282828282828354,-0.04040404040404044,-0.022222222222222254,-0.036363636363636265,-0.006060606060606211,-0.004040404040404066,-0.022222222222222254,-0.014141414141414121,0.006060606060606211,0.0181818181818183,-0.0242424242424244,-0.028282828282828354,-0.004040404040403844,-0.028282828282828354
connect-4,-0.011427703117869448,-0.0025900012302308983,-0.004275220445412509,-0.019958654731214165,-5.167698961433542E-4,-0.014932623607256001,-0.0023912087016841888,-0.003476461267054587,-0.008239957999387482,-0.0024000141507123374,-2.4647224009965996E-5,-0.011116170316488705,-0.001401776983985803,-0.0176168850413585,-0.014880275596827808,-0.018484674530556022,-0.006241640880387589,-0.020487020652128485,-0.022635752536701248,-0.02004548687125185,-0.016388050747815353,-0.011266399741319488,-0.019976627001180303,-0.019746111247125553,-0.014492587565834159,-0.017313679765180945,-0.01415331764469474,0.002098404810749299,-0.010995770996164,-0.014224251578335512
contrac,-0.01845061848980256,-0.003759957093099897,0.02502466128490044,-0.02360973335248895,-0.00173396338903542,0.005463456843218417,-0.04033091506720682,-0.07336612271629289,-0.016221397656594194,0.025298387170926417,0.010575988907690459,-0.008713387182456178,-0.016039033656160995,-0.01031703317997279,-0.0273439335727077,0.018950353521087315,0.02055630066656655,0.023164062906638916,0.004913594618477735,-0.03197821776248028,-0.030750157308935988,-0.018756830581519,0.005176893390790305,-0.040265061940468305,0.012274522354516093,-0.03355130816271196,0.0012352437723879284,-0.011439119215581384,0.0059824589009542795,-0.04259235907593373
credit-approval,0.0050796000615064285,-0.02550969667971903,-0.0020923826455856442,0.002527901629476248,0.017558804419752994,0.0018166397131595957,0.005153288905598741,-0.011161752401261937,0.019418923467372062,-0.0020564930120866576,-0.026225972103897877,-0.006639984944477484,-0.017720458800686623,0.00374851025210976,-0.024265930094868327,0.052096089308323656,-0.018989424859266246,-0.06275916085933031,0.02342091792690426,0.012229327515553168,-0.006055914750478952,-0.002710273185904555,0.016913777052943946,-0.06271518156286793,-0.013853242292474643,-0.017041479153139916,-0.033478195240495,-0.0026804317038571224,0.05925841649923491,-0.030819491052013315
