TRAINTESTDIFFSNLLSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_pb,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,0.026412676226820267,0.026411974492382532,0.026412012294658456,0.026412769148619963,0.026414325925232435,0.026416593059214403,0.02641965740411796,0.026423503714198722,0.0462470279784936,0.026428163372863602,0.02643357957384363,0.026439839913001625,0.026446835686453916,0.02645475177248727,0.02646339917892699,0.02647286616098974,0.026483160305576996
acute-inflammation,0.019268439851608695,0.019373451916890622,0.019497110540607546,0.0196402833805578,0.019803759725716987,0.01998830152767068,0.02019468129161072,0.02042358690639379,0.01682964003348307,0.020675715062947637,0.020951598020167456,0.021251813444629543,0.021576840973465548,0.02192711278407621,0.02230299153784558,0.022704778534592674,0.02313274590344037
acute-nephritis,0.03320114707288628,0.032944166146876466,0.032692325858589846,0.03244688833544638,0.032209167581099936,0.031980792474959996,0.03176344233969103,0.031559102094837574,0.05951787740015423,0.03136987243349101,0.031198088086323232,0.031046381659227712,0.030917474941811643,0.03081443846038528,0.0307404403645035,0.030698922745474134,0.030693370514366092
adult,0.007627939431523746,0.007629643103024611,0.007631399293073602,0.007633212147444476,0.007635077289796999,0.007636998306031007,0.007638973464850639,0.007641006794100256,0.007947088559379853,0.007643092758902009,0.007645240137441656,0.007647447047177079,0.007649708450600539,0.00765203068119219,0.0076544121494109205,0.007656848593981963,0.007659352776938508
annealing,0.04862883852804302,0.048603822972013454,0.04859329839334908,0.04859958500326972,0.0486261862658484,0.04867868221552893,0.04876023196968674,0.04887779115835292,0.08005754128982254,0.04903620568489525,0.049243018616899004,0.04950711688744959,0.049835542855056286,0.05023824407195526,0.05072526637488293,0.05130485044939283,0.051989734280856126
arrhythmia,0.1470392185151097,0.14536785540798752,0.14361292574379372,0.14178064264640694,0.13988482958989096,0.1379399803804622,0.13596808872526034,0.1339957917542739,0.23800819817466953,0.13205372939786603,0.13018083397368113,0.1284217265246052,0.12682884964212363,0.12546409188282187,0.12439205749685252,0.12368931584460056,0.12344323469899986
audiology-std,0.1624191564269098,0.16095688041679912,0.15966277890285316,0.15853617612142237,0.15758235825297673,0.1568013338389996,0.15619448207765552,0.1557598155018842,0.25565652033385716,0.1554986870772305,0.15540751536803796,0.15548484987963673,0.15572661616243805,0.1561298592100317,0.15669035556165103,0.15740356047264362,0.15826607267855103
balance-scale,0.04551031457554736,0.045068523964263925,0.04464179692963548,0.04423166498285924,0.043839680701091774,0.04346735078034356,0.043116307650589485,0.04278812746807278,0.10517603565150037,0.04248429759609455,0.042206330189654126,0.04195571019140402,0.041733812824377596,0.041541976267966824,0.04138152236656998,0.041253593289829284,0.04115930540641381
balloons,0.5470921963871674,0.534256782314177,0.5218392028559294,0.510131657764859,0.49944633458350757,0.4901269550447252,0.4824857248494687,0.4767667749801111,0.4733636415390263,0.4731166583457528,0.47151952221933086,0.4717690768903751,0.47353286613306833,0.4765828926226504,0.481158709091056,0.488346905124923,0.5011800327601055
bank,0.015136718215825865,0.015130834465346814,0.01512499004678957,0.015119222386052055,0.015113516087336791,0.015107862113951601,0.01510226562947031,0.01509673498742661,0.031644920287418464,0.015091250760621427,0.015085836727761604,0.015080474828650044,0.01507518232668434,0.015069950625891632,0.015064753377328776,0.015059642496661592,0.01505456039268489
blood,0.04635727547601936,0.046500767230559584,0.04665602153629716,0.04682354924630628,0.04700380791502115,0.04719729104972174,0.04740439070101972,0.047625639300426986,0.15913458402894468,0.0478614391438971,0.04811224623796937,0.04837853163144464,0.04866066603698973,0.04895903568584771,0.04927393405077671,0.04960578541687501,0.04995479717991039
breast-cancer,0.09772863815327192,0.09695415186720954,0.09636913836283094,0.09596353733622993,0.09572660308789666,0.0956470837840925,0.09571411906325034,0.09591779070082822,0.3478968174933458,0.09624928378470426,0.09670145937778456,0.0972691772812361,0.09794906000615823,0.09873985681740562,0.09964192993838901,0.10065722113503157,0.10178835246059087
breast-cancer-wisc,0.04735021270541422,0.04734763859238218,0.04734570358350555,0.047344391027088026,0.04734366929742582,0.047343530396940905,0.04734405417435736,0.04734507052180951,0.11004633080869985,0.047346804083620214,0.04734916318437949,0.04735211331270902,0.04735575432767427,0.04735989072270527,0.047364766483146546,0.04737018870896987,0.04737627671420424
breast-cancer-wisc-diag,0.049889987230231754,0.04984067153677733,0.049793342756744054,0.049748334979091695,0.049705391195683714,0.04966457588755313,0.049625868815612394,0.049589519271238114,0.09505618211484519,0.049555143578923905,0.04952270271007796,0.0494926693665819,0.04946440624384469,0.049438464115770624,0.0494142422004399,0.0493923155016435,0.04937226553855469
breast-cancer-wisc-prog,0.11897962481676407,0.11746674732728139,0.11607730678526948,0.11481382265141662,0.1136782787877063,0.11267334991915602,0.11180114498775805,0.11106397076598612,0.20949071146543607,0.11046473491089268,0.11000601140982036,0.10969097979247616,0.1095227130410244,0.10950464651093758,0.10964076608815244,0.10993485908446914,0.11039122432013666
breast-tissue,0.2637812089894306,0.2603821890267622,0.25730096129580277,0.25453986501145587,0.2520948486075275,0.24996238920771635,0.24813352896433072,0.24659837386923072,0.36038080163928676,0.24534602076296472,0.24436494692602742,0.24364397043438685,0.24317046422094335,0.24293655191357372,0.24293224909967512,0.24315183531317291,0.24359254902092767
car,0.015847777414378646,0.01587515954023494,0.015904660217349702,0.015936516930206274,0.015970941599833963,0.01600820624923046,0.016048562458690623,0.01609226229740213,0.023219011165755674,0.0161395889558441,0.01619080875926505,0.01624620536684498,0.016306043237290204,0.016370616599462498,0.01644018644840031,0.01651501550460809,0.01659536873867102
cardiotocography-3clases,0.026624463819935624,0.026568542522038496,0.026515038209302726,0.026464112240842705,0.026415806684294215,0.02637025933544126,0.0263276265933667,0.02628793658715339,0.06504722391075873,0.02625140198480852,0.026218012657856875,0.026187999443298388,0.026161459884621135,0.026138491630771487,0.026119149409436018,0.02610360999360199,0.02609195071728194
cardiotocography-10clases,0.03972928379647883,0.03955784815386032,0.03939272457484133,0.03923471855118358,0.03908376576908521,0.03894090500619875,0.03880653165330398,0.03868118104861089,0.08059994754083727,0.03856537875082279,0.038460058125041816,0.03836499140871601,0.038281719709829874,0.038210266764158396,0.03815125303044822,0.038105263688891056,0.03807292020175003
chess-krvk,0.015786468063575743,0.015782117772007807,0.01577541261167858,0.0157663362497663,0.015753037147792314,0.015734795544755608,0.015708508350345658,0.01567006043312364,0.012668338938751763,0.015612634421473568,0.01552780920277898,0.015406508811739435,0.015246912200913494,0.015071130127382823,0.014958960245526443,0.015089478240904602,0.015742715482687544
chess-krvkp,0.010099803939497264,0.010106041592138402,0.010112419237866068,0.010118927922443365,0.010125573178375402,0.010132362161169093,0.010139290565960208,0.010146358498143705,0.011844651978757415,0.01015357636039741,0.010160932383437377,0.010168436982432439,0.010176072678884622,0.010183884613002389,0.010191818337531234,0.010199906639771088,0.010208150207084305
congressional-voting,0.047052719366311786,0.04649918675888495,0.045975232753123096,0.04548206968037442,0.045020821813318304,0.0445923364015932,0.04419727887296247,0.043835966624616994,0.09098637879885182,0.04350850591716958,0.04321476846930499,0.04295427580359006,0.0427264307469461,0.04253035347558207,0.04236510351154303,0.0422294141651239,0.04212212011703706
conn-bench-sonar-mines-rocks,0.09599035815293279,0.0954970733690518,0.09502257976735741,0.09456815033543449,0.09413542274547547,0.09372622648523496,0.09334255855086294,0.09298640580239695,0.21007513667275843,0.09265996683220552,0.09236500903927754,0.09210349296979439,0.0918768651349688,0.09168659017323572,0.09153361895193653,0.0914189893915562,0.09134332208299405
conn-bench-vowel-deterding,0.04682625126504971,0.04692836046275535,0.047036518730015,0.04715106521671201,0.04727215328489033,0.04740019564245868,0.047535406324266206,0.047677973628293915,0.08091452787705618,0.04782827870093654,0.04798652510844371,0.04815285657898737,0.04832758407141716,0.04851084295264235,0.04870281711240089,0.048903632698405405,0.04911344123105812
connect-4,0.004988241448887933,0.004999523667394855,0.005010773007126876,0.005021992767879792,0.005033185712606119,0.005044350876688135,0.005055495878706553,0.005066620922767637,0.00439728523660222,0.005077726311461028,0.005088818412558548,0.005099898357645044,0.005110966099720218,0.005122030414381177,0.0051330872381355275,0.0051441445088637695,0.005155200004444391
contrac,0.040643361986847,0.04005877374490239,0.03957739515932052,0.03919847655851546,0.03891965288019251,0.0387371427471477,0.038645701714702316,0.038639191978212854,0.0961603988480696,0.03871044440149236,0.038851838340071346,0.03905531591246603,0.03931291820684144,0.039616688151483316,0.03995915177697851,0.04033320778049359,0.04073254560051311
credit-approval,0.07839634448896085,0.07835392466011307,0.07831805213396312,0.07828865536607281,0.07826551952389868,0.07824857541385513,0.0782376398218751,0.07823246476808798,0.17316297151051202,0.07823300868854882,0.07823912435077673,0.07825052185103326,0.07826710587297081,0.07828874142053902,0.07831514981947316,0.07834631151847506,0.07838197508891907
