folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,25.0,28.0,22.0,29.0,44.0,29.0,32.0,28.0,25.0,29.0,31.0,26.0,27.0,29.0,29.0,30.0,29.0,35.0,24.0,31.0,31.0,27.0,30.0,24.0,24.0,33.0,26.0,30.0,31.0,32.0
acute-inflammation,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,6.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0
acute-nephritis,4.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0
adult,237.0,242.0,250.0,253.0,215.0,256.0,212.0,234.0,234.0,214.0,221.0,222.0,220.0,215.0,229.0,212.0,204.0,251.0,209.0,212.0,211.0,228.0,205.0,236.0,247.0,240.0,227.0,256.0,223.0,219.0
annealing,9.0,10.0,10.0,9.0,12.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,11.0,8.0,8.0,12.0,9.0,11.0,8.0,8.0,9.0,10.0,10.0,8.0,10.0,12.0,10.0,10.0
arrhythmia,10.0,8.0,11.0,11.0,10.0,10.0,10.0,11.0,9.0,12.0,12.0,9.0,9.0,10.0,11.0,11.0,10.0,12.0,9.0,10.0,10.0,10.0,13.0,13.0,10.0,9.0,13.0,10.0,11.0,10.0
audiology-std,8.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,9.0,8.0,9.0,6.0,6.0,7.0,8.0,6.0,6.0,7.0,6.0,6.0,7.0,5.0,7.0,8.0,7.0,8.0
balance-scale,7.0,7.0,7.0,6.0,6.0,5.0,7.0,7.0,5.0,5.0,5.0,6.0,5.0,7.0,14.0,6.0,7.0,6.0,7.0,6.0,7.0,5.0,6.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0
balloons,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0
bank,19.0,24.0,21.0,22.0,21.0,19.0,22.0,24.0,19.0,22.0,20.0,19.0,23.0,22.0,22.0,20.0,22.0,21.0,21.0,25.0,19.0,22.0,23.0,23.0,21.0,18.0,20.0,26.0,23.0,18.0
blood,6.0,6.0,6.0,5.0,7.0,6.0,7.0,7.0,7.0,8.0,7.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,5.0,8.0,7.0,7.0,6.0,5.0,5.0
breast-cancer,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0
breast-cancer-wisc,5.0,6.0,6.0,7.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,8.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,11.0,5.0,5.0,5.0,5.0,6.0
breast-cancer-wisc-diag,4.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0
breast-cancer-wisc-prog,3.0,4.0,3.0,3.0,4.0,4.0,4.0,6.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
breast-tissue,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,9.0,4.0,4.0,4.0,5.0,4.0,4.0
car,16.0,15.0,15.0,13.0,13.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,15.0,13.0,14.0,15.0,14.0,13.0,10.0,15.0,15.0,16.0,14.0,18.0,15.0,13.0,16.0,14.0,15.0,15.0
cardiotocography-3clases,14.0,16.0,15.0,16.0,16.0,13.0,15.0,17.0,21.0,19.0,15.0,15.0,15.0,14.0,14.0,16.0,15.0,14.0,16.0,17.0,17.0,13.0,14.0,15.0,16.0,14.0,14.0,15.0,14.0,14.0
cardiotocography-10clases,28.0,38.0,30.0,32.0,37.0,34.0,34.0,33.0,34.0,35.0,33.0,31.0,38.0,35.0,30.0,33.0,38.0,36.0,36.0,39.0,33.0,34.0,41.0,33.0,28.0,35.0,35.0,32.0,38.0,34.0
chess-krvk,771.0,731.0,755.0,739.0,782.0,809.0,660.0,727.0,748.0,750.0,647.0,684.0,751.0,706.0,724.0,786.0,802.0,694.0,743.0,690.0,692.0,614.0,724.0,738.0,746.0,755.0,700.0,761.0,802.0,746.0
chess-krvkp,13.0,17.0,16.0,13.0,13.0,14.0,12.0,14.0,14.0,12.0,11.0,16.0,19.0,11.0,18.0,13.0,14.0,14.0,11.0,16.0,16.0,18.0,15.0,12.0,12.0,13.0,14.0,14.0,15.0,17.0
congressional-voting,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,6.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0
conn-bench-sonar-mines-rocks,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
conn-bench-vowel-deterding,15.0,14.0,21.0,22.0,17.0,19.0,14.0,17.0,21.0,16.0,15.0,15.0,25.0,14.0,16.0,17.0,18.0,17.0,16.0,16.0,18.0,16.0,18.0,19.0,15.0,20.0,19.0,20.0,15.0,23.0
connect-4,330.0,307.0,289.0,305.0,316.0,294.0,288.0,346.0,346.0,288.0,347.0,341.0,349.0,315.0,321.0,328.0,335.0,350.0,287.0,291.0,298.0,282.0,329.0,309.0,276.0,318.0,301.0,293.0,305.0,316.0
contrac,14.0,10.0,10.0,9.0,14.0,9.0,13.0,12.0,9.0,13.0,14.0,13.0,10.0,11.0,12.0,11.0,9.0,11.0,12.0,9.0,10.0,12.0,10.0,11.0,10.0,13.0,14.0,9.0,10.0,11.0
credit-approval,4.0,6.0,6.0,5.0,7.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,5.0,11.0,6.0,4.0,5.0,4.0,6.0
cylinder-bands,4.0,4.0,6.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,5.0
dermatology,7.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,8.0,5.0,6.0,5.0,5.0,6.0,7.0,7.0,5.0,5.0,6.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,7.0,5.0,8.0
echocardiogram,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0
ecoli,7.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,14.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,8.0,6.0,7.0
energy-y1,7.0,7.0,7.0,6.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,6.0,7.0,8.0,6.0,8.0,8.0,9.0,8.0,7.0,7.0,6.0,6.0,12.0,7.0,6.0,7.0,6.0,8.0,6.0
energy-y2,5.0,8.0,7.0,7.0,8.0,7.0,6.0,7.0,9.0,6.0,7.0,8.0,6.0,7.0,8.0,6.0,6.0,6.0,5.0,8.0,5.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0
fertility,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
flags,6.0,5.0,15.0,6.0,4.0,6.0,4.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,4.0,5.0,5.0,5.0
glass,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,6.0,5.0
haberman-survival,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0
hayes-roth,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13.0,6.0,7.0,5.0,4.0,13.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0
heart-cleveland,6.0,6.0,5.0,5.0,7.0,6.0,8.0,6.0,8.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,4.0,6.0,5.0,6.0,5.0
heart-hungarian,4.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,7.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
heart-switzerland,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,11.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0
heart-va,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,37.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0
hepatitis,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
hill-valley,8.0,6.0,8.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,8.0,7.0,7.0,8.0,14.0,6.0,7.0,9.0,6.0,7.0,7.0,7.0,8.0,8.0,6.0,9.0,7.0,8.0
horse-colic,4.0,4.0,5.0,5.0,4.0,5.0,6.0,7.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,5.0,4.0,5.0
ilpd-indian-liver,6.0,4.0,5.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,22.0,6.0,6.0,6.0,5.0,6.0,4.0,8.0,6.0,4.0,6.0
image-segmentation,31.0,38.0,26.0,30.0,24.0,22.0,27.0,25.0,25.0,26.0,28.0,25.0,29.0,25.0,27.0,22.0,29.0,31.0,22.0,29.0,33.0,23.0,25.0,29.0,23.0,30.0,29.0,25.0,26.0,20.0
ionosphere,5.0,4.0,4.0,4.0,4.0,5.0,15.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0
iris,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0
led-display,19.0,20.0,21.0,18.0,20.0,16.0,17.0,18.0,18.0,15.0,23.0,16.0,15.0,19.0,18.0,17.0,17.0,21.0,20.0,14.0,16.0,22.0,16.0,18.0,16.0,19.0,16.0,20.0,18.0,22.0
lenses,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
letter,745.0,780.0,703.0,768.0,784.0,763.0,651.0,748.0,705.0,756.0,809.0,813.0,688.0,734.0,664.0,673.0,715.0,756.0,744.0,741.0,748.0,736.0,737.0,693.0,712.0,722.0,705.0,736.0,704.0,678.0
libras,10.0,11.0,11.0,9.0,8.0,8.0,9.0,12.0,9.0,10.0,12.0,11.0,9.0,11.0,9.0,12.0,9.0,9.0,11.0,11.0,11.0,12.0,11.0,12.0,9.0,9.0,8.0,11.0,9.0,12.0
low-res-spect,10.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,8.0,17.0,9.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,7.0,8.0,10.0,8.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0
lung-cancer,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
lymphography,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,9.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0
magic,77.0,80.0,90.0,112.0,79.0,77.0,80.0,81.0,66.0,86.0,80.0,85.0,89.0,75.0,88.0,86.0,75.0,75.0,80.0,86.0,86.0,101.0,82.0,89.0,84.0,85.0,92.0,83.0,86.0,77.0
mammographic,5.0,10.0,6.0,8.0,6.0,6.0,8.0,5.0,7.0,7.0,8.0,6.0,11.0,7.0,8.0,8.0,9.0,8.0,6.0,9.0,7.0,5.0,6.0,8.0,7.0,7.0,7.0,6.0,6.0,8.0
