folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,32.0,26.0,24.0,27.0,25.0,23.0,26.0,31.0,26.0,32.0,23.0,33.0,32.0,31.0,26.0,26.0,32.0,27.0,33.0,28.0,29.0,31.0,31.0,29.0,32.0,29.0,34.0,34.0,32.0,35.0
acute-inflammation,5.0,4.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0
acute-nephritis,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0
adult,264.0,253.0,323.0,239.0,260.0,263.0,230.0,268.0,210.0,229.0,209.0,203.0,205.0,229.0,255.0,258.0,254.0,241.0,209.0,222.0,235.0,252.0,206.0,196.0,223.0,211.0,247.0,295.0,211.0,207.0
annealing,10.0,8.0,11.0,8.0,13.0,8.0,13.0,13.0,12.0,7.0,8.0,9.0,11.0,11.0,12.0,7.0,9.0,9.0,12.0,8.0,9.0,10.0,9.0,12.0,9.0,8.0,9.0,8.0,9.0,12.0
arrhythmia,11.0,9.0,10.0,10.0,9.0,10.0,11.0,12.0,9.0,13.0,12.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,11.0,12.0,12.0,11.0,13.0,15.0,18.0,23.0,22.0,23.0,26.0
audiology-std,10.0,10.0,11.0,9.0,8.0,12.0,8.0,8.0,7.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0
balance-scale,6.0,8.0,5.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,9.0,9.0,6.0,9.0,9.0,8.0,6.0,8.0,9.0,7.0,11.0,9.0,8.0,7.0,6.0,7.0,6.0,9.0
balloons,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0
bank,25.0,18.0,20.0,26.0,26.0,27.0,26.0,26.0,26.0,28.0,25.0,23.0,23.0,22.0,23.0,23.0,22.0,24.0,24.0,28.0,26.0,28.0,27.0,23.0,23.0,24.0,22.0,22.0,25.0,26.0
blood,9.0,9.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,12.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
breast-cancer,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0
breast-cancer-wisc,5.0,6.0,8.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,5.0
