CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
30.5,24.0,29.5,28.0,29.0,28.0,28.5,31.0,31.0,31.0,30.0,31.0,35.5,41.5,25.0,34.5,58.5
3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,8.5,3.0,4.0,27.5
3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,28.0
198.0,198.5,199.5,225.0,227.5,237.0,224.5,230.5,241.0,237.0,224.0,222.5,277.0,287.0,296.0,285.0,241.5
8.5,9.0,9.0,10.5,10.0,11.0,10.0,11.0,11.0,9.0,11.0,11.0,12.0,12.0,12.5,13.0,69.0
10.0,10.0,9.0,11.0,10.0,10.5,11.0,12.0,13.0,11.0,13.0,13.0,13.0,13.0,14.0,19.0,105.0
6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.5,9.0,82.5
6.0,6.0,6.0,6.0,6.0,6.0,6.5,7.0,7.0,8.0,7.0,7.0,6.0,8.0,9.0,9.0,54.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,38.0
18.0,18.0,19.0,21.0,22.0,22.0,21.0,22.0,21.5,25.0,22.0,23.0,19.0,20.0,25.0,24.0,72.0
5.0,5.0,5.0,6.0,6.0,6.5,6.0,6.0,6.5,7.0,6.0,6.0,5.5,5.0,7.0,6.0,54.0
3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,5.0,4.0,4.5,4.0,5.0,5.0,47.0
5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,45.5,7.0,46.0
4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.5,5.0,5.0,47.5,5.0,47.5
3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,40.5,4.0,39.5
3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,36.0,36.0,36.0
13.0,13.0,13.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,14.0,14.5,12.0,14.0,74.0,80.0,74.0
14.0,13.0,14.0,16.0,15.0,16.0,15.0,15.0,15.0,16.0,15.0,15.0,60.0,67.0,66.0,67.5,67.5
29.0,28.0,30.0,34.0,34.0,33.5,34.0,33.0,33.5,35.0,33.0,32.0,100.0,97.0,99.0,100.0,98.5
654.0,680.0,655.0,751.5,744.5,782.5,759.0,763.5,735.0,751.5,737.5,762.5,885.5,848.0,805.0,841.0,791.0
13.5,12.0,13.0,16.0,14.0,14.0,14.5,17.0,17.0,14.0,16.0,16.0,70.5,72.0,67.5,67.5,70.5
4.0,4.0,4.0,4.0,4.5,4.0,5.0,6.0,5.0,5.0,6.0,5.0,48.5,49.0,49.0,48.5,48.0
3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,43.0,43.0,43.0,43.0,42.0
16.0,15.0,16.0,18.0,17.0,18.0,17.5,18.5,20.0,19.5,20.5,20.0,80.0,79.5,76.5,78.0,76.0
274.0,287.0,282.5,328.0,315.5,318.0,310.5,367.0,358.5,349.5,356.0,378.0,338.5,341.0,330.0,350.0,349.5
10.0,10.0,11.0,11.0,11.0,11.5,12.0,13.0,14.0,14.5,12.5,14.0,66.0,64.5,67.0,66.5,67.0
5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,51.0,53.0,52.5,51.0,52.0
4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.5,5.5,5.0,51.0,53.0,51.5,52.0,52.0
5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.5,7.0,56.0,58.0,56.0,56.0,56.5
4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,37.5,38.0,38.0,38.0,39.0
6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,7.5,7.5,9.0,60.5,59.0,60.0,60.0,60.0
6.0,6.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,56.0,55.0,57.0,57.0,57.0
6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.5,8.0,8.0,9.0,8.0,56.0,56.5,57.0,56.5,58.5
3.0,3.0,3.0,3.0,3.0,3.5,3.0,4.0,3.5,4.0,4.0,3.5,35.5,35.0,35.0,35.0,35.0
4.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,5.5,6.0,6.0,54.5,55.5,55.0,55.0,55.0
4.0,4.0,4.0,5.0,5.0,4.5,5.0,5.0,6.0,5.0,5.0,5.0,53.0,53.0,53.5,53.5,53.5
4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.5,43.5,44.0,43.0,44.0,42.5
3.0,4.0,3.5,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,43.0,43.0,42.5,42.0,42.0
5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,52.0,53.0,53.0,53.0,53.0
4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.5,5.0,4.0,44.5,44.0,44.0,43.5,44.0
3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,44.0,44.5,44.0,43.0,44.0
4.0,4.0,4.0,4.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,48.0,48.5,49.0,49.0,48.5
3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,38.0,38.5,38.0,38.5,37.5
7.0,6.0,7.0,7.5,8.0,8.0,8.0,9.0,9.0,8.5,8.0,8.0,58.0,59.5,57.0,58.0,55.5
4.0,4.0,4.0,4.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,46.5,46.5,46.0,46.0,46.0
4.0,4.0,4.5,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,50.0,49.0,50.0,49.0,49.0
23.0,22.0,23.0,29.0,26.5,28.5,27.0,29.0,29.0,28.0,31.0,30.0,86.0,87.5,85.5,87.5,88.5
4.0,4.0,4.0,4.5,4.0,4.0,4.5,5.0,5.0,5.0,5.0,5.0,47.0,47.0,47.0,46.0,47.0
4.0,3.0,3.0,3.0,3.5,3.0,3.0,4.0,4.0,5.0,4.0,4.0,40.0,40.0,40.0,41.0,41.5
16.0,16.0,16.0,18.0,18.0,16.0,18.0,21.0,20.5,22.5,20.0,20.0,79.0,78.0,78.0,77.0,76.5
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,4.0,3.0,32.0,32.5,33.0,32.5,32.5
637.5,638.0,613.0,736.0,736.5,748.5,715.0,838.0,765.5,845.5,798.5,796.5,847.5,786.5,764.5,818.5,815.5
8.5,8.0,8.0,10.0,11.0,9.0,10.0,11.0,10.0,11.0,11.0,11.0,67.5,69.5,66.5,65.5,66.5
8.0,8.0,8.0,9.5,9.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,70.5,71.0,72.0,69.5,71.5
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,33.0,34.0,33.5,34.0,34.0
3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,44.0,43.0,43.5,44.0,43.0
75.5,72.5,77.0,82.0,84.5,85.5,84.0,106.0,105.5,88.0,101.0,103.5,146.0,147.0,144.5,137.0,147.0
6.0,6.5,6.0,7.0,7.0,6.0,7.0,8.0,7.0,8.0,8.0,7.0,58.0,57.0,57.5,59.5,58.0
542.5,551.0,543.5,632.5,625.5,639.5,652.0,740.5,741.5,752.0,740.5,726.5,761.5,767.0,771.0,769.0,746.0
5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,32.0,32.0,32.0,33.0,32.5
21.0,18.0,19.0,22.0,22.0,22.0,22.5,24.0,25.5,23.5,26.0,26.0,60.0,59.0,58.5,59.5,59.0
4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,50.5,50.0,50.5,50.0,51.0
4.0,5.0,4.0,5.0,5.0,5.0,8.0,7.0,6.0,5.5,6.0,6.0,50.0,49.0,49.5,50.0,49.5
5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,49.5,48.5,50.0,49.5,50.0
27.0,26.5,29.0,30.0,33.0,32.0,29.5,32.0,34.0,33.0,32.5,34.0,96.5,97.0,95.0,90.5,101.5
4.0,4.0,4.0,5.0,5.0,5.5,5.0,5.0,5.0,5.0,5.5,5.0,47.0,47.5,48.0,47.0,47.0
25.0,26.0,26.0,28.0,29.5,28.0,30.0,31.0,32.5,33.0,31.5,32.0,88.0,91.0,85.0,87.0,89.5
100.5,99.0,101.5,118.5,116.0,121.5,115.5,131.0,127.5,148.5,128.5,131.0,212.5,204.5,209.5,213.0,201.5
6.5,6.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,55.5,58.5,54.0,55.0,55.0
8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,58.0,60.0,58.5,60.0,58.5
6.0,5.5,6.0,7.0,6.0,7.0,6.0,8.0,7.0,7.0,8.0,7.0,55.0,55.0,53.5,54.5,54.0
7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,8.5,9.0,9.0,59.0,59.0,60.0,59.5,58.0
77.0,77.0,77.5,93.0,92.0,90.0,89.0,105.5,106.0,96.5,105.0,105.0,172.0,176.5,176.0,171.5,170.0
11.0,11.0,11.0,12.5,13.0,12.0,13.0,16.0,15.0,13.5,14.0,15.0,70.0,71.5,65.5,65.5,71.5
42.0,40.5,43.0,49.0,51.0,50.0,48.0,59.5,57.5,61.0,59.0,58.0,130.0,118.5,118.5,126.0,120.0
3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,40.0,39.0,39.0,39.0,39.0
146.0,155.0,146.5,172.0,169.5,180.0,172.5,196.5,191.5,199.0,199.0,194.0,233.5,238.5,239.0,238.0,228.5
5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,6.5,6.0,6.0,53.0,52.0,51.5,52.0,52.0
3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,39.0,39.5,39.0,39.0,39.0
3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,38.0,38.0,39.0,39.0,39.0
3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,38.0,38.0,38.0,37.5,37.5
3.0,3.0,3.0,4.0,4.0,3.0,3.5,3.0,4.0,3.0,4.0,4.0,38.0,39.0,39.0,39.0,38.5
3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.5,44.0,45.0,44.0,44.5,44.5
3.0,3.0,3.0,4.0,4.0,3.5,3.0,4.0,4.0,4.0,4.0,4.0,40.0,40.0,40.0,39.0,40.0
157.0,154.0,160.5,179.0,181.5,187.5,178.0,201.5,203.0,202.0,201.0,199.5,253.5,233.0,239.0,238.0,235.5
154.5,151.0,154.0,187.0,192.0,175.0,181.5,193.5,198.0,210.0,196.5,199.5,236.5,233.5,219.0,217.5,226.0
152.5,154.0,150.0,182.5,184.0,179.0,176.0,194.0,193.0,197.0,192.0,192.5,250.5,247.0,239.0,255.5,235.5
3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,37.5,37.5,38.0,38.0,37.0
