TRAINTrainTimesSTDDEVS:,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
abalone,3.205598550811614,3.39099551381488,2.842412768200211,2.7561842689011073,4.143961123502904,4.313038238941862,2.643795599590444,3.4073956077312486,3.125902168625258,3.4854376858680123,2.648139663643313,3.024991688028858,37.985780763726396,25.899984467221188,19.366667655845024,19.56586283570819,18.717009290525272
acute-inflammation,0.6260623155792926,0.6149478998583783,0.6746646676632054,0.7279320417946061,0.7239737088005909,0.6149478998583782,0.6617635789938568,0.571346463723366,1.1665845619713493,0.7302967433402215,0.8051557998728978,0.7588557629520363,0.6617635789938568,5.852988233745888,0.7119666788018509,0.8769067893689609,2.1929877797878516
acute-nephritis,0.5959634332684376,0.49013251785356116,0.48423419811150226,0.466091599699399,0.7849152527649012,0.5959634332684376,0.7143842296595069,0.8441822541139558,0.8448627719625691,0.7302967433402212,0.8603661343041528,0.5832922809856746,0.7427813527082074,0.6914918072835209,4.186046882889288,1.1861267013789623,4.439115579305947
adult,18.47362207699611,13.737272061008362,19.624667798637933,14.704796308781656,16.013787163264812,11.159501904593263,20.430425811778246,25.80394694927347,26.3328822891679,29.526551464390664,30.923357239932823,21.682240203214356,37.47840757666685,43.77503881195887,67.79773840869129,37.08833816155972,30.69531395588869
annealing,1.5477087254553343,0.9948141396330239,1.2415229801920011,1.529780992514115,1.2484473115254697,1.1788363637137236,1.525266134682468,1.391683013187774,1.6501480254047287,1.8827712516944,1.3287276776598396,3.4107672646097287,2.796549598196395,1.3514572807192964,1.5387709679981694,1.5643293888377885,14.843861690444893
arrhythmia,2.487670747331012,2.0667037445691365,1.2015315896469554,1.643167672515499,1.2793676598989838,1.2228664272317622,1.2887666740841357,1.373392477244478,1.3565507307349292,4.7499546277324844,1.5521583045227219,1.6344003083137537,1.5013403972802928,1.8569533817705186,5.12924900958209,4.909409216043689,68.83760666927652
audiology-std,0.7588557629520364,0.9222660747548281,0.9153857298880942,1.0333518722845685,1.0080138659874618,0.884736469627909,0.8742813140471173,1.689725543925138,0.8995528902176072,1.224744871391589,0.8709883407113854,1.072648457158112,1.1325893433586842,1.2172137016162359,4.698373404028055,1.2058287558794354,20.05627141291486
balance-scale,0.9732042112432566,1.0504514628777804,0.9444331755018489,1.3978637231524926,1.6470105276411926,0.7302967433402217,1.0742546199601597,0.68144538746106,0.8030115728972382,1.3169976304537112,0.8944271909999157,0.8899179866642241,1.0553639672872461,0.899552890217607,2.0899320783111643,0.8603661343041528,7.1164371816885685
balloons,0.5920934999167601,0.5560534167675355,0.8193072487266859,0.5832922809856749,0.6396838299494919,0.5872202195147035,0.49013251785356104,0.507416263404925,0.6789105539243627,0.5349830806219241,0.6746646676632054,1.2865350418053538,0.49827287912243995,0.44977644510880344,0.507416263404925,0.461133037377414,4.240066145656248
bank,2.3442274417919804,1.7406565018610831,1.900090741934766,1.7564331673207407,2.0254132542705237,1.8118384642924583,1.5085960589122316,2.002584536938755,2.066703744569136,2.3994731222432595,2.333169123942699,2.3004247483863725,3.2199093297721944,2.930026872106187,3.7759066810989665,3.22276385988048,9.74007009816877
blood,0.8550055454548938,0.9684683962230045,1.2077336998093466,1.0482607379429243,0.8866830868758716,1.0613372610104648,0.7466399831028447,0.7849152527649013,0.9878573120474016,1.3256965204630413,0.8304547985373997,1.0199166069132668,0.932183199398798,0.651258728182957,1.1724814044061256,1.1325893433586842,5.712358049243641
breast-cancer,0.6288102248298566,0.6260623155792925,0.5208304597621878,0.6396838299494921,0.6149478998583783,0.6914918072835212,0.791477593876918,0.7760791522613608,0.9071871393197362,0.5832922809856749,0.8276819867946672,0.5959634332684376,0.8603661343041527,0.7302967433402215,0.7396799556440673,1.0416609195243756,3.5207104821116104
breast-cancer-wisc,1.4840144374549435,1.0416609195243756,0.9613209303008453,0.9071871393197365,1.2340942045675147,0.7588557629520365,0.7119666788018508,0.68144538746106,0.6432675209026769,0.8051557998728978,0.9802650357071222,0.7914775938769181,0.9643054793328018,1.2298957997167559,7.766787528041896,1.1167481527997298,5.506631321029865
breast-cancer-wisc-diag,0.5713464637233661,0.9071871393197364,0.6914918072835209,0.7239737088005909,0.5832922809856746,0.8051557998728976,1.0170952554312156,1.4383899044561526,0.9001915504970077,0.8550055454548938,0.6686751354593717,0.8899179866642238,0.7849152527649013,0.909717652294684,5.903534884959267,0.7943767889097848,5.952397372719552
breast-cancer-wisc-prog,0.4901325178535609,0.7497125886079554,0.614947899858378,0.9965457582448796,0.7022132498578064,0.5508613944197479,0.6064784348631228,0.6814453874610598,0.6686751354593718,0.7943767889097847,0.6814453874610599,0.461133037377414,0.8200084103858011,0.6989318615762463,3.8809881429240725,6.291757059562275,4.149643385868845
breast-tissue,0.4901325178535609,0.5560534167675354,0.9732042112432557,1.366680683976335,1.0806553992619583,0.808716877841527,0.9732042112432564,0.5713464637233658,1.0148325268098497,0.5713464637233656,0.9153857298880941,1.0080138659874616,0.7279320417946064,1.1724814044061251,3.7083317189716234,3.4655944407253148,3.6703221068206116
car,1.6681602503026065,5.576634341133785,1.6291172420994589,1.235955584516107,1.4307782626184986,1.9953970019528189,1.6553639735893353,1.408104619937615,1.813423763803275,1.9419743478779765,1.5521583045227219,1.9678449616530895,1.7840287611722119,16.070105035813206,12.201563871878893,12.310587910926257,15.28837737494142
cardiotocography-3clases,1.5070714541175851,1.70900253223113,1.3169976304537114,1.5120207989811931,1.7049623314678064,2.630501896955229,1.3373502709187437,1.8879533405494837,1.8742048122232855,1.4932799662056895,1.4259499757471623,1.9736773542933947,29.864617899763097,14.298139096022089,12.353090729639796,14.058375832025645,13.237703033728904
cardiotocography-10clases,2.803118132431777,4.467507212042883,3.2369987518595416,2.4516004624706307,3.125902168625258,5.739157693815597,3.8160279041848266,4.072475594925569,3.727653725716831,3.328905104595548,3.219909329772194,3.4589547288294997,29.318622225394602,30.929452540948063,26.48185238511699,31.799298770552323,30.87090286464199
chess-krvk,38.82363600493491,38.52248186702672,41.16785097649608,61.5977776132918,46.011005679925766,73.0987680132673,62.2568280887981,83.15149586368135,80.96601387186386,77.5112895003044,52.70443502461978,78.94665738740102,78.7032546903276,110.72418357154956,90.36000157734323,76.77254807501856,101.95099679319688
chess-krvkp,2.234525329522103,1.9133529575668689,2.3183426501874482,2.6272226496006597,2.192201433818704,2.81232917744329,2.591764144228858,1.4890404223224922,1.3982747990981967,2.3183426501874482,3.7479496310358296,2.6140645235596867,26.424496645887235,25.535551057615574,30.157841472805217,28.930833092883375,28.405196222061086
congressional-voting,0.6643638388299199,0.7279320417946061,1.45625878715715,1.224275530553741,0.7738543627276673,4.3607444265885364,1.4605934866804429,0.9732042112432562,1.6938020891595864,0.7768193328323317,0.7302967433402217,1.19433528860584,9.328056800757645,10.253118393035809,9.121718430561028,10.760987434929596,11.302578283828383
conn-bench-sonar-mines-rocks,2.080008841714188,0.5683207771559354,0.571346463723366,0.6608945522512668,0.6149478998583782,0.6214554662658653,0.5683207771559355,0.6617635789938568,0.6686751354593718,0.909717652294684,1.0553639672872464,0.6617635789938568,5.679566115854962,4.8688548064649435,4.413797593388521,4.4700793276408755,4.500957752485038
conn-bench-vowel-deterding,2.0758601596203077,2.416656757807668,3.213477365971199,2.5282314021838475,2.8235463150271594,5.644242310918962,2.9517187667799454,2.968028874909887,2.7628487713469467,3.387604178319173,1.8473342085721574,2.1066397495734197,24.70478570604508,25.27467498114068,25.865278728019945,25.49915482034109,28.02841333402568
connect-4,20.10675531246656,14.543987974654561,18.879563846510937,26.361348403584604,22.568414506414342,18.423997344792458,29.028503629855017,24.958908758933788,26.246422854242024,45.64713484480959,23.096125962653534,38.34561522386297,39.81314113325588,42.848852235865486,40.448633524792754,42.36254309494727,38.24580211356986
contrac,1.2410599844719319,1.2780193008453873,3.9560807262546693,2.025413254270523,1.7237355852380876,1.8270005567822791,3.1264536848765503,1.2242755305537407,1.2298957997167563,4.7002078701892005,1.8659070704090006,1.5643293888377887,12.483736546439914,15.433952719628376,13.566524046808881,11.29647488500666,13.691007200382284
credit-approval,0.8087168778415269,0.8583598366625748,0.773854362727667,0.9352607356658148,1.3565507307349294,0.68144538746106,0.8550055454548938,0.8276819867946675,0.7760791522613607,1.0806553992619585,1.0742546199601595,0.6989318615762463,8.800470206873548,7.59620292320938,7.430598435082351,9.382301754201714,8.577972324238539
cylinder-bands,0.6214554662658653,0.7111590022187594,0.8136762043449725,1.0063019815944514,0.7111590022187594,0.9228890171255887,0.8583598366625749,1.3683617186633978,0.889917986664224,1.2359555845161077,0.9371024061116423,1.0827805840074194,34.82739046263417,34.49271120739542,35.222184754080416,35.63094677125619,35.18791916513981
dermatology,0.6686751354593717,0.8276819867946673,0.9371024061116429,0.8339078479367938,0.9732042112432567,0.9684683962230045,0.9855274566525744,3.9181276316540576,0.8995528902176069,0.9352607356658147,0.819307248726686,0.8441822541139559,10.077914854576415,11.137025335938379,10.146116407814349,10.351078571154165,11.70759651217764
echocardiogram,2.1764148522732056,0.7701320979389588,0.48066046515042277,0.5832922809856749,0.5683207771559353,0.6214554662658655,0.7022132498578064,0.5713464637233658,2.128352662852485,0.7588557629520364,0.546672273590534,1.7366899418212192,4.417311815817502,3.7016616337227135,3.8176841990502774,4.561331727295964,4.666338247885398
ecoli,0.9228890171255885,0.8866830868758715,0.909717652294684,0.8944271909999157,1.5554871358790008,1.0699661612438482,0.9377154924749757,1.0613372610104645,0.8172001541568763,1.040004420857094,1.5774998406105898,1.6262925893598905,18.36854507781882,17.652976695359246,17.788702342624173,17.506517669700628,16.792034236300957
energy-y1,0.7111590022187594,0.889917986664224,0.924755326447544,1.1957780134587126,1.284746944983205,1.7436255002314778,1.1121068335350712,0.7738543627276673,0.8899179866642235,0.7648904962570577,0.7580980435789032,0.7738543627276671,43.84587688187145,44.0467489373963,44.778753685304764,44.966194198415934,44.731908948321426
energy-y2,1.0221680811915899,1.0400044208570938,0.7279320417946061,0.9878573120474016,1.0827805840074194,1.1885468767200222,1.0482607379429243,2.2732831086237417,0.8087168778415268,1.142692927446732,1.688704869990916,1.1566896880679616,11.227224711060328,8.30703897617702,7.1006718153907835,7.582875444051551,7.462473165588365
fertility,0.5683207771559352,0.6617635789938568,0.607425318241987,0.4301830671520762,0.6074253182419871,0.507416263404925,0.5959634332684376,0.6260623155792926,0.6288102248298566,0.6643638388299199,0.6686751354593718,0.572351471472339,3.8230997834248313,4.101583658265076,3.720709362597344,3.5572493570883883,3.5519138438344737
flags,0.7701320979389588,0.7497125886079554,0.7701320979389588,0.8136762043449725,1.9419743478779767,5.981196589619687,0.9732042112432564,1.7207322686083055,0.935260735665815,1.8096167118144544,1.50248835748162,1.1566896880679616,18.598634234865173,18.12396647865859,18.06679815026168,18.117781955540412,18.22531396068439
glass,0.563241847975046,0.5713464637233658,0.718395402284138,0.7943767889097848,0.6914918072835209,0.572351471472339,1.3767361035618173,0.6477192523656045,1.6887048699909157,0.8276819867946671,1.1957780134587124,0.6617635789938568,6.965926925473343,8.306554675358049,8.219964482402222,12.445005460807971,8.65886032159923
haberman-survival,0.571346463723366,0.6102571532587294,0.7760791522613608,0.7611243951073874,0.6288102248298566,0.6396838299494921,1.1788363637137234,0.718395402284138,0.651258728182957,0.8022955570857537,0.7302967433402217,0.6288102248298566,5.334877649977541,6.23717074085476,4.205770529537536,5.559397139234084,4.627379785381887
hayes-roth,1.473521078171634,0.5560534167675354,0.572351471472339,0.7466399831028447,2.4173700918393815,0.5713464637233656,0.5477225575051661,2.0465839213495345,0.6432675209026769,0.6149478998583782,1.1919268665368759,0.6288102248298565,3.5208737160167973,3.0738047859402142,3.4977825487901177,3.397768030076052,3.316451503446514
heart-cleveland,0.6149478998583782,0.8603661343041528,0.889917986664224,1.2452207485597395,0.8742813140471174,0.8502873077655143,0.9714309861845775,0.7648904962570576,2.0703156514289613,0.9643054793328018,0.7279320417946061,1.3666806839763355,8.572945952171318,9.90535673027595,10.223985771580049,9.6654378925723,10.593046949681709
heart-hungarian,0.546672273590534,0.614947899858378,0.639683829949492,0.6064784348631226,0.876906789368961,1.0080138659874618,0.5208304597621877,0.4806604651504226,0.7648904962570576,1.407696414502182,1.2298957997167559,0.7849152527649012,4.03091501548581,4.748381454430721,4.020064618912224,3.847823687025795,4.616935342196487
heart-switzerland,0.5683207771559355,0.6608945522512668,0.6789105539243626,0.7022132498578064,1.3796551293211177,0.6477192523656046,12.854624821843103,0.607425318241987,0.8051557998728978,0.7466399831028447,0.6149478998583782,0.5683207771559353,3.1403931227661994,3.554016668891498,3.004976714963239,3.3869255037299077,2.8488755595889037
heart-va,0.5832922809856745,0.6686751354593718,0.8448627719625692,0.7701320979389588,5.907816758378235,0.7239737088005909,0.682288239221013,0.7119666788018508,0.5959634332684376,0.889917986664224,0.9595257449242384,0.6214554662658653,9.419288110348207,9.311036585625178,9.620380664918152,9.140600347495985,8.92529660796939
hepatitis,1.332614748892386,0.6260623155792924,0.7111590022187596,0.5683207771559353,0.5683207771559353,0.6746646676632054,0.8840866447369844,2.582211473128029,0.68144538746106,0.8030115728972383,0.6948083337796512,0.5040069329937308,5.298991446004379,5.524865421984003,5.379932914165337,5.777085133843724,5.628437646881022
hill-valley,0.9714309861845772,1.0742546199601597,0.9128709291752768,6.22277980533998,1.489040422322492,0.9071871393197362,1.1351236704106016,1.0482607379429243,1.3169976304537117,1.6344003083137535,1.0416609195243756,0.9371024061116424,14.219785471327432,12.86128468226098,13.19286641097874,13.962840668726042,15.098298602480186
