TRAINTrainTimes,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
AvgTRAINTrainTimesOverDsets:,40.574380165289256,41.02479338842975,40.68181818181818,46.88429752066116,46.69421487603306,47.49173553719008,46.55785123966942,51.44214876033058,50.574380165289256,51.917355371900825,50.63223140495868,50.90909090909091,91.16528925619835,90.91735537190083,91.47933884297521,91.82644628099173,95.46694214876032
AvgTRAINTrainTimesRankOverDsets:,2.830578512396694,2.896694214876033,3.190082644628099,6.239669421487603,6.276859504132231,6.3347107438016526,6.371900826446281,9.144628099173554,9.214876033057852,9.227272727272727,9.264462809917354,9.347107438016529,13.87603305785124,14.5,14.652892561983471,14.702479338842975,14.929752066115702
StddevOfTRAINTrainTimesOverDsets:,114.91913209508503,117.68143529673081,114.6970466053943,132.40488347505948,131.5562834540922,135.5906674435824,131.55890933473245,146.14302626312465,141.32307344575497,147.0976623866413,142.22218194013433,142.80142097799074,145.0901356115936,141.49059667087772,137.38882470162034,142.64131459047613,135.48772600524234
AvgOfStddevsOfTRAINTrainTimesOverDsetFolds:,3.652351350701693,3.423115050524135,3.702954274057771,4.214653463916296,4.153320227588692,4.637129490740644,4.453542285536275,5.128531110165764,5.331041817981284,5.945530952524471,5.0574354945368425,5.003200220644686,16.604467057547684,17.32053709278481,17.542525741934718,17.016118663276032,18.031397732833625
StddevsOfTRAINTrainTimesRanksOverDsets:,1.925220462492828,1.9114974010051866,1.8214648390182036,1.9473263439411392,2.0217055642278274,2.522720447711215,2.1267433296198774,2.364175346472956,2.101414648795139,2.747726332806816,2.1194283625595927,2.162986915516184,3.3287140858843287,2.713392710243027,2.2049593488378756,1.7825292335105098,1.6102610879450145

flat,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
CAWPE_alpha=8,0|121|0,33|60|28,19|63|39,4|25|92,4|25|92,4|30|87,4|24|93,1|13|107,1|11|109,1|15|105,2|9|110,1|8|112,2|2|117,0|2|119,1|1|119,0|1|120,0|0|121
CAWPE_alpha=4,28|60|33,0|121|0,25|59|37,1|33|87,1|30|90,3|36|82,1|30|90,1|14|106,0|16|105,2|16|103,0|10|111,0|13|108,3|3|115,0|6|115,0|1|120,0|2|119,0|0|121
CAWPE_alpha=12,39|63|19,37|59|25,0|121|0,2|35|84,2|32|87,2|37|82,2|34|85,0|17|104,0|17|104,1|22|98,0|12|109,0|12|109,2|5|114,0|4|117,2|0|119,0|3|118,0|0|121
CAWPE_alpha=11,92|25|4,87|33|1,84|35|2,0|121|0,29|65|27,31|56|34,29|62|30,7|37|77,5|40|76,6|41|74,10|31|80,6|37|78,6|3|112,3|6|112,1|1|119,0|4|117,0|0|121
CAWPE_alpha=7,92|25|4,90|30|1,87|32|2,27|65|29,0|121|0,34|50|37,31|59|31,8|39|74,7|38|76,6|38|77,8|38|75,5|40|76,6|3|112,2|7|112,1|1|119,0|4|117,0|0|121
CAWPE_alpha=3,87|30|4,82|36|3,82|37|2,34|56|31,37|50|34,0|121|0,38|48|35,10|36|75,9|35|77,10|36|75,12|28|81,14|28|79,7|3|111,3|6|112,2|1|118,1|3|117,1|0|120
CAWPE_alpha=15,93|24|4,90|30|1,85|34|2,30|62|29,31|59|31,35|48|38,0|121|0,8|37|76,8|41|72,11|39|71,12|31|78,9|37|75,7|2|112,2|7|112,1|1|119,0|4|117,0|0|121
CAWPE_alpha=2,107|13|1,106|14|1,104|17|0,77|37|7,74|39|8,75|36|10,76|37|8,0|121|0,28|58|35,33|46|42,31|57|33,33|52|36,10|5|106,9|4|108,5|1|115,5|3|113,3|0|118
CAWPE_alpha=6,109|11|1,105|16|0,104|17|0,76|40|5,76|38|7,77|35|9,72|41|8,35|58|28,0|121|0,35|46|40,35|53|33,23|69|29,10|5|106,6|7|108,5|1|115,4|3|114,2|0|119
CAWPE_pb,105|15|1,103|16|2,98|22|1,74|41|6,77|38|6,75|36|10,71|39|11,42|46|33,40|46|35,0|121|0,40|42|39,43|39|39,9|5|107,6|8|107,5|3|113,4|4|113,3|1|117
CAWPE_alpha=14,110|9|2,111|10|0,109|12|0,80|31|10,75|38|8,81|28|12,78|31|12,33|57|31,33|53|35,39|42|40,0|121|0,29|58|34,10|6|105,7|7|107,5|3|113,3|5|113,2|0|119
CAWPE_alpha=10,112|8|1,108|13|0,109|12|0,78|37|6,76|40|5,79|28|14,75|37|9,36|52|33,29|69|23,39|39|43,34|58|29,0|121|0,11|4|106,8|7|106,5|2|114,4|4|113,2|0|119
CAWPE_alpha=1,117|2|2,115|3|3,114|5|2,112|3|6,112|3|6,111|3|7,112|2|7,106|5|10,106|5|10,107|5|9,105|6|10,106|4|11,0|121|0,35|25|61,45|22|54,43|21|57,46|18|57
CAWPE_eq,119|2|0,115|6|0,117|4|0,112|6|3,112|7|2,112|6|3,112|7|2,108|4|9,108|7|6,107|8|6,107|7|7,106|7|8,61|25|35,0|121|0,53|24|44,51|23|47,51|22|48
CAWPE_alpha=9,119|1|1,120|1|0,119|0|2,119|1|1,119|1|1,118|1|2,119|1|1,115|1|5,115|1|5,113|3|5,113|3|5,114|2|5,54|22|45,44|24|53,0|121|0,47|29|45,44|29|48
CAWPE_alpha=5,120|1|0,119|2|0,118|3|0,117|4|0,117|4|0,117|3|1,117|4|0,113|3|5,114|3|4,113|4|4,113|5|3,113|4|4,57|21|43,47|23|51,45|29|47,0|121|0,47|29|45
CAWPE_alpha=13,121|0|0,121|0|0,121|0|0,121|0|0,121|0|0,120|0|1,121|0|0,118|0|3,119|0|2,117|1|3,119|0|2,119|0|2,57|18|46,48|22|51,48|29|44,45|29|47,0|121|0



p=0.01,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
CAWPE_alpha=8,0|121|0,5|114|2,3|118|0,3|54|64,2|66|53,1|63|57,2|63|56,1|27|93,0|23|98,1|33|87,0|23|98,1|22|98,1|9|111,0|6|115,0|3|118,0|2|119,0|0|121
CAWPE_alpha=4,2|114|5,0|121|0,1|112|8,0|56|65,0|67|54,0|62|59,0|56|65,0|27|94,0|28|93,0|27|94,0|26|95,0|25|96,0|9|112,0|7|114,0|3|118,0|3|118,0|0|121
CAWPE_alpha=12,0|118|3,8|112|1,0|121|0,1|64|56,0|72|49,0|70|51,1|64|56,0|35|86,0|31|90,0|35|86,0|28|93,0|31|90,0|10|111,0|8|113,1|2|118,0|4|117,0|0|121
CAWPE_alpha=11,64|54|3,65|56|0,56|64|1,0|121|0,1|120|0,6|109|6,4|113|4,1|79|41,1|76|44,1|79|41,2|68|51,1|74|46,2|11|108,1|8|112,0|6|115,0|5|116,0|2|119
CAWPE_alpha=7,53|66|2,54|67|0,49|72|0,0|120|1,0|121|0,9|103|9,5|111|5,2|73|46,1|70|50,1|79|41,3|66|52,1|69|51,3|10|108,1|9|111,0|5|116,0|5|116,0|1|120
CAWPE_alpha=3,57|63|1,59|62|0,51|70|0,6|109|6,9|103|9,0|121|0,9|106|6,3|76|42,2|76|43,2|76|43,1|72|48,2|74|45,5|8|108,1|10|110,0|7|114,0|5|116,0|3|118
CAWPE_alpha=15,56|63|2,65|56|0,56|64|1,4|113|4,5|111|5,6|106|9,0|121|0,2|79|40,3|74|44,0|74|47,2|68|51,3|73|45,2|10|109,1|8|112,0|4|117,0|4|117,0|3|118
CAWPE_alpha=2,93|27|1,94|27|0,86|35|0,41|79|1,46|73|2,42|76|3,40|79|2,0|121|0,3|113|5,8|99|14,3|108|10,4|110|7,7|13|101,3|15|103,3|8|110,1|10|110,1|6|114
CAWPE_alpha=6,98|23|0,93|28|0,90|31|0,44|76|1,50|70|1,43|76|2,44|74|3,5|113|3,0|121|0,9|102|10,2|114|5,0|121|0,7|13|101,1|16|104,2|9|110,0|12|109,1|7|113
CAWPE_pb,87|33|1,94|27|0,86|35|0,41|79|1,41|79|1,43|76|2,47|74|0,14|99|8,10|102|9,0|121|0,14|97|10,12|96|13,8|12|101,2|16|103,2|11|108,1|13|107,1|7|113
CAWPE_alpha=14,98|23|0,95|26|0,93|28|0,51|68|2,52|66|3,48|72|1,51|68|2,10|108|3,5|114|2,10|97|14,0|121|0,3|117|1,7|12|102,3|13|105,1|9|111,1|11|109,1|5|115
CAWPE_alpha=10,98|22|1,96|25|0,90|31|0,46|74|1,51|69|1,45|74|2,45|73|3,7|110|4,0|121|0,13|96|12,1|117|3,0|121|0,10|10|101,4|14|103,2|9|110,1|13|107,0|7|114
CAWPE_alpha=1,111|9|1,112|9|0,111|10|0,108|11|2,108|10|3,108|8|5,109|10|2,101|13|7,101|13|7,101|12|8,102|12|7,101|10|10,0|121|0,0|116|5,1|108|12,0|110|11,1|104|16
CAWPE_eq,115|6|0,114|7|0,113|8|0,112|8|1,111|9|1,110|10|1,112|8|1,103|15|3,104|16|1,103|16|2,105|13|3,103|14|4,5|116|0,0|121|0,2|107|12,1|112|8,1|105|15
CAWPE_alpha=9,118|3|0,118|3|0,118|2|1,115|6|0,116|5|0,114|7|0,117|4|0,110|8|3,110|9|2,108|11|2,111|9|1,110|9|2,12|108|1,12|107|2,0|121|0,6|114|1,1|109|11
CAWPE_alpha=5,119|2|0,118|3|0,117|4|0,116|5|0,116|5|0,116|5|0,117|4|0,110|10|1,109|12|0,107|13|1,109|11|1,107|13|1,11|110|0,8|112|1,1|114|6,0|121|0,1|106|14
CAWPE_alpha=13,121|0|0,121|0|0,121|0|0,119|2|0,120|1|0,118|3|0,118|3|0,114|6|1,113|7|1,113|7|1,115|5|1,114|7|0,16|104|1,15|105|1,11|109|1,14|106|1,0|121|0



p=0.05,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
CAWPE_alpha=8,0|121|0,8|109|4,3|113|5,3|39|79,2|46|73,2|52|67,3|48|70,1|24|96,0|22|99,1|29|91,1|16|104,1|20|100,1|6|114,0|5|116,0|3|118,0|2|119,0|0|121
CAWPE_alpha=4,4|109|8,0|121|0,4|105|12,0|50|71,0|51|70,0|50|71,0|48|73,0|24|97,0|23|98,0|25|96,0|20|101,0|19|102,0|8|113,0|7|114,0|3|118,0|3|118,0|0|121
CAWPE_alpha=12,5|113|3,12|105|4,0|121|0,2|48|71,0|52|69,0|58|63,1|52|68,0|27|94,0|24|97,0|30|91,0|21|100,0|20|101,1|8|112,0|8|113,1|2|118,0|4|117,0|0|121
CAWPE_alpha=11,79|39|3,71|50|0,71|48|2,0|121|0,1|117|3,9|99|13,7|106|8,3|65|53,1|65|55,1|67|53,3|53|65,3|64|54,5|7|109,1|8|112,0|5|116,0|4|117,0|1|120
CAWPE_alpha=7,73|46|2,70|51|0,69|52|0,3|117|1,0|121|0,10|95|16,6|107|8,3|61|57,1|60|60,1|67|53,3|57|61,3|58|60,5|6|110,1|8|112,0|4|117,0|5|116,0|1|120
CAWPE_alpha=3,67|52|2,71|50|0,63|58|0,13|99|9,16|95|10,0|121|0,13|96|12,4|66|51,4|59|58,4|62|55,3|60|58,3|58|60,5|7|109,1|9|111,0|6|115,0|5|116,0|2|119
CAWPE_alpha=15,70|48|3,73|48|0,68|52|1,8|106|7,8|107|6,12|96|13,0|121|0,3|64|54,5|61|55,2|64|55,3|59|59,4|61|56,4|7|110,1|8|112,0|3|118,0|4|117,0|1|120
CAWPE_alpha=2,96|24|1,97|24|0,94|27|0,53|65|3,57|61|3,51|66|4,54|64|3,0|121|0,6|103|12,12|91|18,8|98|15,6|99|16,9|8|104,6|9|106,4|6|111,4|7|110,2|4|115
CAWPE_alpha=6,99|22|0,98|23|0,97|24|0,55|65|1,60|60|1,58|59|4,55|61|5,12|103|6,0|121|0,14|90|17,3|110|8,1|117|3,9|10|102,2|14|105,3|6|112,1|8|112,1|5|115
CAWPE_pb,91|29|1,96|25|0,91|30|0,53|67|1,53|67|1,55|62|4,55|64|2,18|91|12,17|90|14,0|121|0,21|81|19,18|84|19,8|10|103,3|15|103,3|8|110,1|11|109,1|6|114
CAWPE_alpha=14,104|16|1,101|20|0,100|21|0,65|53|3,61|57|3,58|60|3,59|59|3,15|98|8,8|110|3,19|81|21,0|121|0,8|107|6,7|11|103,4|12|105,3|6|112,1|9|111,1|3|117
CAWPE_alpha=10,100|20|1,102|19|0,101|20|0,54|64|3,60|58|3,60|58|3,56|61|4,16|99|6,3|117|1,19|84|18,6|107|8,0|121|0,11|7|103,5|13|103,3|6|112,2|9|110,2|2|117
CAWPE_alpha=1,114|6|1,113|8|0,112|8|1,109|7|5,110|6|5,109|7|5,110|7|4,104|8|9,102|10|9,103|10|8,103|11|7,103|7|11,0|121|0,0|116|5,3|106|12,0|110|11,2|102|17
CAWPE_eq,116|5|0,114|7|0,113|8|0,112|8|1,112|8|1,111|9|1,112|8|1,106|9|6,105|14|2,103|15|3,105|12|4,103|13|5,5|116|0,0|121|0,2|107|12,1|110|10,1|104|16
CAWPE_alpha=9,118|3|0,118|3|0,118|2|1,116|5|0,117|4|0,115|6|0,118|3|0,111|6|4,112|6|3,110|8|3,112|6|3,112|6|3,12|106|3,12|107|2,0|121|0,8|111|2,1|109|11
CAWPE_alpha=5,119|2|0,118|3|0,117|4|0,117|4|0,116|5|0,116|5|0,117|4|0,110|7|4,112|8|1,109|11|1,111|9|1,110|9|2,11|110|0,10|110|1,2|111|8,0|121|0,1|106|14
CAWPE_alpha=13,121|0|0,121|0|0,121|0|0,120|1|0,120|1|0,119|2|0,120|1|0,115|4|2,115|5|1,114|6|1,117|3|1,117|2|2,17|102|2,16|104|1,11|109|1,14|106|1,0|121|0



T TEST,CAWPE_alpha=8,CAWPE_alpha=4,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=7,CAWPE_alpha=3,CAWPE_alpha=15,CAWPE_alpha=2,CAWPE_alpha=6,CAWPE_pb,CAWPE_alpha=14,CAWPE_alpha=10,CAWPE_alpha=1,CAWPE_eq,CAWPE_alpha=9,CAWPE_alpha=5,CAWPE_alpha=13
CAWPE_alpha=8,0.0,0.18968545,0.67121349,1.4258E-4,1.0881E-4,3.7764E-4,1.901E-4,3.1331E-4,1.363E-4,2.943E-4,1.8822E-4,1.3759E-4,0.0,0.0,0.0,0.0,0.0
