TRAINACCSTDDEVS:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
abalone,0.007802236862692324,0.008026394373089484,0.007851278806815439
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.006085806194501843,0.006709631665607486
adult,0.0017782437982232703,0.001626997595667758,0.0016956635335019985
annealing,0.008629802171249104,0.010085184331378809,0.009744683078594801
arrhythmia,0.022279940380684423,0.021641136648961373,0.021752927896527222
audiology-std,0.031158070402598468,0.033159267739759225,0.03446504374148062
balance-scale,0.013359931189156935,0.009423746044078023,0.009362778760772074
balloons,0.17435918664535122,0.21050301116737616,0.1975690877952917
bank,0.0039050936325971926,0.004240093436811,0.004259870753817846
blood,0.015297070337512235,0.016637213922260915,0.017625579009110614
breast-cancer,0.02540355078897445,0.03196194127516351,0.034358294141406134
breast-cancer-wisc,0.008693688869482569,0.008647978120511846,0.008810141831781944
breast-cancer-wisc-diag,0.006961861026715632,0.007382117872837484,0.007512242981184078
breast-cancer-wisc-prog,0.028705576300254367,0.0307876746716782,0.03318423523661212
breast-tissue,0.05433027285589062,0.0567975112802346,0.055720808882089336
car,0.003407642070824285,0.003462678247288051,0.0033760185775829994
cardiotocography-3clases,0.006651287914615921,0.007091201569778484,0.007203844320403145
cardiotocography-10clases,0.00985012470620343,0.010799084367402621,0.009793046809355293
chess-krvk,0.0034748885603687533,0.003647427380881698,0.0037524109608017883
chess-krvkp,0.0016022137256092377,0.0015642111538965978,0.0015398187671142323
congressional-voting,0.01881588003179596,0.020806952699770995,0.02163795745351994
conn-bench-sonar-mines-rocks,0.02169442067497188,0.02934670844826743,0.030025545751740833
conn-bench-vowel-deterding,0.007735571951910898,0.007663985643464118,0.007777905942994163
connect-4,0.001231443557497587,0.001459936262548177,0.0015068496111067511
contrac,0.017058425054321077,0.016039916527308372,0.016032552817772126
credit-approval,0.015396476275291204,0.01580091683975982,0.01568120652535378
cylinder-bands,0.02231389862985798,0.025334784695220144,0.025828419275621548
dermatology,0.011579439675912285,0.013375974743035545,0.013542270411654447
echocardiogram,0.041909142794203616,0.04605353082912927,0.04615089881541258
ecoli,0.01878082962099666,0.021260172493496512,0.021629739348682227
energy-y1,0.01218107794471754,0.012449895931812451,0.011885772656320294
energy-y2,0.012600043312357962,0.013495750263297928,0.013946893384863455
fertility,0.017733661737517448,0.01788854381999833,0.02863965581248266
flags,0.04427312226446991,0.046355276526814024,0.04193519791004674
glass,0.02856960402858873,0.040245810772674404,0.04069405931936795
haberman-survival,0.02217497577759888,0.024621219079260893,0.030550954082713862
hayes-roth,0.04056811815741735,0.044017072227608985,0.04342946360727754
heart-cleveland,0.028553908147538824,0.0317404866531018,0.032850915221752465
heart-hungarian,0.023963733263624866,0.022036095329069486,0.022761585868244644
heart-switzerland,0.06467492112266583,0.07670905446936586,0.08264090957272292
heart-va,0.05336607855930556,0.05355473713085333,0.05926077650232496
hepatitis,0.032486932553012195,0.034947806565385854,0.03244214562042692
hill-valley,0.02064007025094646,0.02059847797462651,0.019283466550782915
horse-colic,0.01953465323271464,0.01798176195207683,0.018580683014444627
ilpd-indian-liver,0.017421798865629314,0.019447738912263614,0.021311638591850594
image-segmentation,0.003973131843471401,0.004001224608213566,0.0037738243233105028
ionosphere,0.012727498162517812,0.013315493577917108,0.013884007274102562
iris,0.020739828478386686,0.021565783409107392,0.021964792447908398
