TRAINAUROC,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
AvgTRAINAUROCOverDsets:,0.8922295094556135,0.8915186650403456,0.8866048927681944
AvgTRAINAUROCRankOverDsets:,1.5702479338842976,1.7024793388429753,2.727272727272727
StddevOfTRAINAUROCOverDsets:,0.12644719334513693,0.12895791189209496,0.13387263894480186
AvgOfStddevsOfTRAINAUROCOverDsetFolds:,0.023508079685677263,0.022620924875948106,0.024601682976900074
StddevsOfTRAINAUROCRanksOverDsets:,0.8147233301453912,0.4590684062891849,0.5322906474223766

flat,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0|121|0,77|3|41,93|3|25
CAWPE-A(alpha=4),41|3|77,0|121|0,113|3|5
CAWPE-A(RandTie),25|3|93,5|3|113,0|121|0



p=0.01,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0|121|0,10|110|1,14|107|0
CAWPE-A(alpha=4),1|110|10,0|121|0,7|114|0
CAWPE-A(RandTie),0|107|14,0|114|7,0|121|0



p=0.05,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0|121|0,11|108|2,20|100|1
CAWPE-A(alpha=4),2|108|11,0|121|0,9|112|0
CAWPE-A(RandTie),1|100|20,0|112|9,0|121|0



T TEST,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0.0,0.57058895,0.00147971
CAWPE-A(alpha=4),0.0,0.0,0.03491621
CAWPE-A(RandTie),0.0,0.0,0.0

SIGN TEST,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0.0,0.00106515,0.0
CAWPE-A(alpha=4),0.0,0.0,0.0
CAWPE-A(RandTie),0.0,0.0,0.0

SIGN RANK TEST,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),0.0,5.291E-4,0.0
CAWPE-A(alpha=4),0.0,0.0,0.0
CAWPE-A(RandTie),0.0,0.0,0.0

NOSIGDIFFERENCE,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
CAWPE-A(ConTie),true,false,false
CAWPE-A(alpha=4),false,true,false
CAWPE-A(RandTie),false,false,true



cliques = []

