folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
abalone,0.8457875418236536,0.8374040693552356,0.8354061426904502,0.8375192215967532,0.848427859050473,0.829489546402107,0.8445769003225334,0.8380073397419305,0.8395994481106326,0.8400121626497623,0.8423304888123946,0.838538971633087,0.8297187649738405,0.8429561767343352,0.8444966147506178,0.8378829016345062,0.8364005669798188,0.8473245436810943,0.8368704522328212,0.8336615107517993,0.8342530123761249,0.8368932727471013,0.8391359499583604,0.8415560288350514,0.8397836276282934,0.8342501909048795,0.8320058785142574,0.8347591566489028,0.8368436183051424,0.8376229734470317
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adult,0.9276435647750412,0.9248375502490129,0.9254022171422054,0.9223675241324895,0.9236016804064798,0.924535473913427,0.9246654563776272,0.9275504977360485,0.9233996175113538,0.9243800090269366,0.9217791436619214,0.9238869895661767,0.923186582249995,0.9285991371851798,0.9256283989749778,0.9262267568364743,0.9251212011165724,0.924957914618897,0.9261305206169766,0.9251760168839727,0.924629922862524,0.9241465859852162,0.924255342310266,0.923058930607518,0.9241082794371905,0.9234004835083608,0.9250173459660471,0.923432764928344,0.9285705224333506,0.9269427244603873
annealing,0.973203863114119,0.978175794670878,0.9614021299636615,0.9817401914564683,0.9687421229573582,0.97775832831508,0.97076346654525,0.9690800661903597,0.9771936110748656,0.9907451900203229,0.9816457631194417,0.9880231899011959,0.9850821691989886,0.978194172972597,0.9773333814796553,0.9753124965831849,0.9857573169184926,0.9806234481366164,0.9859492329466287,0.9819294258867111,0.9777548452582026,0.9792823962964423,0.9721319983163828,0.980645472331132,0.9876771593376066,0.9820000109585394,0.971408246017759,0.97388883931129,0.9865765110317357,0.9758850386187906
arrhythmia,0.9032361845408362,0.8789441769931503,0.8852611040677018,0.8850119373596538,0.870008686473765,0.8602612390445719,0.9151566409456112,0.8733111644173916,0.8538329093672534,0.8885084062458046,0.8461218677491319,0.8929030598619613,0.8898245819672894,0.8588808069475309,0.8940996609790792,0.889441066359175,0.881776728607987,0.8917213918656363,0.8812380014116785,0.8796681340775174,0.8687783657268785,0.8868379383231011,0.9006163919696062,0.8675123110243734,0.8540447149821011,0.8746650300174295,0.8949653764761567,0.9109979781389712,0.8535581367198907,0.9077509045860124
audiology-std,0.9201142610377591,0.9427909068793769,0.9368670567355655,0.933404830503896,0.9354385141969367,0.9355359420109535,0.9246475080824236,0.9245515986628937,0.9389575976018665,0.937962454602038,0.9390260409909927,0.9356512289134954,0.9405169769494368,0.927022378979315,0.9438482654128534,0.9363168159018598,0.9274400550476173,0.9368629873493655,0.9415799819446029,0.9355565074424331,0.9328387856318481,0.9477352665095372,0.9360916325824299,0.9187924820860365,0.9255096793500116,0.9383516456789593,0.9398433452205399,0.9376646974009033,0.9300321253431362,0.9388952552187305
balance-scale,0.9920555428367923,0.9899887438949935,0.9906946352258849,0.9944339514652011,0.9950937372812371,0.9888615435490431,0.9914657102157098,0.9863368691493688,0.9900189509564508,0.9957598824786321,0.9891206883394379,0.9947264830077325,0.992616758241758,0.9924673127798125,0.988708918396418,0.992246324277574,0.9895912825600324,0.9906326312576308,0.9971573565323562,0.989348036223036,0.9948250534188031,0.9906978149165647,0.9929092897842895,0.9968680046805045,0.9926533246845743,0.9866564280626777,0.9922272461334954,0.9942845060032557,0.9924450549450546,0.9926533246845742
balloons,0.25,0.25,0.16666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.75,0.75,0.6666666666666666,1.0,0.6666666666666666,0.41666666666666663,0.41666666666666663,0.5833333333333333,1.0,1.0,1.0,0.75,1.0,0.5833333333333333,0.41666666666666663,0.6666666666666666,0.5833333333333333,1.0,0.25
bank,0.8854115384615369,0.8712596153846138,0.8969711538461519,0.8761884615384603,0.893815384615383,0.8973346153846138,0.8931692307692286,0.904198076923075,0.9017557692307668,0.9015749999999981,0.9030961538461517,0.8796173076923064,0.8919673076923055,0.9059423076923059,0.8922153846153826,0.8995461538461517,0.8852615384615371,0.8902230769230749,0.8782884615384599,0.8854269230769213,0.8948807692307673,0.9053384615384598,0.8941134615384596,0.8949365384615369,0.8851999999999982,0.9033903846153825,0.9013557692307671,0.8884903846153827,0.8853596153846135,0.891209615384613
blood,0.7417307313226893,0.7457914449043964,0.701281293120442,0.7286418292923326,0.7364084368223937,0.6549181943623105,0.7391681450818063,0.7406662724226303,0.7156712004730934,0.7324659964518043,0.7045140942243252,0.7746501084171109,0.6664301202444317,0.7300611078257446,0.7271437019515086,0.692726197516263,0.6964320914646169,0.7290360733293915,0.6881923910900853,0.8039818647742961,0.7337670017740987,0.7095998423023856,0.6580721466587821,0.7129509166173864,0.6462448255470139,0.7526512911492219,0.6594125763847822,0.7558052434456936,0.7284052828700972,0.712872067809975
breast-cancer,0.7109523809523813,0.6285714285714288,0.7557142857142861,0.6919047619047621,0.6642857142857145,0.6009523809523811,0.6069047619047621,0.7533333333333336,0.6600000000000003,0.682857142857143,0.7430952380952384,0.679761904761905,0.7052380952380956,0.7214285714285716,0.73952380952381,0.7176190476190479,0.6435714285714288,0.6609523809523812,0.6178571428571431,0.7545238095238099,0.6590476190476193,0.746666666666667,0.7585714285714289,0.7433333333333337,0.6554761904761907,0.7266666666666669,0.6354761904761907,0.6838095238095242,0.6333333333333333,0.7392857142857147
breast-cancer-wisc,0.9946870451237264,0.9927583697234351,0.994395924308588,0.9860989810771468,0.9926855895196506,0.9978893740902475,0.9929403202328966,0.9935953420669578,0.9933770014556039,0.9886098981077147,0.9908660844250363,0.995414847161572,0.9894468704512371,0.9892285298398831,0.9969796215429403,0.9934133915574963,0.9922852983988353,0.9890465793304221,0.9881004366812227,0.991630276564774,0.9885371179039301,0.9910480349344978,0.995414847161572,0.9888646288209606,0.9933406113537115,0.9892285298398826,0.9898835516739439,0.989556040756914,0.9917030567685587,0.99617903930131
breast-cancer-wisc-diag,0.9894530421878311,0.9900890396438414,0.9994170023319906,0.9980920076319694,0.9941170235319059,0.9902480390078439,0.993693025227899,0.9867500529997879,0.9934810260758956,0.9973500105999575,0.990566037735849,0.9960780156879372,0.990884036463854,0.9953360186559254,0.9985690057239771,0.9965550137799448,0.9927920288318847,0.9904600381598473,0.9975090099639601,0.9962370150519397,0.9923150307398769,0.9959190163239346,0.9973500105999575,0.9945410218359126,0.9923680305278778,0.9850010599957599,0.9966610133559465,0.9952830188679245,0.995442018231927,0.9967140131439474
breast-cancer-wisc-prog,0.8446376811594202,0.711304347826087,0.7142028985507247,0.7565217391304347,0.7014492753623189,0.6997101449275362,0.6915942028985508,0.6162318840579712,0.7292753623188405,0.6266666666666669,0.7292753623188406,0.7281159420289856,0.8342028985507245,0.688695652173913,0.7414492753623187,0.7252173913043477,0.7478260869565218,0.7495652173913042,0.5965217391304352,0.6840579710144927,0.7692753623188404,0.768695652173913,0.6707246376811594,0.6620289855072464,0.7072463768115942,0.7669565217391304,0.7843478260869565,0.7379710144927535,0.7182608695652173,0.7756521739130434
